signal,threshold,strategy,lead_days,lookback,oos_sharpe,oos_ann_return,max_drawdown,win_rate,n_trades,annual_turnover,valid,oos_n_obs,oos_n_trades
S1_spread_level,T1_p40,P1,0,LB24,0.5859,0.055123,-0.142588,0.4789,24,0.81,True,71,24
S1_spread_level,T1_p40,P2,0,LB24,0.8959,0.059353,-0.07179,0.662,192,6.72,True,71,192
S1_spread_level,T1_p40,P3,0,LB24,0.0768,0.011028,-0.209525,0.5915,24,0.81,True,71,24
S1_spread_level,T1_p50,P1,0,LB24,0.3251,0.03882,-0.205638,0.5493,20,0.68,True,71,20
S1_spread_level,T1_p50,P2,0,LB24,0.8959,0.059353,-0.07179,0.662,192,6.72,True,71,192
S1_spread_level,T1_p50,P3,0,LB24,-0.1505,-0.021577,-0.345254,0.6056,20,0.68,False,71,20
S1_spread_level,T1_p60,P1,0,LB24,0.3617,0.044065,-0.205638,0.5775,26,0.88,True,71,26
S1_spread_level,T1_p60,P2,0,LB24,0.8959,0.059353,-0.07179,0.662,192,6.72,True,71,192
S1_spread_level,T1_p60,P3,0,LB24,-0.0773,-0.011087,-0.345254,0.6197,26,0.88,False,71,26
S1_spread_level,T1_p70,P1,0,LB24,0.4176,0.051153,-0.205638,0.6197,22,0.75,True,71,22
S1_spread_level,T1_p70,P2,0,LB24,0.8959,0.059353,-0.07179,0.662,192,6.72,True,71,192
S1_spread_level,T1_p70,P3,0,LB24,0.0215,0.00309,-0.345254,0.662,22,0.75,True,71,22
S1_spread_level,T1_p75,P1,0,LB24,0.5347,0.067911,-0.206035,0.662,16,0.54,True,71,16
S1_spread_level,T1_p75,P2,0,LB24,0.8959,0.059353,-0.07179,0.662,192,6.72,True,71,192
S1_spread_level,T1_p75,P3,0,LB24,0.256,0.036605,-0.334237,0.6901,16,0.54,True,71,16
S1_spread_level,T1_p80,P1,0,LB24,0.5207,0.067811,-0.206035,0.6901,14,0.47,True,71,14
S1_spread_level,T1_p80,P2,0,LB24,0.8959,0.059353,-0.07179,0.662,192,6.72,True,71,192
S1_spread_level,T1_p80,P3,0,LB24,0.2542,0.036405,-0.301798,0.7042,14,0.47,True,71,14
S1_spread_level,T1_p85,P1,0,LB24,0.7076,0.099217,-0.20518,0.7183,10,0.34,True,71,10
S1_spread_level,T1_p85,P2,0,LB24,0.8959,0.059353,-0.07179,0.662,192,6.72,True,71,192
S1_spread_level,T1_p85,P3,0,LB24,0.7076,0.099217,-0.20518,0.7183,10,0.34,True,71,10
S1_spread_level,T3_z0.0,P1,0,LB24,0.6175,0.041135,-0.135364,0.338,33,1.12,True,71,33
S1_spread_level,T3_z0.0,P2,0,LB24,0.8959,0.059353,-0.07179,0.662,192,6.72,True,71,192
S1_spread_level,T3_z0.0,P3,0,LB24,-0.1182,-0.016947,-0.346141,0.5211,33,1.12,False,71,33
S1_spread_level,T3_z0.5,P1,0,LB24,0.6528,0.045432,-0.119735,0.4085,47,1.59,True,71,47
S1_spread_level,T3_z0.5,P2,0,LB24,0.8959,0.059353,-0.07179,0.662,192,6.72,True,71,192
S1_spread_level,T3_z0.5,P3,0,LB24,-0.0582,-0.008354,-0.315664,0.5493,47,1.59,False,71,47
S1_spread_level,T3_z1.0,P1,0,LB24,0.8041,0.066632,-0.083346,0.5352,37,1.25,True,71,37
S1_spread_level,T3_z1.0,P2,0,LB24,0.8959,0.059353,-0.07179,0.662,192,6.72,True,71,192
S1_spread_level,T3_z1.0,P3,0,LB24,0.2377,0.034047,-0.221069,0.6479,37,1.25,True,71,37
S1_spread_level,T3_z1.5,P1,0,LB24,0.9279,0.077622,-0.083346,0.5775,35,1.19,True,71,35
S1_spread_level,T3_z1.5,P2,0,LB24,0.8959,0.059353,-0.07179,0.662,192,6.72,True,71,192
S1_spread_level,T3_z1.5,P3,0,LB24,0.3929,0.056027,-0.175739,0.6901,35,1.19,True,71,35
S1_spread_level,T3_z2.0,P1,0,LB24,0.6086,0.06187,-0.142588,0.6338,27,0.92,True,71,27
