entry_date,exit_date,direction,holding_days,trade_return_pct
2024-01-31,2024-02-29,Long,29,5.09
2024-02-29,2024-03-31,Long,31,0.27
2024-03-31,2024-04-30,Long,30,-3.63
2024-04-30,2024-05-31,Long,31,2.91
2024-05-31,2024-07-31,Long,61,1.65
2024-07-31,2024-08-31,Long,31,1.32
2024-08-31,2024-09-30,Long,30,0.83
2024-09-30,2024-10-31,Long,31,-0.51
2024-10-31,2024-12-31,Long,61,2.17
2024-12-31,2025-01-31,Long,31,1.69
2025-01-31,2025-02-28,Cash,28,0.0
2025-02-28,2025-03-31,Long,31,-5.73
2025-03-31,2025-04-30,Long,30,-0.12
2025-04-30,2025-05-31,Cash,31,0.0
2025-05-31,2025-06-30,Long,30,2.34
2025-06-30,2025-07-31,Long,31,2.28
2025-07-31,2025-08-31,Long,31,1.88
2025-08-31,2025-10-31,Long,61,4.07
2025-10-31,2025-11-30,Long,30,0.12
2025-11-30,2025-12-31,Long,31,0.04
2025-12-31,2026-02-28,Long,59,0.37
2026-02-28,2026-04-30,Long,61,2.34
2026-04-30,2026-04-30,Long,0,0.0
