trade_date,side,instrument,quantity_pct,price,notional_usd,commission_bps,commission_usd,cum_pnl_pct,reason
2024-01-31,BUY,SPY,100.0,,10000.0,5,5.0,0.0,S4a_roc_1m T1_p60 (P2)
2024-02-29,BUY,SPY,8.45,,845.09,5,0.42,0.0509,S4a_roc_1m T1_p60 (P2)
2024-03-31,BUY,SPY,88.11,,8810.68,5,4.41,0.0537,S4a_roc_1m T1_p60 (P2)
2024-04-30,BUY,SPY,59.0,,5900.17,5,2.95,0.0155,S4a_roc_1m T1_p60 (P2)
2024-05-31,BUY,SPY,34.59,,3458.82,5,1.73,0.0451,S4a_roc_1m T1_p60 (P2)
2024-07-31,BUY,SPY,57.13,,5712.9,5,2.86,0.0623,S4a_roc_1m T1_p60 (P2)
2024-08-31,BUY,SPY,40.02,,4002.11,5,2.0,0.0763,S4a_roc_1m T1_p60 (P2)
2024-09-30,BUY,SPY,57.34,,5733.72,5,2.87,0.0852,S4a_roc_1m T1_p60 (P2)
2024-10-31,BUY,SPY,63.06,,6305.76,5,3.15,0.0797,S4a_roc_1m T1_p60 (P2)
2024-12-31,BUY,SPY,63.6,,6360.2,5,3.18,0.1032,S4a_roc_1m T1_p60 (P2)
2025-01-31,SELL,SPY,0.0,,0.0,5,0.0,0.1217,S4a_roc_1m T1_p60 (P2)
2025-02-28,BUY,SPY,100.0,,10000.0,5,5.0,0.1217,S4a_roc_1m T1_p60 (P2)
2025-03-31,BUY,SPY,13.84,,1383.97,5,0.69,0.0574,S4a_roc_1m T1_p60 (P2)
2025-04-30,SELL,SPY,0.0,,0.0,5,0.0,0.0562,S4a_roc_1m T1_p60 (P2)
2025-05-31,BUY,SPY,46.7,,4670.06,5,2.34,0.0562,S4a_roc_1m T1_p60 (P2)
2025-06-30,BUY,SPY,100.0,,10000.0,5,5.0,0.0809,S4a_roc_1m T1_p60 (P2)
2025-07-31,BUY,SPY,92.76,,9276.05,5,4.64,0.1055,S4a_roc_1m T1_p60 (P2)
2025-08-31,BUY,SPY,68.39,,6839.43,5,3.42,0.1263,S4a_roc_1m T1_p60 (P2)
2025-10-31,BUY,SPY,64.17,,6416.61,5,3.21,0.1722,S4a_roc_1m T1_p60 (P2)
2025-11-30,BUY,SPY,54.46,,5446.2,5,2.72,0.1736,S4a_roc_1m T1_p60 (P2)
2025-12-31,BUY,SPY,69.36,,6936.4,5,3.47,0.1741,S4a_roc_1m T1_p60 (P2)
2026-02-28,BUY,SPY,53.27,,5326.57,5,2.66,0.1785,S4a_roc_1m T1_p60 (P2)
2026-04-30,BUY,SPY,19.64,,1963.61,5,0.98,0.206,S4a_roc_1m T1_p60 (P2)
