signal,threshold,strategy,lead_days,oos_sharpe,oos_ann_return,max_drawdown,win_rate,n_trades,annual_turnover,valid,oos_n
S1_spread_level,T1_p75,P1,0,0.594,10.45,-37.21,0.5206,66,2.45,True,2088
S1_spread_level,T1_p75,P2,0,0.737,8.1,-22.29,0.5273,5719,4.3,True,2088
S1_spread_level,T1_p75,P3,0,0.3222,6.16,-57.33,0.5292,66,4.9,True,2088
S1_spread_level,T1_p85,P1,0,0.6735,12.47,-34.72,0.5316,36,1.34,True,2088
S1_spread_level,T1_p85,P2,0,0.737,8.1,-22.29,0.5273,5719,4.3,True,2088
S1_spread_level,T1_p85,P3,0,0.5333,10.19,-46.04,0.5321,36,2.67,True,2088
S1_spread_level,T1_p95,P1,0,0.7726,14.75,-33.72,0.534,16,0.59,False,2088
S1_spread_level,T1_p95,P2,0,0.737,8.1,-22.29,0.5273,5719,4.3,True,2088
S1_spread_level,T1_p95,P3,0,0.7726,14.75,-33.72,0.534,16,1.19,False,2088
S1_spread_level,T2_rp75,P1,0,0.5474,6.59,-26.73,0.3822,121,4.5,True,2088
S1_spread_level,T2_rp75,P2,0,0.737,8.1,-22.29,0.5273,5719,4.3,True,2088
S1_spread_level,T2_rp75,P3,0,-0.0823,-1.57,-54.99,0.499,121,8.99,False,2088
S1_spread_level,T2_rp85,P1,0,0.6136,8.33,-29.3,0.4459,125,4.64,True,2088
S1_spread_level,T2_rp85,P2,0,0.737,8.1,-22.29,0.5273,5719,4.3,True,2088
S1_spread_level,T2_rp85,P3,0,0.0998,1.91,-50.03,0.5096,125,9.29,True,2088
S1_spread_level,T2_rp95,P1,0,0.7104,10.79,-28.75,0.499,97,3.6,True,2088
S1_spread_level,T2_rp95,P2,0,0.737,8.1,-22.29,0.5273,5719,4.3,True,2088
S1_spread_level,T2_rp95,P3,0,0.3574,6.83,-33.38,0.523,97,7.21,True,2088
S1_spread_level,T3_z1.5,P1,0,0.5706,8.38,-28.94,0.4808,107,3.98,True,2088
S1_spread_level,T3_z1.5,P2,0,0.737,8.1,-22.29,0.5273,5719,4.3,True,2088
S1_spread_level,T3_z1.5,P3,0,0.105,2.01,-39.98,0.5187,107,7.95,True,2088
S1_spread_level,T3_z2.0,P1,0,0.7419,11.33,-28.75,0.5057,73,2.71,True,2088
S1_spread_level,T3_z2.0,P2,0,0.737,8.1,-22.29,0.5273,5719,4.3,True,2088
S1_spread_level,T3_z2.0,P3,0,0.4143,7.92,-32.98,0.5278,73,5.42,True,2088
S1_spread_level,T3_z2.5,P1,0,0.781,12.22,-26.78,0.5134,49,1.82,True,2088
S1_spread_level,T3_z2.5,P2,0,0.737,8.1,-22.29,0.5273,5719,4.3,True,2088
S1_spread_level,T3_z2.5,P3,0,0.5075,9.7,-29.99,0.5283,49,3.64,True,2088
S1_spread_level,T1_p75,P1,1,0.7753,13.6,-26.67,0.5216,67,2.49,True,2088
S1_spread_level,T1_p75,P2,1,0.7336,8.17,-22.78,0.5287,5718,4.3,True,2088
S1_spread_level,T1_p75,P3,1,0.6514,12.44,-30.85,0.5311,67,4.98,True,2088
S1_spread_level,T1_p85,P1,1,0.7471,14.12,-31.98,0.5321,37,1.37,True,2088
S1_spread_level,T1_p85,P2,1,0.7336,8.17,-22.78,0.5287,5718,4.3,True,2088
S1_spread_level,T1_p85,P3,1,0.706,13.48,-31.98,0.533,37,2.75,True,2088
S1_spread_level,T1_p95,P1,1,0.7726,14.75,-33.72,0.534,17,0.63,False,2088
S1_spread_level,T1_p95,P2,1,0.7336,8.17,-22.78,0.5287,5718,4.3,True,2088
S1_spread_level,T1_p95,P3,1,0.7726,14.75,-33.72,0.534,17,1.26,False,2088
S1_spread_level,T2_rp75,P1,1,0.4372,5.35,-28.81,0.3817,121,4.5,True,2088
S1_spread_level,T2_rp75,P2,1,0.7336,8.17,-22.78,0.5287,5718,4.3,True,2088
S1_spread_level,T2_rp75,P3,1,-0.2121,-4.05,-61.01,0.4986,121,8.99,False,2088
S1_spread_level,T2_rp85,P1,1,0.6856,9.5,-25.9,0.4478,125,4.64,True,2088
S1_spread_level,T2_rp85,P2,1,0.7336,8.17,-22.78,0.5287,5718,4.3,True,2088
S1_spread_level,T2_rp85,P3,1,0.2223,4.25,-37.98,0.5134,125,9.29,True,2088
S1_spread_level,T2_rp95,P1,1,0.7905,11.99,-29.43,0.5014,97,3.6,True,2088
S1_spread_level,T2_rp95,P2,1,0.7336,8.17,-22.78,0.5287,5718,4.3,True,2088
S1_spread_level,T2_rp95,P3,1,0.4831,9.23,-34.23,0.5283,97,7.21,True,2088
S1_spread_level,T3_z1.5,P1,1,0.7589,11.07,-29.14,0.4852,107,3.98,True,2088
S1_spread_level,T3_z1.5,P2,1,0.7336,8.17,-22.78,0.5287,5718,4.3,True,2088
S1_spread_level,T3_z1.5,P3,1,0.3872,7.4,-36.47,0.5268,107,7.95,True,2088
S1_spread_level,T3_z2.0,P1,1,0.7787,11.91,-29.43,0.5057,73,2.71,True,2088
S1_spread_level,T3_z2.0,P2,1,0.7336,8.17,-22.78,0.5287,5718,4.3,True,2088
S1_spread_level,T3_z2.0,P3,1,0.4748,9.07,-34.23,0.5273,73,5.42,True,2088
S1_spread_level,T3_z2.5,P1,1,0.8348,13.03,-25.94,0.5139,49,1.82,True,2088
S1_spread_level,T3_z2.5,P2,1,0.7336,8.17,-22.78,0.5287,5718,4.3,True,2088
S1_spread_level,T3_z2.5,P3,1,0.5918,11.31,-27.37,0.5292,49,3.64,True,2088
S1_spread_level,T1_p75,P1,5,0.6557,11.83,-30.73,0.5216,67,2.49,True,2088
S1_spread_level,T1_p75,P2,5,0.7111,8.37,-22.39,0.5297,5715,4.3,True,2088
S1_spread_level,T1_p75,P3,5,0.4658,8.9,-45.18,0.5307,67,4.98,True,2088
S1_spread_level,T1_p85,P1,5,0.8081,15.31,-33.72,0.533,37,1.37,True,2088
S1_spread_level,T1_p85,P2,5,0.7111,8.37,-22.39,0.5297,5715,4.3,True,2088
S1_spread_level,T1_p85,P3,5,0.8312,15.87,-33.72,0.535,37,2.75,True,2088
S1_spread_level,T1_p95,P1,5,0.7726,14.75,-33.72,0.534,17,0.63,False,2088
S1_spread_level,T1_p95,P2,5,0.7111,8.37,-22.39,0.5297,5715,4.3,True,2088
