signal,threshold,strategy,lead_days,oos_sharpe,oos_ann_return,max_drawdown,win_rate,n_trades,annual_turnover,valid,oos_n
S1_spread_level,T1_p75,P1,0,,0.0,0.0,0.0,0,0.0,True,1632
S1_spread_level,T1_p75,P2,0,0.9402,0.0363,-0.0492,0.5573,5,0.77,True,1632
S1_spread_level,T1_p75,P3,0,-0.7287,-0.1499,-0.7224,0.0,0,0.0,True,1632
S1_spread_level,T1_p85,P1,0,,0.0,0.0,0.0,0,0.0,True,1632
S1_spread_level,T1_p85,P2,0,0.9402,0.0363,-0.0492,0.5573,5,0.77,True,1632
S1_spread_level,T1_p85,P3,0,-0.7287,-0.1499,-0.7224,0.0,0,0.0,True,1632
S1_spread_level,T1_p95,P1,0,0.7726,0.1475,-0.3372,0.534,16,0.59,False,1632
S1_spread_level,T1_p95,P2,0,0.9402,0.0363,-0.0492,0.5573,5,0.77,True,1632
S1_spread_level,T1_p95,P3,0,0.7726,0.1475,-0.3372,0.534,16,1.19,False,1632
S1_spread_level,T2_rp75,P1,0,,0.0,0.0,0.0,0,0.0,True,1632
S1_spread_level,T2_rp75,P2,0,0.9402,0.0363,-0.0492,0.5573,5,0.77,True,1632
S1_spread_level,T2_rp75,P3,0,-0.0823,-0.0157,-0.5499,0.499,121,8.99,False,1632
S1_spread_level,T2_rp85,P1,0,,0.0,0.0,0.0,0,0.0,True,1632
S1_spread_level,T2_rp85,P2,0,0.9402,0.0363,-0.0492,0.5573,5,0.77,True,1632
S1_spread_level,T2_rp85,P3,0,-0.7287,-0.1499,-0.7224,0.0,0,0.0,True,1632
S1_spread_level,T2_rp95,P1,0,,0.0,0.0,0.0,0,0.0,True,1632
S1_spread_level,T2_rp95,P2,0,0.9402,0.0363,-0.0492,0.5573,5,0.77,True,1632
S1_spread_level,T2_rp95,P3,0,-0.7287,-0.1499,-0.7224,0.0,0,0.0,True,1632
S1_spread_level,T3_z1.5,P1,0,,0.0,0.0,0.0,0,0.0,True,1632
S1_spread_level,T3_z1.5,P2,0,0.9402,0.0363,-0.0492,0.5573,5,0.77,True,1632
S1_spread_level,T3_z1.5,P3,0,-0.7287,-0.1499,-0.7224,0.0,0,0.0,True,1632
S1_spread_level,T3_z2.0,P1,0,0.1504,0.0026,-0.0359,0.6176,4,0.62,True,1632
S1_spread_level,T3_z2.0,P2,0,0.9402,0.0363,-0.0492,0.5573,5,0.77,True,1632
S1_spread_level,T3_z2.0,P3,0,-0.7007,-0.1452,-0.7109,0.6176,8,1.24,True,1632
S1_spread_level,T3_z2.5,P1,0,0.8475,0.0386,-0.0535,0.5794,7,1.08,True,1632
S1_spread_level,T3_z2.5,P2,0,0.9402,0.0363,-0.0492,0.5573,5,0.77,True,1632
S1_spread_level,T3_z2.5,P3,0,-0.3326,-0.0812,-0.6341,0.5794,15,2.32,True,1632
S1_spread_level,T1_p75,P1,1,,0.0,0.0,0.0,0,0.0,True,1632
S1_spread_level,T1_p75,P2,1,0.7032,0.0269,-0.0562,0.5563,5,0.77,True,1632
S1_spread_level,T1_p75,P3,1,-0.7287,-0.1499,-0.7224,0.0,0,0.0,True,1632
S1_spread_level,T1_p85,P1,1,,0.0,0.0,0.0,0,0.0,True,1632
S1_spread_level,T1_p85,P2,1,0.7032,0.0269,-0.0562,0.5563,5,0.77,True,1632
S1_spread_level,T1_p85,P3,1,-0.7287,-0.1499,-0.7224,0.0,0,0.0,True,1632
S1_spread_level,T1_p95,P1,1,0.7726,0.1475,-0.3372,0.534,17,0.63,False,1632
S1_spread_level,T1_p95,P2,1,0.7032,0.0269,-0.0562,0.5563,5,0.77,True,1632
S1_spread_level,T1_p95,P3,1,0.7726,0.1475,-0.3372,0.534,17,1.26,False,1632
S1_spread_level,T2_rp75,P1,1,,0.0,0.0,0.0,0,0.0,True,1632
S1_spread_level,T2_rp75,P2,1,0.7032,0.0269,-0.0562,0.5563,5,0.77,True,1632
S1_spread_level,T2_rp75,P3,1,-0.2121,-0.0405,-0.6101,0.4986,121,8.99,False,1632
S1_spread_level,T2_rp85,P1,1,,0.0,0.0,0.0,0,0.0,True,1632
S1_spread_level,T2_rp85,P2,1,0.7032,0.0269,-0.0562,0.5563,5,0.77,True,1632
S1_spread_level,T2_rp85,P3,1,-0.7287,-0.1499,-0.7224,0.0,0,0.0,True,1632
S1_spread_level,T2_rp95,P1,1,,0.0,0.0,0.0,0,0.0,True,1632
S1_spread_level,T2_rp95,P2,1,0.7032,0.0269,-0.0562,0.5563,5,0.77,True,1632
S1_spread_level,T2_rp95,P3,1,-0.7287,-0.1499,-0.7224,0.0,0,0.0,True,1632
S1_spread_level,T3_z1.5,P1,1,,0.0,0.0,0.0,0,0.0,True,1632
S1_spread_level,T3_z1.5,P2,1,0.7032,0.0269,-0.0562,0.5563,5,0.77,True,1632
S1_spread_level,T3_z1.5,P3,1,-0.7287,-0.1499,-0.7224,0.0,0,0.0,True,1632
S1_spread_level,T3_z2.0,P1,1,-0.2825,-0.005,-0.0362,0.5588,4,0.62,True,1632
S1_spread_level,T3_z2.0,P2,1,0.7032,0.0269,-0.0562,0.5563,5,0.77,True,1632
S1_spread_level,T3_z2.0,P3,1,-0.7786,-0.1582,-0.738,0.5588,8,1.24,True,1632
S1_spread_level,T3_z2.5,P1,1,0.5562,0.025,-0.0571,0.5578,7,1.08,True,1632
S1_spread_level,T3_z2.5,P2,1,0.7032,0.0269,-0.0562,0.5563,5,0.77,True,1632
S1_spread_level,T3_z2.5,P3,1,-0.4662,-0.105,-0.6661,0.5578,15,2.32,True,1632
S1_spread_level,T1_p75,P1,5,,0.0,0.0,0.0,0,0.0,True,1632
S1_spread_level,T1_p75,P2,5,0.6964,0.0273,-0.0649,0.5615,5,0.77,True,1632
S1_spread_level,T1_p75,P3,5,-0.7287,-0.1499,-0.7224,0.0,0,0.0,True,1632
S1_spread_level,T1_p85,P1,5,,0.0,0.0,0.0,0,0.0,True,1632
S1_spread_level,T1_p85,P2,5,0.6964,0.0273,-0.0649,0.5615,5,0.77,True,1632
S1_spread_level,T1_p85,P3,5,-0.7287,-0.1499,-0.7224,0.0,0,0.0,True,1632
S1_spread_level,T1_p95,P1,5,0.7726,0.1475,-0.3372,0.534,17,0.63,False,1632
S1_spread_level,T1_p95,P2,5,0.6964,0.0273,-0.0649,0.5615,5,0.77,True,1632
S1_spread_level,T1_p95,P3,5,0.7726,0.1475,-0.3372,0.534,17,1.26,False,1632
S1_spread_level,T2_rp75,P1,5,,0.0,0.0,0.0,0,0.0,True,1632
S1_spread_level,T2_rp75,P2,5,0.6964,0.0273,-0.0649,0.5615,5,0.77,True,1632
S1_spread_level,T2_rp75,P3,5,-0.3805,-0.0727,-0.7041,0.4962,121,8.99,False,1632
S1_spread_level,T2_rp85,P1,5,,0.0,0.0,0.0,0,0.0,True,1632
S1_spread_level,T2_rp85,P2,5,0.6964,0.0273,-0.0649,0.5615,5,0.77,True,1632
S1_spread_level,T2_rp85,P3,5,-0.7287,-0.1499,-0.7224,0.0,0,0.0,True,1632
S1_spread_level,T2_rp95,P1,5,,0.0,0.0,0.0,0,0.0,True,1632
S1_spread_level,T2_rp95,P2,5,0.6964,0.0273,-0.0649,0.5615,5,0.77,True,1632
S1_spread_level,T2_rp95,P3,5,-0.7287,-0.1499,-0.7224,0.0,0,0.0,True,1632
S1_spread_level,T3_z1.5,P1,5,,0.0,0.0,0.0,0,0.0,True,1632
S1_spread_level,T3_z1.5,P2,5,0.6964,0.0273,-0.0649,0.5615,5,0.77,True,1632
S1_spread_level,T3_z1.5,P3,5,-0.7287,-0.1499,-0.7224,0.0,0,0.0,True,1632
S1_spread_level,T3_z2.0,P1,5,0.2792,0.0052,-0.0357,0.5882,4,0.62,True,1632
S1_spread_level,T3_z2.0,P2,5,0.6964,0.0273,-0.0649,0.5615,5,0.77,True,1632
S1_spread_level,T3_z2.0,P3,5,-0.6741,-0.1408,-0.7109,0.5882,8,1.24,True,1632
S1_spread_level,T3_z2.5,P1,5,0.5976,0.0281,-0.0841,0.5628,7,1.08,True,1632
S1_spread_level,T3_z2.5,P2,5,0.6964,0.0273,-0.0649,0.5615,5,0.77,True,1632
S1_spread_level,T3_z2.5,P3,5,-0.4342,-0.0994,-0.6464,0.5628,15,2.32,True,1632
S1_spread_level,T1_p75,P1,10,,0.0,0.0,0.0,0,0.0,True,1632
S1_spread_level,T1_p75,P2,10,0.7003,0.0273,-0.0639,0.561,5,0.77,True,1632
S1_spread_level,T1_p75,P3,10,-0.7287,-0.1499,-0.7224,0.0,0,0.0,True,1632
S1_spread_level,T1_p85,P1,10,,0.0,0.0,0.0,0,0.0,True,1632
S1_spread_level,T1_p85,P2,10,0.7003,0.0273,-0.0639,0.561,5,0.77,True,1632
S1_spread_level,T1_p85,P3,10,-0.7287,-0.1499,-0.7224,0.0,0,0.0,True,1632
S1_spread_level,T1_p95,P1,10,0.7726,0.1475,-0.3372,0.534,17,0.63,False,1632
S1_spread_level,T1_p95,P2,10,0.7003,0.0273,-0.0639,0.561,5,0.77,True,1632
S1_spread_level,T1_p95,P3,10,0.7726,0.1475,-0.3372,0.534,17,1.26,False,1632
S1_spread_level,T2_rp75,P1,10,,0.0,0.0,0.0,0,0.0,True,1632
S1_spread_level,T2_rp75,P2,10,0.7003,0.0273,-0.0639,0.561,5,0.77,True,1632
S1_spread_level,T2_rp75,P3,10,-0.2261,-0.0432,-0.6422,0.4966,121,8.99,False,1632
S1_spread_level,T2_rp85,P1,10,,0.0,0.0,0.0,0,0.0,True,1632
S1_spread_level,T2_rp85,P2,10,0.7003,0.0273,-0.0639,0.561,5,0.77,True,1632
S1_spread_level,T2_rp85,P3,10,-0.7287,-0.1499,-0.7224,0.0,0,0.0,True,1632
S1_spread_level,T2_rp95,P1,10,,0.0,0.0,0.0,0,0.0,True,1632
S1_spread_level,T2_rp95,P2,10,0.7003,0.0273,-0.0639,0.561,5,0.77,True,1632
S1_spread_level,T2_rp95,P3,10,-0.7287,-0.1499,-0.7224,0.0,0,0.0,True,1632
S1_spread_level,T3_z1.5,P1,10,,0.0,0.0,0.0,0,0.0,True,1632
S1_spread_level,T3_z1.5,P2,10,0.7003,0.0273,-0.0639,0.561,5,0.77,True,1632
S1_spread_level,T3_z1.5,P3,10,-0.7287,-0.1499,-0.7224,0.0,0,0.0,True,1632
S1_spread_level,T3_z2.0,P1,10,-0.158,-0.0029,-0.0357,0.5455,3,0.46,True,1632
S1_spread_level,T3_z2.0,P2,10,0.7003,0.0273,-0.0639,0.561,5,0.77,True,1632
