lag,f_stat,p_value,direction
1,7.031752205741443,0.008346556409171495,signal_to_SPY
2,5.947112684135245,0.0028676549864347324,signal_to_SPY
3,3.7000186546520335,0.011990837240609903,signal_to_SPY
4,2.8577154608712876,0.023520930174135393,signal_to_SPY
5,2.5396540638187584,0.028171007712318872,signal_to_SPY
6,2.062303956522534,0.05695635970565897,signal_to_SPY
7,1.8905371859786249,0.07005687082867046,signal_to_SPY
8,1.751343231050375,0.08557479309392724,signal_to_SPY
9,1.5670660175617452,0.12357317875888588,signal_to_SPY
10,1.4590240214411374,0.1531768878376708,signal_to_SPY
11,1.4868957177650406,0.1343135830252485,signal_to_SPY
12,1.4479226272296475,0.14242467680783436,signal_to_SPY
