signal,horizon,coef,se,t_stat,p_value,r_squared,n
indpro_yoy,spy_fwd_1m,0.000299,0.000667,0.448,0.654,0.0009,394.0
indpro_yoy,spy_fwd_3m,0.000331,0.001251,0.264,0.7915,0.0004,392.0
indpro_yoy,spy_fwd_6m,0.000327,0.001793,0.182,0.8552,0.0002,389.0
indpro_yoy,spy_fwd_12m,-0.001918,0.002433,-0.789,0.4304,0.0025,383.0
indpro_mom,spy_fwd_1m,0.002747,0.00499,0.55,0.582,0.0044,394.0
indpro_mom,spy_fwd_3m,0.003356,0.009104,0.369,0.7124,0.0023,392.0
indpro_mom,spy_fwd_6m,0.007652,0.011743,0.652,0.5146,0.0054,389.0
indpro_mom,spy_fwd_12m,0.004134,0.023629,0.175,0.8611,0.0007,383.0
indpro_zscore_60m,spy_fwd_1m,-0.000814,0.002189,-0.372,0.7099,0.0005,384.0
indpro_zscore_60m,spy_fwd_3m,-0.004448,0.003768,-1.18,0.2379,0.005,382.0
indpro_zscore_60m,spy_fwd_6m,-0.009899,0.005051,-1.96,0.05,0.0116,379.0
indpro_zscore_60m,spy_fwd_12m,-0.020366,0.007559,-2.694,0.0071,0.0209,373.0
