test_start,test_end,train_n,test_n,accuracy,precision,recall
2003,2005,109,36,0.25,0.5556,0.1786
2004,2006,121,36,0.6111,0.6667,0.88
2005,2007,133,36,0.5833,0.6452,0.8333
2006,2008,145,36,0.5,0.4828,0.8235
2007,2009,157,36,0.4722,0.5217,0.6
2008,2010,169,36,0.5,0.625,0.4545
2009,2011,181,36,0.3056,0.6364,0.25
2010,2012,193,36,0.6667,0.6667,1.0
2011,2013,205,36,0.7778,0.7778,1.0
2012,2014,217,36,0.8611,0.8611,1.0
2013,2015,229,36,0.7778,0.9231,0.8
2014,2016,241,36,0.6389,0.8636,0.6552
2015,2017,253,36,0.6667,0.8696,0.6897
2016,2018,265,36,0.6944,0.8276,0.8
2017,2019,277,36,0.6111,0.8182,0.6429
2018,2020,289,36,0.5833,0.9333,0.5
2019,2021,301,36,0.75,0.7941,0.931
2020,2022,313,36,0.6667,0.6857,0.96
2021,2023,325,36,0.6667,0.6667,1.0
2022,2024,337,36,0.6944,0.6944,1.0
