lag,ccf,se,significant
-12,0.2335,0.0511,True
-11,0.2178,0.051,True
-10,0.2004,0.051,True
-9,0.2235,0.0509,True
-8,0.2099,0.0508,True
-7,0.1745,0.0508,True
-6,0.2019,0.0507,True
-5,0.1844,0.0506,True
-4,0.1725,0.0506,True
-3,0.1569,0.0505,True
-2,0.138,0.0504,True
-1,0.0877,0.0504,False
0,0.0237,0.0503,False
1,0.0301,0.0504,False
2,0.0133,0.0504,False
3,0.001,0.0505,False
4,0.0051,0.0506,False
5,0.0189,0.0506,False
6,-0.0004,0.0507,False
7,-0.0259,0.0508,False
8,-0.0266,0.0508,False
9,-0.0324,0.0509,False
10,-0.0437,0.051,False
11,-0.0371,0.051,False
12,-0.0474,0.0511,False
