signal,threshold,strategy,lookback,signal_column,lead_months,oos_sharpe,valid,lead_source
S1_level,T1_fixed_p25,P1_long_cash,LB_NA,indpro,0,0.8998,True,pipeline
S1_level,T1_fixed_p25,P2_signal_strength,LB_NA,indpro,0,0.7982,True,pipeline
S1_level,T1_fixed_p25,P3_long_short,LB_NA,indpro,0,0.8998,True,pipeline
S1_level,T1_fixed_p50,P1_long_cash,LB_NA,indpro,0,0.8522,True,pipeline
S1_level,T1_fixed_p50,P2_signal_strength,LB_NA,indpro,0,0.7982,True,pipeline
S1_level,T1_fixed_p50,P3_long_short,LB_NA,indpro,0,0.7948,True,pipeline
S1_level,T1_fixed_p75,P1_long_cash,LB_NA,indpro,0,0.5788,True,pipeline
S1_level,T1_fixed_p75,P2_signal_strength,LB_NA,indpro,0,0.7982,True,pipeline
S1_level,T1_fixed_p75,P3_long_short,LB_NA,indpro,0,0.1464,True,pipeline
S1_level,T2_roll_p25,P1_long_cash,LB_NA,indpro,0,0.5788,True,pipeline
S1_level,T2_roll_p25,P2_signal_strength,LB_NA,indpro,0,0.7982,True,pipeline
S1_level,T2_roll_p25,P3_long_short,LB_NA,indpro,0,0.1464,True,pipeline
S1_level,T2_roll_p50,P1_long_cash,LB_NA,indpro,0,0.3413,True,pipeline
S1_level,T2_roll_p50,P2_signal_strength,LB_NA,indpro,0,0.7982,True,pipeline
S1_level,T2_roll_p50,P3_long_short,LB_NA,indpro,0,-0.4313,False,pipeline
S1_level,T2_roll_p75,P1_long_cash,LB_NA,indpro,0,0.4179,True,pipeline
S1_level,T2_roll_p75,P2_signal_strength,LB_NA,indpro,0,0.7982,True,pipeline
S1_level,T2_roll_p75,P3_long_short,LB_NA,indpro,0,-0.5242,False,pipeline
S1_level,T3_zscore_1.0,P1_long_cash,LB_NA,indpro,0,0.362,True,pipeline
S1_level,T3_zscore_1.0,P2_signal_strength,LB_NA,indpro,0,0.7982,True,pipeline
S1_level,T3_zscore_1.0,P3_long_short,LB_NA,indpro,0,-0.6403,False,pipeline
S1_level,T3_zscore_neg_1.0,P1_long_cash,LB_NA,indpro,0,0.6157,True,pipeline
S1_level,T3_zscore_neg_1.0,P2_signal_strength,LB_NA,indpro,0,0.7982,True,pipeline
S1_level,T3_zscore_neg_1.0,P3_long_short,LB_NA,indpro,0,-0.4268,False,pipeline
S1_level,T3_zscore_1.5,P1_long_cash,LB_NA,indpro,0,0.0959,True,pipeline
S1_level,T3_zscore_1.5,P2_signal_strength,LB_NA,indpro,0,0.7982,True,pipeline
S1_level,T3_zscore_1.5,P3_long_short,LB_NA,indpro,0,-0.8342,False,pipeline
S1_level,T3_zscore_neg_1.5,P1_long_cash,LB_NA,indpro,0,0.6024,True,pipeline
S1_level,T3_zscore_neg_1.5,P2_signal_strength,LB_NA,indpro,0,0.7982,True,pipeline
S1_level,T3_zscore_neg_1.5,P3_long_short,LB_NA,indpro,0,-0.5066,False,pipeline
