date,position,strategy_return,bh_return
1990-01-31,0.0,0.0,0.0
1990-02-28,0.0,0.0,0.0
1990-03-31,0.0,0.0,0.0
1990-04-30,0.0,0.0,0.0
1990-05-31,0.0,0.0,0.0
1990-06-30,0.0,0.0,0.0
1990-07-31,0.0,0.0,0.0
1990-08-31,0.0,0.0,0.0
1990-09-30,0.0,0.0,0.0
1990-10-31,0.0,0.0,0.0
1990-11-30,0.0,0.0,0.0
1990-12-31,0.0,0.0,0.0
1991-01-31,0.0,0.0,0.0
1991-02-28,0.0,0.0,0.0
1991-03-31,0.0,0.0,0.0
1991-04-30,0.0,0.0,0.0
1991-05-31,0.0,0.0,0.0
1991-06-30,0.0,0.0,0.0
1991-07-31,0.0,0.0,0.0
1991-08-31,0.0,0.0,0.0
1991-09-30,0.0,0.0,0.0
1991-10-31,0.0,0.0,0.0
1991-11-30,0.0,0.0,0.0
1991-12-31,0.0,0.0,0.0
1992-01-31,0.0,0.0,0.0
1992-02-29,0.0,0.0,0.0
1992-03-31,0.0,0.0,0.0
1992-04-30,0.0,0.0,0.0
1992-05-31,0.0,0.0,0.0
1992-06-30,0.0,0.0,0.0
1992-07-31,0.0,0.0,0.0
1992-08-31,0.0,0.0,0.0
1992-09-30,0.0,0.0,0.0
1992-10-31,0.0,0.0,0.0
1992-11-30,0.0,0.0,0.0
1992-12-31,0.0,0.0,0.0
1993-01-31,0.0,0.0,0.0
1993-02-28,0.0,0.0,0.010668499
1993-03-31,0.0,0.0,0.0223997327
1993-04-30,0.0,-0.0,-0.0255877845
1993-05-31,0.0,0.0,0.0269693456
1993-06-30,0.0,0.0,0.0036070967
1993-07-31,0.0,-0.0,-0.004853868
1993-08-31,0.0,0.0,0.0383271001
1993-09-30,0.0,-0.0,-0.0072752239
1993-10-31,0.0,0.0,0.0197276845
1993-11-30,0.0,-0.0,-0.0106742078
1993-12-31,0.0,0.0,0.0122773458
1994-01-31,0.0,0.0,0.0348756634
1994-02-28,1.0,-0.0291641835,-0.0291641835
1994-03-31,1.0,-0.0419013391,-0.0419013391
1994-04-30,0.0,0.0,0.0112125303
1994-05-31,1.0,0.015938707,0.015938707
1994-06-30,0.0,-0.0,-0.0229135314
1994-07-31,0.0,0.0,0.0323259346
1994-08-31,1.0,0.0381204747,0.0381204747
1994-09-30,1.0,-0.0252545222,-0.0252545222
1994-10-31,0.0,0.0,0.028426838
1994-11-30,1.0,-0.0398160147,-0.0398160147
1994-12-31,0.0,0.0,0.0072824177
1995-01-31,1.0,0.0336076126,0.0336076126
1995-02-28,0.0,0.0,0.0408097902
1995-03-31,1.0,0.0278476534,0.0278476534
1995-04-30,1.0,0.0296230148,0.0296230148
1995-05-31,1.0,0.0396723907,0.0396723907
1995-06-30,0.0,0.0,0.020229924
1995-07-31,0.0,0.0,0.0321652562
1995-08-31,0.0,0.0,0.004451718
1995-09-30,0.0,0.0,0.0423766465
1995-10-31,0.0,-0.0,-0.0029387596
1995-11-30,0.0,0.0,0.0444800228
1995-12-31,0.0,0.0,0.0157327458
1996-01-31,1.0,0.0355783303,0.0355783303
1996-02-29,0.0,0.0,0.0031900481
1996-03-31,0.0,0.0,0.0172180293
1996-04-30,0.0,0.0,0.0108701174
1996-05-31,0.0,0.0,0.0226995438
1996-06-30,0.0,0.0,0.0088222439
1996-07-31,1.0,-0.0449357866,-0.0449357866
1996-08-31,0.0,0.0,0.0192581928
1996-09-30,1.0,0.0558727416,0.0558727416
1996-10-31,1.0,0.0323316462,0.0323316462
1996-11-30,1.0,0.0730041029,0.0730041029
1996-12-31,0.0,-0.0,-0.0237978792
1997-01-31,0.0,0.0,0.0617865088
1997-02-28,0.0,0.0,0.0095652827
1997-03-31,0.0,-0.0,-0.044122658
1997-04-30,1.0,0.0626035508,0.0626035508
1997-05-31,0.0,0.0,0.0632077278
1997-06-30,0.0,0.0,0.0411016495
1997-07-31,1.0,0.0792641101,0.0792641101
1997-08-31,0.0,-0.0,-0.0518033117
1997-09-30,0.0,0.0,0.0480907632
1997-10-31,0.0,-0.0,-0.0245032249
1997-11-30,0.0,0.0,0.0386965312
1997-12-31,1.0,0.0190714717,0.0190714717
1998-01-31,1.0,0.0128783792,0.0128783792
1998-02-28,1.0,0.0692940939,0.0692940939
1998-03-31,1.0,0.048783595,0.048783595
1998-04-30,1.0,0.012791064,0.012791064
1998-05-31,0.0,-0.0,-0.0207683499
1998-06-30,0.0,0.0,0.0425732379
1998-07-31,0.0,-0.0,-0.0135137281
1998-08-31,0.0,-0.0,-0.1411794828
1998-09-30,0.0,0.0,0.0636392618
1998-10-31,0.0,0.0,0.0810809343
1998-11-30,0.0,0.0,0.0556824659
