date,signal_value,position,spy_return,strategy_return
2018-01-31,-0.0019,0.0,0.056359,0.0
2018-02-28,0.2425,1.0,-0.03636,-0.03636
2018-03-31,0.4898,0.0,-0.027411,-0.0
2018-04-30,1.1019,0.0,0.005168,0.0
2018-05-31,-0.9005,0.0,0.024309,0.0
2018-06-30,0.7769,0.0,0.005751,0.0
2018-07-31,0.1614,1.0,0.037046,0.037046
2018-08-31,0.6464,1.0,0.03192,0.03192
2018-09-30,0.0651,0.0,0.005945,0.0
2018-10-31,-0.1103,1.0,-0.069104,-0.069104
2018-11-30,0.0793,0.0,0.018549,0.0
2018-12-31,0.0245,1.0,-0.088048,-0.088048
2019-01-31,-0.6643,0.0,0.080066,0.0
2019-02-28,-0.5464,0.0,0.032415,0.0
2019-03-31,0.0375,0.0,0.018101,0.0
2019-04-30,-0.5849,0.0,0.040852,0.0
2019-05-31,0.1154,0.0,-0.063771,-0.0
2019-06-30,0.0444,0.0,0.069586,0.0
2019-07-31,-0.4849,0.0,0.015119,0.0
2019-08-31,0.6849,0.0,-0.016743,-0.0
2019-09-30,-0.3384,0.0,0.019458,0.0
2019-10-31,-0.8443,0.0,0.022105,0.0
2019-11-30,0.5019,0.0,0.036198,0.0
2019-12-31,-0.2324,1.0,0.029055,0.029055
2020-01-31,-0.6554,0.0,-0.000404,-0.0
2020-02-29,0.3362,0.0,-0.079166,-0.0
2020-03-31,-3.912,1.0,-0.124871,-0.124871
2020-04-30,-13.1878,0.0,0.126983,0.0
2020-05-31,1.6538,0.0,0.047645,0.0
2020-06-30,6.553,1.0,0.017735,0.017735
2020-07-31,3.7472,0.0,0.058892,0.0
2020-08-31,0.9779,0.0,0.069797,0.0
2020-09-30,0.0125,1.0,-0.037444,-0.037444
2020-10-31,0.805,1.0,-0.024934,-0.024934
2020-11-30,0.3537,1.0,0.108777,0.108777
2020-12-31,1.3199,1.0,0.037048,0.037048
2021-01-31,0.5278,0.0,-0.010191,-0.0
2021-02-28,-3.3042,1.0,0.027806,0.027806
2021-03-31,2.8978,0.0,0.045399,0.0
2021-04-30,0.1759,1.0,0.05291,0.05291
2021-05-31,0.8874,1.0,0.006566,0.006566
2021-06-30,0.3675,0.0,0.022427,0.0
2021-07-31,0.4541,1.0,0.024412,0.024412
2021-08-31,-0.2077,0.0,0.02976,0.0
2021-09-30,-1.1853,1.0,-0.046606,-0.046606
2021-10-31,1.3435,0.0,0.070164,0.0
2021-11-30,0.678,0.0,-0.008035,-0.0
2021-12-31,-0.2903,0.0,0.046248,0.0
2022-01-31,-0.3848,0.0,-0.052741,-0.0
2022-02-28,0.6196,1.0,-0.029517,-0.029517
2022-03-31,0.5796,0.0,0.03759,0.0
2022-04-30,0.0486,0.0,-0.087769,-0.0
2022-05-31,-0.105,0.0,0.002257,0.0
2022-06-30,-0.3113,0.0,-0.08246,-0.0
2022-07-31,0.2029,0.0,0.092087,0.0
2022-08-31,-0.1252,0.0,-0.040802,-0.0
2022-09-30,0.1934,0.0,-0.092446,-0.0
2022-10-31,-0.0384,0.0,0.081276,0.0
2022-11-30,-0.294,0.0,0.055592,0.0
2022-12-31,-1.1776,0.0,-0.057628,-0.0
2023-01-31,0.7403,0.0,0.062888,0.0
2023-02-28,0.1359,0.0,-0.025143,-0.0
2023-03-31,0.3765,0.0,0.037078,0.0
2023-04-30,0.2302,0.0,0.015975,0.0
2023-05-31,-0.3204,1.0,0.004616,0.004616
2023-06-30,-0.8016,0.0,0.0648,0.0
2023-07-31,0.7862,0.0,0.032733,0.0
2023-08-31,-0.0668,0.0,-0.016252,-0.0
2023-09-30,0.1803,0.0,-0.047434,-0.0
2023-10-31,-0.5466,0.0,-0.021708,-0.0
2023-11-30,0.3932,1.0,0.091344,0.091344
2023-12-31,-0.2586,0.0,0.045655,0.0
2024-01-31,-1.3725,0.0,0.015926,0.0
2024-02-29,1.071,0.0,0.052187,0.0
2024-03-31,0.172,0.0,0.032702,0.0
2024-04-30,-0.2131,0.0,-0.04032,-0.0
2024-05-31,0.6181,0.0,0.05058,0.0
2024-06-30,0.0307,1.0,0.03528,0.03528
2024-07-31,-0.9102,0.0,0.012109,0.0
2024-08-31,0.4553,0.0,0.023366,0.0
2024-09-30,-0.6198,0.0,0.021005,0.0
2024-10-31,-0.3396,0.0,-0.008924,-0.0
2024-11-30,-0.1779,0.0,0.059633,0.0
2024-12-31,1.0422,0.0,-0.02406,-0.0
2025-01-31,-0.2617,0.0,0.026856,0.0
2025-02-28,1.0339,0.0,-0.012695,-0.0
2025-03-31,-0.0583,0.0,-0.055719,-0.0
2025-04-30,0.0866,1.0,-0.00867,-0.00867
2025-05-31,-0.1606,0.0,0.062845,0.0
2025-06-30,0.5081,1.0,0.051386,0.051386
2025-07-31,0.4094,0.0,0.023032,0.0
2025-08-31,-0.2643,0.0,0.020519,0.0
2025-09-30,0.0799,0.0,0.03562,0.0
2025-10-31,-0.4414,0.0,0.023837,0.0
2025-11-30,0.119,0.0,0.00195,0.0
2025-12-31,0.2487,0.0,0.008268,0.0
