# Simulated trade record based on backtest signals. No real trades executed. Starting capital: $10,000. Commission: 5 bps. Pair: indpro_spy. Strategy: P1_long_cash (procyclical). Signal: INDPRO 1-month momentum. Source: strategy_returns_20260620.csv (ECON-SR1 reconciled canonical series).
trade_date,side,instrument,quantity_pct,price,notional_usd,commission_bps,commission_usd,cum_pnl_pct,reason
1994-02-28,BUY,SPY,100.0,26.4763,10000.0,5,5.0,-2.9164,P1_long_cash/procyclical: INDPRO 1-month momentum = 0.058 — initial entry to 100% long
1994-04-30,SELL,SPY,0.0,25.6514,0.0,5,0.0,-6.9844,P1_long_cash/procyclical: INDPRO 1-month momentum = 0.591 — exit to cash
1994-05-31,BUY,SPY,100.0,26.0602,10000.0,5,5.0,-5.5018,P1_long_cash/procyclical: INDPRO 1-month momentum = 0.460 — initial entry to 100% long
1994-06-30,SELL,SPY,0.0,25.4631,0.0,5,0.0,-5.5018,P1_long_cash/procyclical: INDPRO 1-month momentum = 0.675 — exit to cash
1994-08-31,BUY,SPY,100.0,27.2883,10000.0,5,5.0,-1.8995,P1_long_cash/procyclical: INDPRO 1-month momentum = 0.670 — initial entry to 100% long
1994-10-31,SELL,SPY,0.0,27.3552,0.0,5,0.0,-4.377,P1_long_cash/procyclical: INDPRO 1-month momentum = 0.805 — exit to cash
1994-11-30,BUY,SPY,100.0,26.2661,10000.0,5,5.0,-8.1843,P1_long_cash/procyclical: INDPRO 1-month momentum = 0.684 — initial entry to 100% long
1994-12-31,SELL,SPY,0.0,26.4573,0.0,5,0.0,-8.1843,P1_long_cash/procyclical: INDPRO 1-month momentum = 1.022 — exit to cash
1995-01-31,BUY,SPY,100.0,27.3465,10000.0,5,5.0,-5.0986,P1_long_cash/procyclical: INDPRO 1-month momentum = 0.170 — initial entry to 100% long
1995-02-28,SELL,SPY,0.0,28.4625,0.0,5,0.0,-5.0986,P1_long_cash/procyclical: INDPRO 1-month momentum = -0.113 — exit to cash
1995-03-31,BUY,SPY,100.0,29.2551,10000.0,5,5.0,-2.4558,P1_long_cash/procyclical: INDPRO 1-month momentum = 0.166 — initial entry to 100% long
1995-06-30,SELL,SPY,0.0,31.9503,0.0,5,0.0,4.4182,P1_long_cash/procyclical: INDPRO 1-month momentum = 0.331 — exit to cash
1996-01-31,BUY,SPY,100.0,37.8235,10000.0,5,5.0,8.1332,P1_long_cash/procyclical: INDPRO 1-month momentum = -0.572 — initial entry to 100% long
1996-02-29,SELL,SPY,0.0,37.9442,0.0,5,0.0,8.1332,P1_long_cash/procyclical: INDPRO 1-month momentum = 1.464 — exit to cash
1996-07-31,BUY,SPY,100.0,38.4459,10000.0,5,5.0,3.2742,P1_long_cash/procyclical: INDPRO 1-month momentum = 0.015 — initial entry to 100% long
1996-08-31,SELL,SPY,0.0,39.1863,0.0,5,0.0,3.2742,P1_long_cash/procyclical: INDPRO 1-month momentum = 0.512 — exit to cash
1996-09-30,BUY,SPY,100.0,41.3757,10000.0,5,5.0,9.0444,P1_long_cash/procyclical: INDPRO 1-month momentum = 0.626 — initial entry to 100% long
1996-12-31,SELL,SPY,0.0,44.741,0.0,5,0.0,20.788,P1_long_cash/procyclical: INDPRO 1-month momentum = 0.641 — exit to cash
1997-04-30,BUY,SPY,100.0,48.7137,10000.0,5,5.0,28.3498,P1_long_cash/procyclical: INDPRO 1-month momentum = 0.117 — initial entry to 100% long
1997-05-31,SELL,SPY,0.0,51.7928,0.0,5,0.0,28.3498,P1_long_cash/procyclical: INDPRO 1-month momentum = 0.554 — exit to cash
1997-07-31,BUY,SPY,100.0,58.1956,10000.0,5,5.0,38.5233,P1_long_cash/procyclical: INDPRO 1-month momentum = 0.854 — initial entry to 100% long
1997-08-31,SELL,SPY,0.0,55.1809,0.0,5,0.0,38.5233,P1_long_cash/procyclical: INDPRO 1-month momentum = 1.000 — exit to cash
1997-12-31,BUY,SPY,100.0,59.7182,10000.0,5,5.0,41.1652,P1_long_cash/procyclical: INDPRO 1-month momentum = 0.426 — initial entry to 100% long
1998-05-31,SELL,SPY,0.0,67.2748,0.0,5,0.0,62.4006,P1_long_cash/procyclical: INDPRO 1-month momentum = 0.659 — exit to cash
1999-01-31,BUY,SPY,100.0,79.56,10000.0,5,5.0,68.1213,P1_long_cash/procyclical: INDPRO 1-month momentum = 0.432 — initial entry to 100% long
