signal,horizon,method,correlation,p_value,n
indpro_yoy,xlp_fwd_1m,Pearson,0.0,0.9997,323
indpro_yoy,xlp_fwd_1m,Spearman,0.0185,0.7411,323
indpro_yoy,xlp_fwd_3m,Pearson,-0.0503,0.3693,321
indpro_yoy,xlp_fwd_3m,Spearman,-0.0143,0.7989,321
indpro_yoy,xlp_fwd_6m,Pearson,-0.0502,0.3726,318
indpro_yoy,xlp_fwd_6m,Spearman,0.0641,0.2545,318
indpro_yoy,xlp_fwd_12m,Pearson,-0.0321,0.5726,312
indpro_yoy,xlp_fwd_12m,Spearman,0.1008,0.0754,312
indpro_mom,xlp_fwd_1m,Pearson,0.0753,0.1764,324
indpro_mom,xlp_fwd_1m,Spearman,0.0099,0.8595,324
indpro_mom,xlp_fwd_3m,Pearson,0.0219,0.6948,322
indpro_mom,xlp_fwd_3m,Spearman,0.0375,0.5026,322
indpro_mom,xlp_fwd_6m,Pearson,0.0151,0.7876,319
indpro_mom,xlp_fwd_6m,Spearman,0.0104,0.8538,319
indpro_mom,xlp_fwd_12m,Pearson,0.0068,0.9044,313
indpro_mom,xlp_fwd_12m,Spearman,0.1352,0.0167,313
indpro_dev_trend,xlp_fwd_1m,Pearson,0.0063,0.9097,324
indpro_dev_trend,xlp_fwd_1m,Spearman,-0.0218,0.696,324
indpro_dev_trend,xlp_fwd_3m,Pearson,-0.0539,0.3348,322
indpro_dev_trend,xlp_fwd_3m,Spearman,-0.0285,0.6109,322
indpro_dev_trend,xlp_fwd_6m,Pearson,-0.059,0.2935,319
indpro_dev_trend,xlp_fwd_6m,Spearman,0.0393,0.4838,319
indpro_dev_trend,xlp_fwd_12m,Pearson,-0.0529,0.3512,313
indpro_dev_trend,xlp_fwd_12m,Spearman,0.1332,0.0184,313
indpro_zscore_60m,xlp_fwd_1m,Pearson,-0.0286,0.6293,288
indpro_zscore_60m,xlp_fwd_1m,Spearman,-0.0085,0.8852,288
indpro_zscore_60m,xlp_fwd_3m,Pearson,-0.1016,0.0864,286
indpro_zscore_60m,xlp_fwd_3m,Spearman,-0.0653,0.271,286
indpro_zscore_60m,xlp_fwd_6m,Pearson,-0.1293,0.0297,283
indpro_zscore_60m,xlp_fwd_6m,Spearman,-0.0609,0.3077,283
indpro_zscore_60m,xlp_fwd_12m,Pearson,-0.1874,0.0017,277
indpro_zscore_60m,xlp_fwd_12m,Spearman,-0.0785,0.1924,277
indpro_mom_3m,xlp_fwd_1m,Pearson,0.0178,0.7496,324
indpro_mom_3m,xlp_fwd_1m,Spearman,-0.0264,0.6354,324
indpro_mom_3m,xlp_fwd_3m,Pearson,-0.0662,0.2359,322
indpro_mom_3m,xlp_fwd_3m,Spearman,-0.0542,0.3326,322
indpro_mom_3m,xlp_fwd_6m,Pearson,-0.0694,0.2161,319
indpro_mom_3m,xlp_fwd_6m,Spearman,-0.0036,0.9487,319
indpro_mom_3m,xlp_fwd_12m,Pearson,-0.0514,0.3648,313
indpro_mom_3m,xlp_fwd_12m,Spearman,0.1065,0.0598,313
indpro_mom_6m,xlp_fwd_1m,Pearson,0.0144,0.7961,324
indpro_mom_6m,xlp_fwd_1m,Spearman,-0.0498,0.3715,324
indpro_mom_6m,xlp_fwd_3m,Pearson,-0.0677,0.2259,322
indpro_mom_6m,xlp_fwd_3m,Spearman,-0.0602,0.2812,322
indpro_mom_6m,xlp_fwd_6m,Pearson,-0.0505,0.3686,319
indpro_mom_6m,xlp_fwd_6m,Spearman,0.0048,0.9322,319
indpro_mom_6m,xlp_fwd_12m,Pearson,-0.0551,0.3315,313
indpro_mom_6m,xlp_fwd_12m,Spearman,0.1113,0.0491,313
indpro_accel,xlp_fwd_1m,Pearson,0.0111,0.8423,324
indpro_accel,xlp_fwd_1m,Spearman,0.0136,0.8075,324
indpro_accel,xlp_fwd_3m,Pearson,0.0871,0.1188,322
indpro_accel,xlp_fwd_3m,Spearman,0.0936,0.0937,322
indpro_accel,xlp_fwd_6m,Pearson,0.0553,0.3246,319
indpro_accel,xlp_fwd_6m,Spearman,0.0329,0.558,319
indpro_accel,xlp_fwd_12m,Pearson,0.0278,0.6244,313
indpro_accel,xlp_fwd_12m,Spearman,0.0154,0.7863,313
indpro_contraction,xlp_fwd_1m,Pearson,-0.0406,0.4669,324
indpro_contraction,xlp_fwd_1m,Spearman,-0.0159,0.7757,324
indpro_contraction,xlp_fwd_3m,Pearson,-0.05,0.371,322
indpro_contraction,xlp_fwd_3m,Spearman,-0.0013,0.9813,322
indpro_contraction,xlp_fwd_6m,Pearson,-0.0761,0.1751,319
indpro_contraction,xlp_fwd_6m,Spearman,-0.0387,0.4908,319
indpro_contraction,xlp_fwd_12m,Pearson,-0.0783,0.1671,313
indpro_contraction,xlp_fwd_12m,Spearman,-0.0544,0.3372,313
