signal,threshold,strategy,lookback,signal_column,lead_months,oos_sharpe,valid,lead_source
S1_level,T1_fixed_p25,P1_long_cash_pro,LB_NA,indpro,0,0.7281,True,pipeline
S1_level,T1_fixed_p25,P1_long_cash_counter,LB_NA,indpro,0,0.3235,True,pipeline
S1_level,T1_fixed_p25,P2_signal_strength_pro,LB_NA,indpro,0,0.6558,True,pipeline
S1_level,T1_fixed_p25,P2_signal_strength_counter,LB_NA,indpro,0,0.7021,True,pipeline
S1_level,T1_fixed_p25,P3_long_short_pro,LB_NA,indpro,0,0.7108,True,pipeline
S1_level,T1_fixed_p25,P3_long_short_counter,LB_NA,indpro,0,-0.7108,False,pipeline
S1_level,T1_fixed_p50,P1_long_cash_pro,LB_NA,indpro,0,0.5923,True,pipeline
S1_level,T1_fixed_p50,P1_long_cash_counter,LB_NA,indpro,0,0.5158,True,pipeline
S1_level,T1_fixed_p50,P2_signal_strength_pro,LB_NA,indpro,0,0.6558,True,pipeline
S1_level,T1_fixed_p50,P2_signal_strength_counter,LB_NA,indpro,0,0.7021,True,pipeline
S1_level,T1_fixed_p50,P3_long_short_pro,LB_NA,indpro,0,0.3663,True,pipeline
S1_level,T1_fixed_p50,P3_long_short_counter,LB_NA,indpro,0,-0.3663,False,pipeline
S1_level,T1_fixed_p75,P1_long_cash_pro,LB_NA,indpro,0,0.4609,True,pipeline
S1_level,T1_fixed_p75,P1_long_cash_counter,LB_NA,indpro,0,0.6402,True,pipeline
S1_level,T1_fixed_p75,P2_signal_strength_pro,LB_NA,indpro,0,0.6558,True,pipeline
S1_level,T1_fixed_p75,P2_signal_strength_counter,LB_NA,indpro,0,0.7021,True,pipeline
S1_level,T1_fixed_p75,P3_long_short_pro,LB_NA,indpro,0,0.0375,True,pipeline
S1_level,T1_fixed_p75,P3_long_short_counter,LB_NA,indpro,0,-0.0375,False,pipeline
S1_level,T2_roll_p25,P1_long_cash_pro,LB_NA,indpro,0,0.4698,True,pipeline
S1_level,T2_roll_p25,P1_long_cash_counter,LB_NA,indpro,0,0.6709,True,pipeline
S1_level,T2_roll_p25,P2_signal_strength_pro,LB_NA,indpro,0,0.6558,True,pipeline
S1_level,T2_roll_p25,P2_signal_strength_counter,LB_NA,indpro,0,0.7021,True,pipeline
S1_level,T2_roll_p25,P3_long_short_pro,LB_NA,indpro,0,0.0864,True,pipeline
S1_level,T2_roll_p25,P3_long_short_counter,LB_NA,indpro,0,-0.0864,False,pipeline
S1_level,T2_roll_p50,P1_long_cash_pro,LB_NA,indpro,0,0.4687,True,pipeline
S1_level,T2_roll_p50,P1_long_cash_counter,LB_NA,indpro,0,0.5679,True,pipeline
S1_level,T2_roll_p50,P2_signal_strength_pro,LB_NA,indpro,0,0.6558,True,pipeline
S1_level,T2_roll_p50,P2_signal_strength_counter,LB_NA,indpro,0,0.7021,True,pipeline
S1_level,T2_roll_p50,P3_long_short_pro,LB_NA,indpro,0,-0.1685,False,pipeline
S1_level,T2_roll_p50,P3_long_short_counter,LB_NA,indpro,0,0.1685,True,pipeline
S1_level,T2_roll_p75,P1_long_cash_pro,LB_NA,indpro,0,0.1681,True,pipeline
S1_level,T2_roll_p75,P1_long_cash_counter,LB_NA,indpro,0,0.7228,True,pipeline
S1_level,T2_roll_p75,P2_signal_strength_pro,LB_NA,indpro,0,0.6558,True,pipeline
S1_level,T2_roll_p75,P2_signal_strength_counter,LB_NA,indpro,0,0.7021,True,pipeline
S1_level,T2_roll_p75,P3_long_short_pro,LB_NA,indpro,0,-0.6596,False,pipeline
