date,granger_f_24m,p_value_24m
2000-11-30,5.1102,0.0135
2000-12-31,5.4253,0.011
2001-01-31,5.0887,0.0137
2001-02-28,4.9017,0.0156
2001-03-31,5.7807,0.0087
2001-04-30,5.8662,0.0082
2001-05-31,4.9025,0.0156
2001-06-30,4.1589,0.0266
2001-07-31,4.1676,0.0264
2001-08-31,3.3389,0.0502
2001-09-30,3.1817,0.0571
2001-10-31,0.6736,0.5824
2001-11-30,0.863,0.4832
2001-12-31,0.9979,0.4226
2002-01-31,0.7759,0.5267
2002-02-28,1.1503,0.3633
2002-03-31,1.7794,0.1972
2002-04-30,1.6101,0.2318
2002-05-31,0.3252,0.8072
2002-06-30,0.4321,0.7333
2002-07-31,0.3463,0.7924
2002-08-31,0.969,0.4349
2002-09-30,1.4237,0.2777
2002-10-31,1.2853,0.318
2002-11-30,1.1068,0.3793
2002-12-31,0.7585,0.5358
2003-01-31,0.7848,0.522
2003-02-28,0.8076,0.5104
2003-03-31,0.5837,0.6355
2003-04-30,0.3551,0.7862
2003-05-31,0.3757,0.7719
2003-06-30,0.3475,0.7915
2003-07-31,0.5303,0.6688
2003-08-31,0.612,0.6183
2003-09-30,0.3375,0.7985
2003-10-31,0.349,0.7905
2003-11-30,0.3912,0.7612
2003-12-31,0.3001,0.8248
2004-01-31,0.2764,0.8415
2004-02-29,0.325,0.8073
2004-03-31,0.5996,0.6258
2004-04-30,0.2543,0.857
2004-05-31,0.4603,0.7144
2004-06-30,0.864,0.4827
2004-07-31,0.8657,0.4819
2004-08-31,1.0118,0.4168
2004-09-30,1.08,0.3895
2004-10-31,2.4918,0.1027
2004-11-30,1.8605,0.1827
2004-12-31,1.897,0.1765
2005-01-31,1.0903,0.3855
2005-02-28,1.2465,0.3303
2005-03-31,1.1366,0.3683
2005-04-30,2.6072,0.0928
2005-05-31,1.5341,0.2494
2005-06-30,1.0615,0.3967
2005-07-31,1.2027,0.3449
2005-08-31,0.9816,0.4295
2005-09-30,1.0085,0.4182
2005-10-31,0.9052,0.4633
2005-11-30,0.7635,0.5332
2005-12-31,0.6152,0.6164
2006-01-31,0.5241,0.6727
2006-02-28,0.5489,0.657
2006-03-31,0.1506,0.9276
2006-04-30,0.1346,0.9378
2006-05-31,0.0713,0.9743
2006-06-30,0.0646,0.9777
2006-07-31,0.0439,0.9872
2006-08-31,0.0177,0.9967
2006-09-30,0.028,0.9934
2006-10-31,0.0913,0.9636
2006-11-30,0.0782,0.9708
2006-12-31,0.0803,0.9696
2007-01-31,0.2399,0.8671
2007-02-28,0.3474,0.7916
2007-03-31,0.4126,0.7466
2007-04-30,0.3359,0.7997
2007-05-31,0.1997,0.8948
2007-06-30,0.2333,0.8717
2007-07-31,0.4632,0.7125
2007-08-31,0.4171,0.7435
2007-09-30,0.1106,0.9525
2007-10-31,0.1646,0.9184
2007-11-30,0.2556,0.8561
2007-12-31,0.7777,0.5257
2008-01-31,0.7476,0.5416
2008-02-29,0.6535,0.5939
2008-03-31,0.2543,0.857
2008-04-30,0.2747,0.8426
2008-05-31,0.2728,0.844
2008-06-30,0.2924,0.8302
2008-07-31,0.1583,0.9226
2008-08-31,0.0395,0.9891
2008-09-30,0.7508,0.5398
2008-10-31,0.5592,0.6506
2008-11-30,0.2332,0.8717
2008-12-31,0.35,0.7898
2009-01-31,0.5648,0.6471
2009-02-28,0.8008,0.5139
2009-03-31,0.7983,0.5151
2009-04-30,0.6533,0.594
2009-05-31,0.6219,0.6124
2009-06-30,0.7503,0.5401
2009-07-31,0.649,0.5965
2009-08-31,0.8151,0.5066
2009-09-30,1.1145,0.3764
2009-10-31,0.9882,0.4267
2009-11-30,1.4193,0.2789
2009-12-31,1.2586,0.3264
2010-01-31,1.1842,0.3513
2010-02-28,1.085,0.3876
