signal,threshold,strategy,lead_months,is_sharpe,oos_sharpe,oos_sortino,oos_calmar,oos_ann_return,oos_ann_vol,max_drawdown,win_rate,annual_turnover,is_n,oos_n,valid
S1_level,T1_fixed_p25,P1_long_cash_pro,0,0.6472,0.7281,1.3213,0.7131,9.48,13.02,-13.29,0.5714,0.46,240,84,True
S1_level,T1_fixed_p25,P1_long_cash_counter,0,-0.075,0.3235,0.0,0.916,0.21,0.64,-0.22,0.0119,0.46,240,84,True
S1_level,T1_fixed_p25,P2_signal_strength_pro,0,0.5851,0.6558,1.2154,0.5852,6.46,9.84,-11.03,0.5595,0.47,216,84,True
S1_level,T1_fixed_p25,P2_signal_strength_counter,0,0.2825,0.7021,1.1027,0.4718,3.23,4.6,-6.84,0.5714,0.47,216,84,True
S1_level,T1_fixed_p25,P3_long_short_pro,0,0.5891,0.7108,1.3061,0.6976,9.27,13.05,-13.29,0.5833,0.93,240,84,True
S1_level,T1_fixed_p25,P3_long_short_counter,0,-0.5891,-0.7108,-1.1211,-0.1857,-9.27,13.05,-49.93,0.4167,0.93,240,84,False
S1_level,T1_fixed_p50,P1_long_cash_pro,0,0.6549,0.5923,0.9868,0.5468,7.27,12.27,-13.29,0.5357,0.32,240,84,True
S1_level,T1_fixed_p50,P1_long_cash_counter,0,0.1388,0.5158,0.5263,0.5372,2.42,4.68,-4.5,0.0476,0.32,240,84,True
S1_level,T1_fixed_p50,P2_signal_strength_pro,0,0.5851,0.6558,1.2154,0.5852,6.46,9.84,-11.03,0.5595,0.47,216,84,True
S1_level,T1_fixed_p50,P2_signal_strength_counter,0,0.2825,0.7021,1.1027,0.4718,3.23,4.6,-6.84,0.5714,0.47,216,84,True
S1_level,T1_fixed_p50,P3_long_short_pro,0,0.2828,0.3663,0.6011,0.2383,4.85,13.25,-20.36,0.5714,0.64,240,84,True
S1_level,T1_fixed_p50,P3_long_short_counter,0,-0.2828,-0.3663,-0.6306,-0.1529,-4.85,13.25,-31.73,0.4286,0.64,240,84,False
S1_level,T1_fixed_p75,P1_long_cash_pro,0,0.3261,0.4609,0.6702,0.2635,5.09,11.05,-19.32,0.4286,0.68,240,84,True
S1_level,T1_fixed_p75,P1_long_cash_counter,0,0.3954,0.6402,0.7406,0.7464,4.59,7.17,-6.15,0.1548,0.68,240,84,True
S1_level,T1_fixed_p75,P2_signal_strength_pro,0,0.5851,0.6558,1.2154,0.5852,6.46,9.84,-11.03,0.5595,0.47,216,84,True
S1_level,T1_fixed_p75,P2_signal_strength_counter,0,0.2825,0.7021,1.1027,0.4718,3.23,4.6,-6.84,0.5714,0.47,216,84,True
S1_level,T1_fixed_p75,P3_long_short_pro,0,-0.1813,0.0375,0.0613,0.0113,0.5,13.32,-44.37,0.5357,1.36,240,84,True
S1_level,T1_fixed_p75,P3_long_short_counter,0,0.1813,-0.0375,-0.0661,-0.0154,-0.5,13.32,-32.51,0.4643,1.36,240,84,False
S1_level,T2_roll_p25,P1_long_cash_pro,0,0.5479,0.4698,0.7359,0.3689,5.42,11.53,-14.69,0.4881,0.32,240,84,True
S1_level,T2_roll_p25,P1_long_cash_counter,0,0.1148,0.6709,0.6123,0.8565,4.27,6.36,-4.98,0.0952,0.32,240,84,True
S1_level,T2_roll_p25,P2_signal_strength_pro,0,0.5851,0.6558,1.2154,0.5852,6.46,9.84,-11.03,0.5595,0.47,216,84,True
S1_level,T2_roll_p25,P2_signal_strength_counter,0,0.2825,0.7021,1.1027,0.4718,3.23,4.6,-6.84,0.5714,0.47,216,84,True
S1_level,T2_roll_p25,P3_long_short_pro,0,0.3663,0.0864,0.137,0.0306,1.15,13.32,-37.66,0.5357,0.64,240,84,True
S1_level,T2_roll_p25,P3_long_short_counter,0,-0.3663,-0.0864,-0.1569,-0.0392,-1.15,13.32,-29.36,0.4643,0.64,240,84,False
S1_level,T2_roll_p50,P1_long_cash_pro,0,0.4323,0.4687,0.5852,0.3164,3.72,7.94,-11.76,0.2381,1.04,240,84,True
S1_level,T2_roll_p50,P1_long_cash_counter,0,0.2783,0.5679,0.7637,0.5849,5.96,10.5,-10.2,0.3452,1.04,240,84,True
