date,signal_value,position,xlp_return,strategy_return
2019-01-31,-0.6888,1.0,0.051398,0.051398
2019-02-28,0.1179,1.0,0.017793,0.017793
2019-03-31,0.5839,1.0,0.03823,0.03823
2019-04-30,-0.6224,1.0,0.028515,0.028515
2019-05-31,0.7003,1.0,-0.036389,-0.036389
2019-06-30,-0.0709,0.0,0.052195,0.0
2019-07-31,-0.5293,1.0,0.02342,0.02342
2019-08-31,1.1698,0.0,0.021706,0.0
2019-09-30,-1.0233,1.0,0.017513,0.017513
2019-10-31,-0.5059,1.0,-0.004233,-0.004233
2019-11-30,1.3462,0.0,0.013735,0.0
2019-12-31,-0.7343,1.0,0.024127,0.024127
2020-01-31,-0.423,1.0,0.003176,0.003176
2020-02-29,0.9916,0.0,-0.082146,-0.0
2020-03-31,-4.2482,1.0,-0.055321,-0.055321
2020-04-30,-9.2758,1.0,0.069579,0.069579
2020-05-31,14.8416,0.0,0.01665,0.0
2020-06-30,4.8992,1.0,-0.002246,-0.002246
2020-07-31,-2.8058,1.0,0.069236,0.069236
2020-08-31,-2.7693,0.0,0.045933,0.0
2020-09-30,-0.9654,0.0,-0.016748,-0.0
2020-10-31,0.7925,1.0,-0.028705,-0.028705
2020-11-30,-0.4512,1.0,0.074687,0.074687
2020-12-31,0.9662,1.0,0.01651,0.01651
2021-01-31,-0.7921,0.0,-0.049815,-0.0
2021-02-28,-3.8321,1.0,-0.012326,-0.012326
2021-03-31,6.202,0.0,0.084982,0.0
2021-04-30,-2.7218,1.0,0.018592,0.018592
2021-05-31,0.7114,1.0,0.017677,0.017677
2021-06-30,-0.5199,0.0,-0.005444,-0.0
2021-07-31,0.0866,1.0,0.02201,0.02201
2021-08-31,-0.6618,0.0,0.010488,0.0
2021-09-30,-0.9776,1.0,-0.041392,-0.041392
2021-10-31,2.5288,1.0,0.035009,0.035009
2021-11-30,-0.6655,1.0,-0.013474,-0.013474
2021-12-31,-0.9683,1.0,0.104547,0.104547
2022-01-31,-0.0945,0.0,-0.014784,-0.0
2022-02-28,1.0044,1.0,-0.014084,-0.014084
2022-03-31,-0.04,1.0,0.017813,0.017813
2022-04-30,-0.531,1.0,0.023059,0.023059
2022-05-31,-0.1536,0.0,-0.040829,-0.0
2022-06-30,-0.2064,1.0,-0.023472,-0.023472
2022-07-31,0.5143,1.0,0.032003,0.032003
2022-08-31,-0.3281,1.0,-0.018526,-0.018526
2022-09-30,0.3185,1.0,-0.081328,-0.081328
2022-10-31,-0.2318,1.0,0.090064,0.090064
2022-11-30,-0.2556,1.0,0.061177,0.061177
2022-12-31,-0.8835,1.0,-0.027275,-0.027275
2023-01-31,1.9179,1.0,-0.010865,-0.010865
2023-02-28,-0.6044,1.0,-0.02319,-0.02319
2023-03-31,0.2406,1.0,0.042193,0.042193
2023-04-30,-0.1463,0.0,0.036542,0.0
2023-05-31,-0.5505,1.0,-0.061596,-0.061596
2023-06-30,-0.4812,1.0,0.027882,0.027882
2023-07-31,1.5877,1.0,0.021302,0.021302
2023-08-31,-0.853,1.0,-0.039472,-0.039472
2023-09-30,0.2471,1.0,-0.047879,-0.047879
2023-10-31,-0.7269,0.0,-0.013806,-0.0
2023-11-30,0.9398,1.0,0.041261,0.041261
2023-12-31,-0.6517,1.0,0.027116,0.027116
2024-01-31,-1.114,1.0,0.012356,0.012356
2024-02-29,2.4436,0.0,0.020982,0.0
2024-03-31,-0.899,1.0,0.033206,0.033206
2024-04-30,-0.3851,1.0,-0.011262,-0.011262
2024-05-31,0.8312,0.0,0.024371,0.0
2024-06-30,-0.5874,1.0,-0.002351,-0.002351
2024-07-31,-0.9409,1.0,0.016584,0.016584
2024-08-31,1.3655,0.0,0.059859,0.0
2024-09-30,-1.0751,1.0,0.011284,0.011284
2024-10-31,0.2803,1.0,-0.034699,-0.034699
2024-11-30,0.1616,0.0,0.038692,0.0
2024-12-31,1.2201,1.0,-0.048228,-0.048228
2025-01-31,-1.3039,1.0,0.004707,0.004707
2025-02-28,1.2957,1.0,0.051912,0.051912
2025-03-31,-1.0922,0.0,-0.011765,-0.0
2025-04-30,0.1449,1.0,0.001959,0.001959
2025-05-31,-0.2472,0.0,0.01222,0.0
2025-06-30,0.6687,1.0,-0.01575,-0.01575
2025-07-31,-0.0986,1.0,-0.014697,-0.014697
2025-08-31,-0.6737,1.0,0.012534,0.012534
2025-09-30,0.3442,0.0,-0.023177,-0.0
2025-10-31,-0.5213,1.0,-0.026668,-0.026668
2025-11-30,0.5604,1.0,0.040509,0.040509
2025-12-31,0.1297,1.0,-0.007472,-0.007472
