# Simulated trade record based on backtest signals. No real trades executed. Starting capital: $10,000. Commission: 5 bps. Pair: indpro_xlp. Strategy: P1_long_cash (procyclical). Signal: INDPRO 1-month momentum. Source: strategy_returns_20260620.csv (ECON-SR1 reconciled canonical series).
trade_date,side,instrument,quantity_pct,price,notional_usd,commission_bps,commission_usd,cum_pnl_pct,reason
1999-02-28,BUY,XLP,100.0,13.9943,10000.0,5,5.0,-1.0496,P1_long_cash/procyclical: INDPRO 1-month momentum = 0.608 — initial entry to 100% long
1999-03-31,SELL,XLP,0.0,13.9777,0.0,5,0.0,-1.0496,P1_long_cash/procyclical: INDPRO 1-month momentum = 0.227 — exit to cash
1999-04-30,BUY,XLP,100.0,13.4903,10000.0,5,5.0,-4.5,P1_long_cash/procyclical: INDPRO 1-month momentum = 0.230 — initial entry to 100% long
1999-06-30,SELL,XLP,0.0,13.5856,0.0,5,0.0,-5.4941,P1_long_cash/procyclical: INDPRO 1-month momentum = -0.078 — exit to cash
1999-08-31,BUY,XLP,100.0,13.3036,10000.0,5,5.0,-3.8761,P1_long_cash/procyclical: INDPRO 1-month momentum = 0.402 — initial entry to 100% long
1999-09-30,SELL,XLP,0.0,12.1035,0.0,5,0.0,-3.8761,P1_long_cash/procyclical: INDPRO 1-month momentum = -0.404 — exit to cash
1999-10-31,BUY,XLP,100.0,13.2091,10000.0,5,5.0,4.9045,P1_long_cash/procyclical: INDPRO 1-month momentum = 1.222 — initial entry to 100% long
1999-11-30,SELL,XLP,0.0,13.2506,0.0,5,0.0,4.9045,P1_long_cash/procyclical: INDPRO 1-month momentum = 0.485 — exit to cash
1999-12-31,BUY,XLP,100.0,12.2889,10000.0,5,5.0,-2.7096,P1_long_cash/procyclical: INDPRO 1-month momentum = 0.771 — initial entry to 100% long
2000-06-30,SELL,XLP,0.0,13.5388,0.0,5,0.0,1.4433,P1_long_cash/procyclical: INDPRO 1-month momentum = 0.039 — exit to cash
2000-07-31,BUY,XLP,100.0,13.0442,10000.0,5,5.0,-2.2627,P1_long_cash/procyclical: INDPRO 1-month momentum = -0.195 — initial entry to 100% long
2000-09-30,SELL,XLP,0.0,13.4557,0.0,5,0.0,-3.4561,P1_long_cash/procyclical: INDPRO 1-month momentum = 0.461 — exit to cash
2000-10-31,BUY,XLP,100.0,14.3898,10000.0,5,5.0,3.2458,P1_long_cash/procyclical: INDPRO 1-month momentum = -0.389 — initial entry to 100% long
2001-01-31,SELL,XLP,0.0,14.3029,0.0,5,0.0,10.6934,P1_long_cash/procyclical: INDPRO 1-month momentum = -0.476 — exit to cash
2001-02-28,BUY,XLP,100.0,14.3894,10000.0,5,5.0,11.3623,P1_long_cash/procyclical: INDPRO 1-month momentum = -0.651 — initial entry to 100% long
2001-06-30,SELL,XLP,0.0,13.2111,0.0,5,0.0,7.2021,P1_long_cash/procyclical: INDPRO 1-month momentum = -0.528 — exit to cash
2001-09-30,BUY,XLP,100.0,13.662,10000.0,5,5.0,7.0728,P1_long_cash/procyclical: INDPRO 1-month momentum = -0.507 — initial entry to 100% long
