pair_name,metric,value,p_value
ism_level_to_spy_fwd_1m,pearson,0.017312961874508117,0.7322391492179205
ism_level_to_spy_fwd_3m,pearson,-0.0034431235599403204,0.9458926360188648
ism_level_to_spy_fwd_6m,pearson,-0.03309497222482277,0.5157115216451562
ism_diff_1m_to_spy_fwd_1m,pearson,0.018981538599455238,0.7079216045163751
ism_diff_1m_to_spy_fwd_3m,pearson,0.061444046532425946,0.22602115313454346
ism_diff_1m_to_spy_fwd_6m,pearson,0.07421058446069674,0.1450662830102891
ism_chg_12m_to_spy_fwd_1m,pearson,0.032128462511363205,0.5318244484246872
ism_chg_12m_to_spy_fwd_3m,pearson,0.03189993990619476,0.5358295430149942
ism_chg_12m_to_spy_fwd_6m,pearson,0.03538926179000497,0.4938787121109901
ism_zscore_60m_to_spy_fwd_1m,pearson,0.06039543102603129,0.24651465668221723
ism_zscore_60m_to_spy_fwd_3m,pearson,0.07188318398849161,0.16880679609316343
ism_zscore_60m_to_spy_fwd_6m,pearson,0.05473228830757899,0.29701587923479045
