pair_name,horizon_days,metric,value,p_value,n_obs
level__spy_fwd_1m,21,pearson,-0.0291,0.594,339
level__spy_fwd_1m,21,spearman,-0.0709,0.1926,339
level__spy_fwd_1m,21,kendall,-0.0484,0.1846,339
level__spy_fwd_1m,21,distance,0.1292,,339
level__spy_fwd_3m,63,pearson,-0.0325,0.5523,337
level__spy_fwd_3m,63,spearman,-0.0843,0.1223,337
level__spy_fwd_3m,63,kendall,-0.0612,0.0947,337
level__spy_fwd_3m,63,distance,0.1938,,337
level__spy_fwd_6m,126,pearson,-0.0564,0.3039,334
level__spy_fwd_6m,126,spearman,-0.0889,0.1049,334
level__spy_fwd_6m,126,kendall,-0.0687,0.0618,334
level__spy_fwd_6m,126,distance,0.2276,,334
level__spy_fwd_12m,252,pearson,-0.1002,0.0698,328
level__spy_fwd_12m,252,spearman,-0.1747,0.0015,328
level__spy_fwd_12m,252,kendall,-0.1331,0.0003,328
level__spy_fwd_12m,252,distance,0.2959,,328
gap_50__spy_fwd_1m,21,pearson,-0.0291,0.594,339
gap_50__spy_fwd_1m,21,spearman,-0.0709,0.1926,339
gap_50__spy_fwd_1m,21,kendall,-0.0484,0.1846,339
gap_50__spy_fwd_1m,21,distance,0.1292,,339
gap_50__spy_fwd_3m,63,pearson,-0.0325,0.5523,337
gap_50__spy_fwd_3m,63,spearman,-0.0843,0.1223,337
gap_50__spy_fwd_3m,63,kendall,-0.0612,0.0947,337
gap_50__spy_fwd_3m,63,distance,0.1938,,337
gap_50__spy_fwd_6m,126,pearson,-0.0564,0.3039,334
gap_50__spy_fwd_6m,126,spearman,-0.0889,0.1049,334
gap_50__spy_fwd_6m,126,kendall,-0.0687,0.0618,334
gap_50__spy_fwd_6m,126,distance,0.2276,,334
gap_50__spy_fwd_12m,252,pearson,-0.1002,0.0698,328
gap_50__spy_fwd_12m,252,spearman,-0.1747,0.0015,328
gap_50__spy_fwd_12m,252,kendall,-0.1331,0.0003,328
gap_50__spy_fwd_12m,252,distance,0.2959,,328
