direction,lag,f_statistic,p_value,significant
indicator_to_target,1,0.9836,0.322,False
target_to_indicator,1,30.1983,0.0,True
indicator_to_target,2,0.9608,0.3837,False
target_to_indicator,2,23.5071,0.0,True
indicator_to_target,3,0.8769,0.4533,False
target_to_indicator,3,19.0702,0.0,True
indicator_to_target,4,0.9298,0.4468,False
target_to_indicator,4,15.0074,0.0,True
indicator_to_target,5,1.1323,0.343,False
target_to_indicator,5,11.7556,0.0,True
indicator_to_target,6,1.1569,0.3293,False
target_to_indicator,6,9.5593,0.0,True
indicator_to_target,7,1.7013,0.108,False
target_to_indicator,7,8.3844,0.0,True
indicator_to_target,8,1.416,0.1888,False
target_to_indicator,8,7.6682,0.0,True
indicator_to_target,9,1.2032,0.2923,False
target_to_indicator,9,6.8309,0.0,True
indicator_to_target,10,1.0857,0.3727,False
target_to_indicator,10,6.5497,0.0,True
indicator_to_target,11,1.1877,0.2947,False
target_to_indicator,11,6.8644,0.0,True
indicator_to_target,12,1.0391,0.4126,False
target_to_indicator,12,6.4477,0.0,True
