signal,horizon,coef,se,t_stat,p_value,r_squared,n
level,spy_fwd_1m,-0.000324,0.000744,-0.436,0.6631,0.0008,339
level,spy_fwd_3m,-0.000619,0.001478,-0.419,0.6756,0.0011,337
level,spy_fwd_6m,-0.001576,0.001979,-0.796,0.4258,0.0032,334
level,spy_fwd_12m,-0.004157,0.00302,-1.376,0.1687,0.01,328
gap_50,spy_fwd_1m,-0.000324,0.000744,-0.436,0.6631,0.0008,339
gap_50,spy_fwd_3m,-0.000619,0.001478,-0.419,0.6756,0.0011,337
gap_50,spy_fwd_6m,-0.001576,0.001979,-0.796,0.4258,0.0032,334
gap_50,spy_fwd_12m,-0.004157,0.00302,-1.376,0.1687,0.01,328
delta,spy_fwd_1m,-0.001238,0.001194,-1.037,0.3,0.0036,338
delta,spy_fwd_3m,-0.000417,0.002147,-0.194,0.8459,0.0001,336
delta,spy_fwd_6m,0.000676,0.00323,0.209,0.8341,0.0002,333
delta,spy_fwd_12m,-0.000945,0.006406,-0.148,0.8827,0.0002,327
change_3m,spy_fwd_1m,-0.000218,0.00086,-0.253,0.8003,0.0002,336
change_3m,spy_fwd_3m,0.000481,0.001725,0.279,0.7801,0.0004,334
change_3m,spy_fwd_6m,0.000815,0.002175,0.375,0.7079,0.0005,331
change_3m,spy_fwd_12m,0.000106,0.004213,0.025,0.9799,0.0,325
change_6m,spy_fwd_1m,0.000172,0.000798,0.215,0.8296,0.0002,333
change_6m,spy_fwd_3m,0.000386,0.001496,0.258,0.7962,0.0003,331
change_6m,spy_fwd_6m,0.000504,0.002105,0.239,0.811,0.0003,328
change_6m,spy_fwd_12m,-0.000699,0.00322,-0.217,0.8283,0.0002,322
level_zscore_60m,spy_fwd_1m,0.00013,0.002277,0.057,0.9544,0.0,304
level_zscore_60m,spy_fwd_3m,0.003056,0.00442,0.691,0.4893,0.0026,302
level_zscore_60m,spy_fwd_6m,0.00638,0.006198,1.029,0.3033,0.0052,299
level_zscore_60m,spy_fwd_12m,0.007013,0.01108,0.633,0.5268,0.0028,293
above_50,spy_fwd_1m,0.001787,0.0102,0.175,0.8609,0.0002,339
above_50,spy_fwd_3m,-0.008469,0.018962,-0.447,0.6551,0.0012,337
above_50,spy_fwd_6m,0.014164,0.029065,0.487,0.626,0.0015,334
above_50,spy_fwd_12m,0.049272,0.048376,1.019,0.3084,0.0083,328
hmm_stress,spy_fwd_1m,-0.004809,0.005813,-0.827,0.4081,0.0024,339
hmm_stress,spy_fwd_3m,-0.016225,0.010858,-1.494,0.1351,0.0092,337
hmm_stress,spy_fwd_6m,-0.040923,0.016677,-2.454,0.0141,0.027,334
hmm_stress,spy_fwd_12m,-0.065735,0.026373,-2.493,0.0127,0.0305,328
