date,rolling_corr,n_obs,window_start
1999-10-31,0.0647,24,1997-11-30
1999-11-30,0.1121,24,1997-12-31
1999-12-31,0.0784,24,1998-01-31
2000-01-31,-0.003,24,1998-02-28
2000-02-29,-0.0996,24,1998-03-31
2000-03-31,-0.1429,24,1998-04-30
2000-04-30,-0.1332,24,1998-05-31
2000-05-31,-0.1465,24,1998-06-30
2000-06-30,-0.1864,24,1998-07-31
2000-07-31,-0.1954,24,1998-08-31
2000-08-31,-0.2969,24,1998-09-30
2000-09-30,-0.2981,24,1998-10-31
2000-10-31,-0.2623,24,1998-11-30
2000-11-30,-0.1981,24,1998-12-31
2000-12-31,-0.1579,24,1999-01-31
2001-01-31,-0.2456,24,1999-02-28
2001-02-28,-0.1776,24,1999-03-31
2001-03-31,-0.24,24,1999-04-30
2001-04-30,-0.1733,24,1999-05-31
2001-05-31,-0.0463,24,1999-06-30
2001-06-30,-0.0283,24,1999-07-31
2001-07-31,0.1175,24,1999-08-31
2001-08-31,0.2372,24,1999-09-30
2001-09-30,0.1714,24,1999-10-31
2001-10-31,0.0039,24,1999-11-30
2001-11-30,-0.0475,24,1999-12-31
2001-12-31,-0.0244,24,2000-01-31
2002-01-31,0.0055,24,2000-02-29
2002-02-28,-0.0763,24,2000-03-31
2002-03-31,-0.0204,24,2000-04-30
2002-04-30,-0.0189,24,2000-05-31
2002-05-31,-0.0477,24,2000-06-30
2002-06-30,-0.055,24,2000-07-31
2002-07-31,-0.1685,24,2000-08-31
2002-08-31,-0.1759,24,2000-09-30
2002-09-30,-0.17,24,2000-10-31
2002-10-31,-0.1407,24,2000-11-30
2002-11-30,-0.1579,24,2000-12-31
2002-12-31,-0.2666,24,2001-01-31
2003-01-31,-0.162,24,2001-02-28
2003-02-28,-0.0853,24,2001-03-31
2003-03-31,-0.1449,24,2001-04-30
2003-04-30,-0.0806,24,2001-05-31
2003-05-31,-0.0643,24,2001-06-30
2003-06-30,-0.0758,24,2001-07-31
2003-07-31,-0.1288,24,2001-08-31
2003-08-31,-0.194,24,2001-09-30
2003-09-30,-0.1213,24,2001-10-31
2003-10-31,-0.0207,24,2001-11-30
2003-11-30,0.0954,24,2001-12-31
2003-12-31,0.1084,24,2002-01-31
2004-01-31,0.085,24,2002-02-28
2004-02-29,0.1079,24,2002-03-31
2004-03-31,0.0203,24,2002-04-30
2004-04-30,0.032,24,2002-05-31
2004-05-31,0.0125,24,2002-06-30
2004-06-30,-0.0781,24,2002-07-31
2004-07-31,-0.0873,24,2002-08-31
2004-08-31,-0.1092,24,2002-09-30
2004-09-30,-0.0547,24,2002-10-31
2004-10-31,0.0817,24,2002-11-30
2004-11-30,-0.0419,24,2002-12-31
2004-12-31,-0.1434,24,2003-01-31
2005-01-31,-0.2138,24,2003-02-28
2005-02-28,-0.2693,24,2003-03-31
2005-03-31,-0.1906,24,2003-04-30
2005-04-30,-0.0945,24,2003-05-31
2005-05-31,-0.1092,24,2003-06-30
2005-06-30,-0.0724,24,2003-07-31
2005-07-31,0.0299,24,2003-08-31
2005-08-31,-0.0915,24,2003-09-30
2005-09-30,0.1448,24,2003-10-31
2005-10-31,0.2046,24,2003-11-30
2005-11-30,0.1133,24,2003-12-31
2005-12-31,0.0598,24,2004-01-31
2006-01-31,0.0566,24,2004-02-29
2006-02-28,0.0468,24,2004-03-31
2006-03-31,-0.003,24,2004-04-30
2006-04-30,0.0634,24,2004-05-31
2006-05-31,0.0686,24,2004-06-30
2006-06-30,0.0872,24,2004-07-31
2006-07-31,0.107,24,2004-08-31
2006-08-31,0.077,24,2004-09-30
2006-09-30,-0.0096,24,2004-10-31
2006-10-31,-0.0734,24,2004-11-30
2006-11-30,-0.0798,24,2004-12-31
2006-12-31,-0.087,24,2005-01-31
2007-01-31,-0.0234,24,2005-02-28
2007-02-28,0.0065,24,2005-03-31
2007-03-31,-0.0303,24,2005-04-30
2007-04-30,-0.09,24,2005-05-31
2007-05-31,0.0081,24,2005-06-30
2007-06-30,0.1292,24,2005-07-31
2007-07-31,0.1063,24,2005-08-31
2007-08-31,0.0532,24,2005-09-30
2007-09-30,0.1195,24,2005-10-31
2007-10-31,0.1131,24,2005-11-30
2007-11-30,0.2468,24,2005-12-31
2007-12-31,0.3519,24,2006-01-31
2008-01-31,0.384,24,2006-02-28
2008-02-29,0.3877,24,2006-03-31
2008-03-31,0.274,24,2006-04-30
2008-04-30,0.1665,24,2006-05-31
2008-05-31,0.3194,24,2006-06-30
2008-06-30,0.3308,24,2006-07-31
2008-07-31,0.2938,24,2006-08-31
2008-08-31,0.2881,24,2006-09-30
