signal,threshold,strategy,lead_months,lookback,is_sharpe,oos_sharpe,oos_sortino,oos_calmar,oos_ann_return,oos_ann_vol,max_drawdown,win_rate,n_trades,annual_turnover,oos_n,valid
level,T1_fixed_p25,P1_long_cash_pro,1,LB_NA,0.6522,0.3964,0.5658,0.2653,0.0635,0.1601,-0.2393,0.4235,19,2.68,85,True
level,T1_fixed_p25,P1_long_cash_counter,1,LB_NA,0.1338,1.2592,2.0276,1.9586,0.0878,0.0697,-0.0448,0.2353,19,2.68,85,True
level,T1_fixed_p25,P3_long_short_pro,1,LB_NA,0.3655,-0.1369,-0.2438,-0.0483,-0.0243,0.1773,-0.503,0.4824,19,2.68,85,False
level,T1_fixed_p25,P3_long_short_counter,1,LB_NA,-0.3655,0.1369,0.2523,0.05,0.0243,0.1773,-0.4859,0.5176,19,2.68,85,False
level,T1_fixed_p50,P1_long_cash_pro,1,LB_NA,0.5899,0.141,0.1626,0.0691,0.0196,0.1389,-0.2831,0.2824,13,1.84,85,False
level,T1_fixed_p50,P1_long_cash_counter,1,LB_NA,0.2783,1.2718,2.0251,1.5814,0.1317,0.1035,-0.0833,0.3765,13,1.84,85,True
level,T1_fixed_p50,P3_long_short_pro,1,LB_NA,0.0869,-0.6425,-1.084,-0.1699,-0.1121,0.1744,-0.6597,0.4235,13,1.84,85,False
level,T1_fixed_p50,P3_long_short_counter,1,LB_NA,-0.0869,0.6425,1.2641,0.2875,0.1121,0.1744,-0.3899,0.5765,13,1.84,85,True
level,T1_fixed_p75,P1_long_cash_pro,1,LB_NA,0.4716,-0.1193,-0.0932,-0.0847,-0.0118,0.0988,-0.1391,0.1647,13,1.84,85,False
level,T1_fixed_p75,P1_long_cash_counter,1,LB_NA,0.4247,1.1684,1.6759,1.2591,0.163,0.1395,-0.1295,0.4941,13,1.84,85,True
level,T1_fixed_p75,P3_long_short_pro,1,LB_NA,-0.2468,-1.0281,-1.7278,-0.2404,-0.1748,0.17,-0.727,0.3765,13,1.84,85,False
level,T1_fixed_p75,P3_long_short_counter,1,LB_NA,0.2468,1.0281,1.9596,0.8936,0.1748,0.17,-0.1956,0.6235,13,1.84,85,True
level,T2_roll_p25,P1_long_cash_pro,1,LB36,0.5819,0.18,0.2029,0.1015,0.0236,0.1311,-0.2325,0.2941,15,2.12,85,False
level,T2_roll_p25,P1_long_cash_counter,1,LB36,0.2042,1.125,1.3305,1.3806,0.1276,0.1135,-0.0924,0.3647,15,2.12,85,True
level,T2_roll_p25,P2_signal_strength_pro,1,LB36,0.5116,0.4251,0.5367,0.2717,0.0429,0.1008,-0.1577,0.6235,78,11.01,85,True
level,T2_roll_p25,P2_signal_strength_counter,1,LB36,0.3327,1.108,2.0097,1.0682,0.1084,0.0978,-0.1015,0.6,78,11.01,85,True
level,T2_roll_p25,P3_long_short_pro,1,LB36,0.2644,-0.5949,-0.993,-0.1703,-0.104,0.1749,-0.6108,0.4235,15,2.12,85,False
level,T2_roll_p25,P3_long_short_counter,1,LB36,-0.2644,0.5949,1.1951,0.2668,0.104,0.1749,-0.3899,0.5765,15,2.12,85,True
level,T2_roll_p75,P1_long_cash_pro,1,LB36,0.3317,0.2348,0.1246,0.1686,0.0148,0.0632,-0.088,0.1176,7,0.99,85,False
level,T2_roll_p75,P1_long_cash_counter,1,LB36,0.4618,0.8473,1.2407,0.57,0.1364,0.161,-0.2393,0.5412,7,0.99,85,True
level,T2_roll_p75,P2_signal_strength_pro,1,LB36,0.5116,0.4251,0.5367,0.2717,0.0429,0.1008,-0.1577,0.6235,78,11.01,85,True
level,T2_roll_p75,P2_signal_strength_counter,1,LB36,0.3327,1.108,2.0097,1.0682,0.1084,0.0978,-0.1015,0.6,78,11.01,85,True
level,T2_roll_p75,P3_long_short_pro,1,LB36,-0.2912,-0.6989,-1.2681,-0.2021,-0.1215,0.1739,-0.6013,0.4118,7,0.99,85,False
level,T2_roll_p75,P3_long_short_counter,1,LB36,0.2912,0.6989,1.2165,0.3196,0.1215,0.1739,-0.3803,0.5882,7,0.99,85,True
level,T3_zscore_1.0,P1_long_cash_pro,1,LB36,0.2012,0.175,0.0916,0.124,0.0109,0.0624,-0.088,0.1059,5,0.71,85,False
level,T3_zscore_1.0,P1_long_cash_counter,1,LB36,0.5188,0.8714,1.2764,0.5864,0.1403,0.161,-0.2393,0.5529,5,0.71,85,True
level,T3_zscore_1.0,P2_signal_strength_pro,1,LB36,0.5116,0.4251,0.5367,0.2717,0.0429,0.1008,-0.1577,0.6235,78,11.01,85,True
level,T3_zscore_1.0,P2_signal_strength_counter,1,LB36,0.3327,1.108,2.0097,1.0682,0.1084,0.0978,-0.1015,0.6,78,11.01,85,True
level,T3_zscore_1.0,P3_long_short_pro,1,LB36,-0.4149,-0.7461,-1.3586,-0.2077,-0.1294,0.1734,-0.6229,0.4,5,0.71,85,False
level,T3_zscore_1.0,P3_long_short_counter,1,LB36,0.4149,0.7461,1.279,0.3402,0.1294,0.1734,-0.3803,0.6,5,0.71,85,True
level,T3_zscore_neg_1.0,P1_long_cash_pro,1,LB36,-0.0997,1.0273,1.0923,1.3114,0.0859,0.0836,-0.0655,0.2235,27,3.81,85,True
level,T3_zscore_neg_1.0,P1_long_cash_counter,1,LB36,0.7419,0.4258,0.575,0.2729,0.0653,0.1533,-0.2393,0.4353,27,3.81,85,True
level,T3_zscore_neg_1.0,P2_signal_strength_pro,1,LB36,0.5116,0.4251,0.5367,0.2717,0.0429,0.1008,-0.1577,0.6235,78,11.01,85,True
level,T3_zscore_neg_1.0,P2_signal_strength_counter,1,LB36,0.3327,1.108,2.0097,1.0682,0.1084,0.0978,-0.1015,0.6,78,11.01,85,True
