date,signal_value,threshold,position,spy_return,strategy_return,cumulative_return
1997-08-31,,,0.0,-0.051803,-0.0,0.0
1997-09-30,,,0.0,0.04809,0.0,0.0
1997-10-31,,,0.0,-0.024503,-0.0,0.0
1997-11-30,12.03,,0.0,0.038696,0.0,0.0
1997-12-31,6.15,,0.0,0.019072,0.0,0.0
1998-01-31,6.6,,0.0,0.012878,0.0,0.0
1998-02-28,8.5,,0.0,0.069294,0.0,0.0
1998-03-31,5.45,,0.0,0.048784,0.0,0.0
1998-04-30,6.95,,0.0,0.012791,0.0,0.0
1998-05-31,6.2,,0.0,-0.020769,-0.0,0.0
1998-06-30,4.68,,0.0,0.042574,0.0,0.0
1998-07-31,4.93,,0.0,-0.013513,-0.0,0.0
1998-08-31,6.18,,0.0,-0.14118,-0.0,0.0
1998-09-30,5.13,,0.0,0.063639,0.0,0.0
1998-10-31,5.8,,0.0,0.081082,0.0,0.0
1998-11-30,3.45,,0.0,0.055682,0.0,0.0
1998-12-31,5.0,,0.0,0.065422,0.0,0.0
1999-01-31,3.83,,0.0,0.035226,0.0,0.0
1999-02-28,2.55,,0.0,-0.032069,-0.0,0.0
1999-03-31,2.9,,0.0,0.041468,0.0,0.0
1999-04-30,5.55,,0.0,0.037974,0.0,0.0
1999-05-31,4.4,,0.0,-0.022866,-0.0,0.0
1999-06-30,5.3,,0.0,0.055379,0.0,0.0
1999-07-31,5.48,,0.0,-0.031023,-0.0,0.0
1999-08-31,5.25,,0.0,-0.005178,-0.0,0.0
1999-09-30,6.73,,0.0,-0.022337,-0.0,0.0
1999-10-31,6.18,,0.0,0.064078,0.0,0.0
1999-11-30,6.43,,0.0,0.016651,0.0,0.0
1999-12-31,6.15,,0.0,0.057109,0.0,0.0
2000-01-31,7.6,,0.0,-0.049787,-0.0,0.0
2000-02-29,4.9,,0.0,-0.015226,-0.0,0.0
2000-03-31,6.88,,0.0,0.096914,0.0,0.0
2000-04-30,6.58,,0.0,-0.03512,-0.0,0.0
2000-05-31,6.23,,0.0,-0.015724,-0.0,0.0
2000-06-30,7.43,,0.0,0.019683,0.0,0.0
2000-07-31,8.0,,0.0,-0.015702,-0.0,0.0
2000-08-31,7.7,,0.0,0.065341,0.0,0.0
2000-09-30,6.9,,0.0,-0.054863,-0.0,0.0
2000-10-31,5.3,,0.0,-0.004677,-0.0,0.0
2000-11-30,7.58,,0.0,-0.074653,-0.0,0.0
2000-12-31,6.68,,0.0,-0.005227,-0.0,0.0
2001-01-31,6.7,,0.0,0.044459,0.0,0.0
2001-02-28,6.18,,0.0,-0.095387,-0.0,0.0
2001-03-31,3.95,,0.0,-0.056038,-0.0,0.0
2001-04-30,1.63,,0.0,0.08544,0.0,0.0
2001-05-31,1.28,,0.0,-0.005605,-0.0,0.0
2001-06-30,0.68,,0.0,-0.023829,-0.0,0.0
2001-07-31,-1.75,,0.0,-0.010196,-0.0,0.0
2001-08-31,-1.02,,0.0,-0.059333,-0.0,0.0
2001-09-30,0.1,,0.0,-0.081631,-0.0,0.0
2001-10-31,-1.87,,0.0,0.013022,0.0,0.0
2001-11-30,-3.1,,0.0,0.077978,0.0,0.0
2001-12-31,-0.52,,0.0,0.005639,0.0,0.0
2002-01-31,-5.2,,0.0,-0.009799,-0.0,0.0
2002-02-28,-1.8,,0.0,-0.017936,-0.0,0.0
2002-03-31,-0.32,,0.0,0.033271,0.0,0.0
2002-04-30,-1.15,,0.0,-0.058156,-0.0,0.0
2002-05-31,2.68,,0.0,-0.005934,-0.0,0.0
2002-06-30,2.83,,0.0,-0.073807,-0.0,0.0
2002-07-31,3.5,,0.0,-0.07882,-0.0,0.0
2002-08-31,4.75,,0.0,0.006801,0.0,0.0
2002-09-30,2.5,,0.0,-0.104852,-0.0,0.0
2002-10-31,0.35,,0.0,0.082284,0.0,0.0
2002-11-30,0.93,,0.0,0.061681,0.0,0.0
2002-12-31,2.33,,0.0,-0.05657,-0.0,0.0
2003-01-31,1.38,,0.0,-0.024595,-0.0,0.0
2003-02-28,2.93,,0.0,-0.013479,-0.0,0.0
2003-03-31,2.3,,0.0,0.00214,0.0,0.0
2003-04-30,3.28,,0.0,0.084612,0.0,0.0
2003-05-31,2.63,,0.0,0.054837,0.0,0.0
2003-06-30,-0.92,,0.0,0.010651,0.0,0.0
2003-07-31,0.08,,0.0,0.018028,0.0,0.0
2003-08-31,2.75,,0.0,0.020626,0.0,0.0
2003-09-30,4.28,,0.0,-0.010906,-0.0,0.0
2003-10-31,7.25,0.6559,0.0,0.053527,0.0,0.0
2003-11-30,9.05,0.6925,0.0,0.010921,0.0,0.0
2003-12-31,7.58,0.7365,0.0,0.050313,0.0,0.0
2004-01-31,8.65,0.7764,0.0,0.019769,0.0,0.0
2004-02-29,7.45,0.8198,0.0,0.013571,0.0,0.0
2004-03-31,6.8,0.8621,0.0,-0.013246,-0.0,0.0
2004-04-30,11.18,0.8775,0.0,-0.018921,-0.0,0.0
2004-05-31,8.03,0.9199,0.0,0.017123,0.0,0.0
2004-06-30,8.3,0.9613,0.0,0.018501,0.0,0.0
2004-07-31,9.58,0.9967,0.0,-0.032218,-0.0,0.0
2004-08-31,8.45,1.0376,0.0,0.002436,0.0,0.0
2004-09-30,8.6,1.0779,0.0,0.010037,0.0,0.0
2004-10-31,8.53,1.1181,0.0,0.012885,0.0,0.0
2004-11-30,7.3,1.1579,0.0,0.044517,0.0,0.0
2004-12-31,7.85,1.1978,0.0,0.030121,0.0,0.0
2005-01-31,8.8,1.2363,0.0,-0.022421,-0.0,0.0
2005-02-28,8.43,1.2752,0.0,0.020904,0.0,0.0
2005-03-31,9.6,1.3104,0.0,-0.018293,-0.0,0.0
2005-04-30,8.0,1.3489,0.0,-0.018735,-0.0,0.0
2005-05-31,9.35,1.385,0.0,0.032224,0.0,0.0
2005-06-30,8.0,1.4226,0.0,0.001515,0.0,0.0
2005-07-31,5.6,1.4484,0.0,0.038261,0.0,0.0
