pair_name,horizon_days,metric,value,p_value,n_obs
yoy__spy_fwd_1m,21,pearson,0.0247,0.6279,387
yoy__spy_fwd_1m,21,spearman,-0.0303,0.5521,387
yoy__spy_fwd_1m,21,kendall,-0.0231,0.497,387
yoy__spy_fwd_1m,21,distance,0.1173,,387
yoy__spy_fwd_3m,63,pearson,0.0298,0.5604,385
yoy__spy_fwd_3m,63,spearman,-0.0733,0.1512,385
yoy__spy_fwd_3m,63,kendall,-0.055,0.1072,385
yoy__spy_fwd_3m,63,distance,0.192,,385
yoy__spy_fwd_6m,126,pearson,0.0084,0.8703,382
yoy__spy_fwd_6m,126,spearman,-0.0901,0.0787,382
yoy__spy_fwd_6m,126,kendall,-0.0663,0.053,382
yoy__spy_fwd_6m,126,distance,0.2396,,382
yoy__spy_fwd_12m,252,pearson,-0.0734,0.1557,376
yoy__spy_fwd_12m,252,spearman,-0.1663,0.0012,376
yoy__spy_fwd_12m,252,kendall,-0.123,0.0004,376
yoy__spy_fwd_12m,252,distance,0.2991,,376
mom__spy_fwd_1m,21,pearson,0.0174,0.7297,398
mom__spy_fwd_1m,21,spearman,-0.0043,0.932,398
mom__spy_fwd_1m,21,kendall,-0.0033,0.9222,398
mom__spy_fwd_1m,21,distance,0.0935,,398
mom__spy_fwd_3m,63,pearson,0.0765,0.1284,396
mom__spy_fwd_3m,63,spearman,-0.0005,0.9918,396
mom__spy_fwd_3m,63,kendall,-0.0008,0.9806,396
mom__spy_fwd_3m,63,distance,0.1174,,396
mom__spy_fwd_6m,126,pearson,0.0679,0.1792,393
mom__spy_fwd_6m,126,spearman,-0.0053,0.9163,393
mom__spy_fwd_6m,126,kendall,-0.0038,0.9113,393
mom__spy_fwd_6m,126,distance,0.1355,,393
mom__spy_fwd_12m,252,pearson,0.0576,0.2581,387
mom__spy_fwd_12m,252,spearman,-0.0361,0.4788,387
mom__spy_fwd_12m,252,kendall,-0.0223,0.5131,387
mom__spy_fwd_12m,252,distance,0.1467,,387
mom3m__spy_fwd_1m,21,pearson,0.0489,0.332,396
mom3m__spy_fwd_1m,21,spearman,-0.0068,0.893,396
mom3m__spy_fwd_1m,21,kendall,-0.0059,0.8606,396
mom3m__spy_fwd_1m,21,distance,0.1086,,396
mom3m__spy_fwd_3m,63,pearson,0.077,0.1271,394
mom3m__spy_fwd_3m,63,spearman,-0.0213,0.6729,394
mom3m__spy_fwd_3m,63,kendall,-0.0168,0.6195,394
mom3m__spy_fwd_3m,63,distance,0.1268,,394
mom3m__spy_fwd_6m,126,pearson,0.0883,0.0812,391
mom3m__spy_fwd_6m,126,spearman,-0.0057,0.9102,391
mom3m__spy_fwd_6m,126,kendall,-0.0051,0.8802,391
mom3m__spy_fwd_6m,126,distance,0.1728,,391
mom3m__spy_fwd_12m,252,pearson,0.0517,0.3116,385
mom3m__spy_fwd_12m,252,spearman,-0.0763,0.1348,385
mom3m__spy_fwd_12m,252,kendall,-0.0514,0.1324,385
mom3m__spy_fwd_12m,252,distance,0.2172,,385
mom6m__spy_fwd_1m,21,pearson,0.0382,0.4506,393
mom6m__spy_fwd_1m,21,spearman,-0.002,0.9688,393
mom6m__spy_fwd_1m,21,kendall,-0.0036,0.9161,393
mom6m__spy_fwd_1m,21,distance,0.1048,,393
mom6m__spy_fwd_3m,63,pearson,0.0746,0.1408,391
mom6m__spy_fwd_3m,63,spearman,-0.0028,0.9561,391
mom6m__spy_fwd_3m,63,kendall,-0.0046,0.8919,391
mom6m__spy_fwd_3m,63,distance,0.165,,391
mom6m__spy_fwd_6m,126,pearson,0.0755,0.1377,388
mom6m__spy_fwd_6m,126,spearman,-0.0096,0.85,388
mom6m__spy_fwd_6m,126,kendall,-0.0069,0.8392,388
mom6m__spy_fwd_6m,126,distance,0.2062,,388
mom6m__spy_fwd_12m,252,pearson,0.0201,0.6959,382
mom6m__spy_fwd_12m,252,spearman,-0.0916,0.0739,382
mom6m__spy_fwd_12m,252,kendall,-0.0655,0.0559,382
mom6m__spy_fwd_12m,252,distance,0.2775,,382
accel__spy_fwd_1m,21,pearson,0.0268,0.5993,386
accel__spy_fwd_1m,21,spearman,0.0335,0.5118,386
accel__spy_fwd_1m,21,kendall,0.0233,0.4933,386
accel__spy_fwd_1m,21,distance,0.0998,,386
accel__spy_fwd_3m,63,pearson,0.0916,0.0731,384
accel__spy_fwd_3m,63,spearman,0.0827,0.1058,384
accel__spy_fwd_3m,63,kendall,0.0574,0.093,384
accel__spy_fwd_3m,63,distance,0.1291,,384
accel__spy_fwd_6m,126,pearson,0.1091,0.0332,381
accel__spy_fwd_6m,126,spearman,0.087,0.0899,381
accel__spy_fwd_6m,126,kendall,0.0585,0.0883,381
accel__spy_fwd_6m,126,distance,0.1325,,381
accel__spy_fwd_12m,252,pearson,0.147,0.0043,375
accel__spy_fwd_12m,252,spearman,0.0983,0.0572,375
accel__spy_fwd_12m,252,kendall,0.0663,0.0552,375
accel__spy_fwd_12m,252,distance,0.1314,,375
yoy_zscore_120m__spy_fwd_1m,21,pearson,0.0477,0.3894,328
yoy_zscore_120m__spy_fwd_1m,21,spearman,0.0004,0.9945,328
yoy_zscore_120m__spy_fwd_1m,21,kendall,-0.0021,0.9542,328
yoy_zscore_120m__spy_fwd_1m,21,distance,0.1281,,328
yoy_zscore_120m__spy_fwd_3m,63,pearson,0.0934,0.0924,326
yoy_zscore_120m__spy_fwd_3m,63,spearman,0.0001,0.999,326
yoy_zscore_120m__spy_fwd_3m,63,kendall,-0.0058,0.8759,326
yoy_zscore_120m__spy_fwd_3m,63,distance,0.1985,,326
yoy_zscore_120m__spy_fwd_6m,126,pearson,0.1006,0.0711,323
yoy_zscore_120m__spy_fwd_6m,126,spearman,0.0079,0.8877,323
yoy_zscore_120m__spy_fwd_6m,126,kendall,-0.0019,0.9585,323
yoy_zscore_120m__spy_fwd_6m,126,distance,0.2463,,323
yoy_zscore_120m__spy_fwd_12m,252,pearson,0.0682,0.2259,317
yoy_zscore_120m__spy_fwd_12m,252,spearman,-0.0371,0.5099,317
