signal,horizon,coef,se,t_stat,p_value,r_squared,n
yoy,spy_fwd_1m,0.000248,0.000519,0.477,0.6337,0.0006,387
yoy,spy_fwd_3m,0.000507,0.000839,0.604,0.5458,0.0009,385
yoy,spy_fwd_6m,0.000209,0.00138,0.152,0.8793,0.0001,382
yoy,spy_fwd_12m,-0.002818,0.002499,-1.128,0.2595,0.0054,376
mom,spy_fwd_1m,0.001326,0.0047,0.282,0.7779,0.0003,398
mom,spy_fwd_3m,0.009922,0.007594,1.306,0.1914,0.0059,396
mom,spy_fwd_6m,0.012935,0.00891,1.452,0.1466,0.0046,393
mom,spy_fwd_12m,0.016876,0.023873,0.707,0.4796,0.0033,387
mom3m,spy_fwd_1m,0.001464,0.001474,0.993,0.3206,0.0024,396
mom3m,spy_fwd_3m,0.003918,0.002594,1.51,0.131,0.0059,394
mom3m,spy_fwd_6m,0.006604,0.003148,2.098,0.0359,0.0078,391
mom3m,spy_fwd_12m,0.005942,0.008353,0.711,0.4769,0.0027,385
mom6m,spy_fwd_1m,0.00067,0.001014,0.661,0.5088,0.0015,393
mom6m,spy_fwd_3m,0.002227,0.001434,1.553,0.1204,0.0056,391
mom6m,spy_fwd_6m,0.003312,0.00203,1.632,0.1027,0.0057,388
mom6m,spy_fwd_12m,0.001351,0.00458,0.295,0.768,0.0004,382
accel,spy_fwd_1m,0.001436,0.002894,0.496,0.6199,0.0007,386
accel,spy_fwd_3m,0.008329,0.00536,1.554,0.1202,0.0084,384
accel,spy_fwd_6m,0.014574,0.006953,2.096,0.0361,0.0119,381
accel,spy_fwd_12m,0.03015,0.010043,3.002,0.0027,0.0216,375
yoy_zscore_120m,spy_fwd_1m,0.001585,0.001999,0.793,0.4278,0.0023,328
yoy_zscore_120m,spy_fwd_3m,0.005205,0.003164,1.645,0.1,0.0087,326
yoy_zscore_120m,spy_fwd_6m,0.008277,0.004607,1.797,0.0724,0.0101,323
yoy_zscore_120m,spy_fwd_12m,0.008458,0.008468,0.999,0.3179,0.0047,317
contraction,spy_fwd_1m,0.014099,0.010584,1.332,0.1828,0.004,399
contraction,spy_fwd_3m,0.034251,0.017059,2.008,0.0447,0.0081,397
contraction,spy_fwd_6m,0.072626,0.016636,4.366,0.0,0.0169,394
contraction,spy_fwd_12m,0.158216,0.017193,9.203,0.0,0.0339,388
hmm_stress,spy_fwd_1m,0.014146,0.009545,1.482,0.1383,0.0058,387
hmm_stress,spy_fwd_3m,0.029506,0.014895,1.981,0.0476,0.0088,385
hmm_stress,spy_fwd_6m,0.03279,0.027264,1.203,0.2291,0.005,382
hmm_stress,spy_fwd_12m,0.01114,0.049577,0.225,0.8222,0.0002,376
