signal,threshold,strategy,lookback,signal_column,lead_months,oos_sharpe,valid,lead_source
yoy,T1_fixed_p25,P1_long_cash_pro,LB_NA,m2sl_pct_yoy,1,0.4459,True,pipeline
yoy,T1_fixed_p25,P1_long_cash_pro,LB_NA,m2sl_pct_yoy,2,0.418,True,pipeline
yoy,T1_fixed_p25,P1_long_cash_pro,LB_NA,m2sl_pct_yoy,3,0.3433,True,pipeline
yoy,T1_fixed_p25,P1_long_cash_pro,LB_NA,m2sl_pct_yoy,4,0.3554,True,patched
yoy,T1_fixed_p25,P1_long_cash_pro,LB_NA,m2sl_pct_yoy,5,0.3444,True,patched
yoy,T1_fixed_p25,P1_long_cash_pro,LB_NA,m2sl_pct_yoy,6,0.2646,False,pipeline
yoy,T1_fixed_p25,P1_long_cash_pro,LB_NA,m2sl_pct_yoy,7,0.3413,True,patched
yoy,T1_fixed_p25,P1_long_cash_pro,LB_NA,m2sl_pct_yoy,8,0.405,True,patched
yoy,T1_fixed_p25,P1_long_cash_pro,LB_NA,m2sl_pct_yoy,9,0.6276,True,patched
yoy,T1_fixed_p25,P1_long_cash_pro,LB_NA,m2sl_pct_yoy,10,0.5838,True,patched
yoy,T1_fixed_p25,P1_long_cash_pro,LB_NA,m2sl_pct_yoy,11,0.6084,True,patched
yoy,T1_fixed_p25,P1_long_cash_pro,LB_NA,m2sl_pct_yoy,12,0.5365,True,pipeline
yoy,T1_fixed_p25,P1_long_cash_counter,LB_NA,m2sl_pct_yoy,1,0.7927,True,pipeline
yoy,T1_fixed_p25,P1_long_cash_counter,LB_NA,m2sl_pct_yoy,2,0.8222,True,pipeline
yoy,T1_fixed_p25,P1_long_cash_counter,LB_NA,m2sl_pct_yoy,3,0.9251,True,pipeline
yoy,T1_fixed_p25,P1_long_cash_counter,LB_NA,m2sl_pct_yoy,4,0.9318,True,patched
yoy,T1_fixed_p25,P1_long_cash_counter,LB_NA,m2sl_pct_yoy,5,0.953,True,patched
yoy,T1_fixed_p25,P1_long_cash_counter,LB_NA,m2sl_pct_yoy,6,1.0635,True,pipeline
yoy,T1_fixed_p25,P1_long_cash_counter,LB_NA,m2sl_pct_yoy,7,0.9811,True,patched
yoy,T1_fixed_p25,P1_long_cash_counter,LB_NA,m2sl_pct_yoy,8,0.8826,True,patched
yoy,T1_fixed_p25,P1_long_cash_counter,LB_NA,m2sl_pct_yoy,9,0.618,True,patched
