date,rolling_corr,n_obs,window_start
1996-03-31,0.2324,24,1994-04-30
1996-04-30,0.2365,24,1994-05-31
1996-05-31,0.2303,24,1994-06-30
1996-06-30,0.2294,24,1994-07-31
1996-07-31,0.2952,24,1994-08-31
1996-08-31,0.0688,24,1994-09-30
1996-09-30,0.0439,24,1994-10-31
1996-10-31,-0.1974,24,1994-11-30
1996-11-30,-0.1528,24,1994-12-31
1996-12-31,-0.1209,24,1995-01-31
1997-01-31,-0.102,24,1995-02-28
1997-02-28,-0.1295,24,1995-03-31
1997-03-31,-0.1692,24,1995-04-30
1997-04-30,-0.1871,24,1995-05-31
1997-05-31,-0.2172,24,1995-06-30
1997-06-30,-0.2162,24,1995-07-31
1997-07-31,-0.1402,24,1995-08-31
1997-08-31,-0.2312,24,1995-09-30
1997-09-30,-0.2048,24,1995-10-31
1997-10-31,-0.2165,24,1995-11-30
1997-11-30,-0.2147,24,1995-12-31
1997-12-31,-0.2293,24,1996-01-31
1998-01-31,-0.2406,24,1996-02-29
1998-02-28,-0.2546,24,1996-03-31
1998-03-31,-0.2493,24,1996-04-30
1998-04-30,-0.3105,24,1996-05-31
1998-05-31,-0.289,24,1996-06-30
1998-06-30,-0.323,24,1996-07-31
1998-07-31,-0.3697,24,1996-08-31
1998-08-31,-0.3429,24,1996-09-30
1998-09-30,-0.3454,24,1996-10-31
1998-10-31,-0.3171,24,1996-11-30
1998-11-30,-0.2774,24,1996-12-31
1998-12-31,-0.2658,24,1997-01-31
1999-01-31,-0.2879,24,1997-02-28
1999-02-28,-0.2459,24,1997-03-31
1999-03-31,-0.2266,24,1997-04-30
1999-04-30,-0.1228,24,1997-05-31
1999-05-31,-0.1537,24,1997-06-30
1999-06-30,-0.1394,24,1997-07-31
1999-07-31,-0.1612,24,1997-08-31
1999-08-31,-0.1447,24,1997-09-30
1999-09-30,-0.1465,24,1997-10-31
1999-10-31,-0.1961,24,1997-11-30
1999-11-30,-0.2465,24,1997-12-31
1999-12-31,-0.1384,24,1998-01-31
2000-01-31,-0.0844,24,1998-02-28
2000-02-29,-0.0831,24,1998-03-31
2000-03-31,-0.0777,24,1998-04-30
2000-04-30,-0.0173,24,1998-05-31
2000-05-31,-0.0268,24,1998-06-30
2000-06-30,-0.0488,24,1998-07-31
2000-07-31,-0.0335,24,1998-08-31
2000-08-31,-0.0296,24,1998-09-30
2000-09-30,-0.0333,24,1998-10-31
2000-10-31,-0.062,24,1998-11-30
2000-11-30,-0.1721,24,1998-12-31
2000-12-31,-0.2393,24,1999-01-31
2001-01-31,-0.1601,24,1999-02-28
2001-02-28,-0.2506,24,1999-03-31
2001-03-31,-0.1372,24,1999-04-30
2001-04-30,-0.1523,24,1999-05-31
2001-05-31,-0.1224,24,1999-06-30
2001-06-30,-0.1232,24,1999-07-31
2001-07-31,-0.1468,24,1999-08-31
2001-08-31,-0.2083,24,1999-09-30
2001-09-30,-0.2241,24,1999-10-31
