# Simulated trade record based on backtest signals. No real trades were executed. Starting capital: $10000. Commission: 5 bps (tournament cost parameter). Pair: m2sl_yoy_spy. Strategy: P1_long_cash_pro on accel (m2sl_yoy_accel_pct), threshold T1_fixed_p50, lead L2, LB_NA.
trade_date,side,instrument,quantity_pct,price,notional_usd,commission_bps,commission_usd,cum_pnl_pct,reason
1994-04-30,BUY,SPY,100.0,25.5158,10000.0,5,5.0,1.1212,P1_long_cash_pro: accel (m2sl_yoy_accel_pct) = 0.160 vs threshold 0.052 — position 0% → 100%
1994-06-30,SELL,SPY,0.0,25.3285,10000.0,5,5.0,2.733,P1_long_cash_pro: accel (m2sl_yoy_accel_pct) = 0.047 vs threshold 0.052 — position 100% → 0%
1994-09-30,BUY,SPY,100.0,26.4585,10000.0,5,5.0,0.1386,P1_long_cash_pro: accel (m2sl_yoy_accel_pct) = 0.265 vs threshold 0.052 — position 0% → 100%
1994-10-31,SELL,SPY,0.0,27.2106,10000.0,5,5.0,0.1386,P1_long_cash_pro: accel (m2sl_yoy_accel_pct) = -0.181 vs threshold 0.052 — position 100% → 0%
1995-03-31,BUY,SPY,100.0,29.1005,10000.0,5,5.0,2.9273,P1_long_cash_pro: accel (m2sl_yoy_accel_pct) = 0.161 vs threshold 0.052 — position 0% → 100%
1995-04-30,SELL,SPY,0.0,29.9625,10000.0,5,5.0,2.9273,P1_long_cash_pro: accel (m2sl_yoy_accel_pct) = -0.095 vs threshold 0.052 — position 100% → 0%
1995-06-30,BUY,SPY,100.0,31.7814,10000.0,5,5.0,5.0095,P1_long_cash_pro: accel (m2sl_yoy_accel_pct) = 0.198 vs threshold 0.052 — position 0% → 100%
1996-07-31,SELL,SPY,0.0,38.2426,10000.0,5,5.0,32.3035,P1_long_cash_pro: accel (m2sl_yoy_accel_pct) = -0.412 vs threshold 0.052 — position 100% → 0%
1996-12-31,BUY,SPY,100.0,44.5046,10000.0,5,5.0,29.155,P1_long_cash_pro: accel (m2sl_yoy_accel_pct) = 0.211 vs threshold 0.052 — position 0% → 100%
1997-03-31,SELL,SPY,0.0,45.6014,10000.0,5,5.0,38.4467,P1_long_cash_pro: accel (m2sl_yoy_accel_pct) = -0.092 vs threshold 0.052 — position 100% → 0%
1997-06-30,BUY,SPY,100.0,53.6365,10000.0,5,5.0,44.1372,P1_long_cash_pro: accel (m2sl_yoy_accel_pct) = 0.121 vs threshold 0.052 — position 0% → 100%
1997-07-31,SELL,SPY,0.0,57.8879,10000.0,5,5.0,44.1372,P1_long_cash_pro: accel (m2sl_yoy_accel_pct) = -0.007 vs threshold 0.052 — position 100% → 0%
1997-08-31,BUY,SPY,100.0,54.8892,10000.0,5,5.0,36.6705,P1_long_cash_pro: accel (m2sl_yoy_accel_pct) = 0.088 vs threshold 0.052 — position 0% → 100%
1997-12-31,SELL,SPY,0.0,59.4025,10000.0,5,5.0,45.1403,P1_long_cash_pro: accel (m2sl_yoy_accel_pct) = -0.035 vs threshold 0.052 — position 100% → 0%
1998-03-31,BUY,SPY,100.0,67.4754,10000.0,5,5.0,52.2207,P1_long_cash_pro: accel (m2sl_yoy_accel_pct) = 0.167 vs threshold 0.052 — position 0% → 100%
1998-08-31,SELL,SPY,0.0,59.1086,10000.0,5,5.0,55.266,P1_long_cash_pro: accel (m2sl_yoy_accel_pct) = 0.044 vs threshold 0.052 — position 100% → 0%
1998-11-30,BUY,SPY,100.0,71.7523,10000.0,5,5.0,63.9115,P1_long_cash_pro: accel (m2sl_yoy_accel_pct) = 0.559 vs threshold 0.052 — position 0% → 100%
1999-03-31,SELL,SPY,0.0,79.7781,10000.0,5,5.0,74.9891,P1_long_cash_pro: accel (m2sl_yoy_accel_pct) = 0.052 vs threshold 0.052 — position 100% → 0%
