trade_date,side,instrument,quantity_pct,commission_bps,signal_value,threshold_value,position_before,position_after,reason
1996-04-30,BUY,SPY,100.0,5,7.703081232492992,1.1272141706924366,0.0,1.0,mom procyclical rule crossed T_roll_p50
1996-05-31,SELL,SPY,100.0,5,-6.2418725617685356,0.9694512411903777,1.0,0.0,mom procyclical rule crossed T_roll_p50
1996-06-30,BUY,SPY,100.0,5,2.0804438280166426,1.1272141706924366,0.0,1.0,mom procyclical rule crossed T_roll_p50
1996-08-31,SELL,SPY,100.0,5,-3.351206434316356,1.1272141706924366,1.0,0.0,mom procyclical rule crossed T_roll_p50
1996-09-30,BUY,SPY,100.0,5,6.796116504854366,1.2347480249435328,0.0,1.0,mom procyclical rule crossed T_roll_p50
1996-11-30,SELL,SPY,100.0,5,-6.779661016949157,1.2347480249435328,1.0,0.0,mom procyclical rule crossed T_roll_p50
1997-01-31,BUY,SPY,100.0,5,7.08333333333333,1.2347480249435328,0.0,1.0,mom procyclical rule crossed T_roll_p50
1997-04-30,SELL,SPY,100.0,5,-3.4939759036144546,1.342281879194629,1.0,0.0,mom procyclical rule crossed T_roll_p50
1997-05-31,BUY,SPY,100.0,5,3.7453183520599342,1.3504887656842657,0.0,1.0,mom procyclical rule crossed T_roll_p50
1997-06-30,SELL,SPY,100.0,5,-10.469314079422388,1.342281879194629,1.0,0.0,mom procyclical rule crossed T_roll_p50
1997-07-31,BUY,SPY,100.0,5,2.1505376344086002,1.3504887656842657,0.0,1.0,mom procyclical rule crossed T_roll_p50
1997-10-31,SELL,SPY,100.0,5,1.2422360248447228,1.3586956521739024,1.0,0.0,mom procyclical rule crossed T_roll_p50
1997-11-30,BUY,SPY,100.0,5,3.0674846625766916,1.4359682548385266,0.0,1.0,mom procyclical rule crossed T_roll_p50
1997-12-31,SELL,SPY,100.0,5,-4.761904761904767,1.3586956521739024,1.0,0.0,mom procyclical rule crossed T_roll_p50
1998-01-31,BUY,SPY,100.0,5,8.000000000000007,1.4359682548385266,0.0,1.0,mom procyclical rule crossed T_roll_p50
1998-02-28,SELL,SPY,100.0,5,-8.217592592592593,1.3586956521739024,1.0,0.0,mom procyclical rule crossed T_roll_p50
1998-03-31,BUY,SPY,100.0,5,9.962168978562413,1.4359682548385266,0.0,1.0,mom procyclical rule crossed T_roll_p50
1998-04-30,SELL,SPY,100.0,5,-0.6880733944954143,1.4359682548385266,1.0,0.0,mom procyclical rule crossed T_roll_p50
1998-06-30,BUY,SPY,100.0,5,3.5885167464114742,1.4359682548385266,0.0,1.0,mom procyclical rule crossed T_roll_p50
1998-09-30,SELL,SPY,100.0,5,-5.092091007583965,1.7968423427598967,1.0,0.0,mom procyclical rule crossed T_roll_p50
1998-11-30,BUY,SPY,100.0,5,2.127659574468077,1.7968423427598967,0.0,1.0,mom procyclical rule crossed T_roll_p50
1999-02-28,SELL,SPY,100.0,5,-4.623115577889447,1.7968423427598967,1.0,0.0,mom procyclical rule crossed T_roll_p50
1999-05-31,BUY,SPY,100.0,5,1.7688679245283057,1.4359682548385266,0.0,1.0,mom procyclical rule crossed T_roll_p50
1999-07-31,SELL,SPY,100.0,5,-3.26797385620915,1.6410543910157283,1.0,0.0,mom procyclical rule crossed T_roll_p50
1999-08-31,BUY,SPY,100.0,5,3.94144144144144,1.9246558762724741,0.0,1.0,mom procyclical rule crossed T_roll_p50
1999-09-30,SELL,SPY,100.0,5,-2.4918743228602436,1.9246558762724741,1.0,0.0,mom procyclical rule crossed T_roll_p50
