lag,ccf,lower_ci,upper_ci,significant,arima_order,n_obs
-20,0.0402,-0.0995,0.0995,False,AR(12),368
-19,-0.0443,-0.0995,0.0995,False,AR(12),369
-18,0.0338,-0.0995,0.0995,False,AR(12),370
-17,-0.0018,-0.0995,0.0995,False,AR(12),371
-16,0.0327,-0.0995,0.0995,False,AR(12),372
-15,0.0015,-0.0995,0.0995,False,AR(12),373
-14,-0.1243,-0.0995,0.0995,True,AR(12),374
-13,-0.0691,-0.0995,0.0995,False,AR(12),375
-12,0.0102,-0.0995,0.0995,False,AR(12),376
-11,0.0115,-0.0995,0.0995,False,AR(12),377
-10,0.0261,-0.0995,0.0995,False,AR(12),378
-9,0.0345,-0.0995,0.0995,False,AR(12),379
-8,-0.0139,-0.0995,0.0995,False,AR(12),380
-7,0.0172,-0.0995,0.0995,False,AR(12),381
-6,-0.0476,-0.0995,0.0995,False,AR(12),382
-5,0.108,-0.0995,0.0995,True,AR(12),383
-4,-0.0075,-0.0995,0.0995,False,AR(12),384
-3,0.0051,-0.0995,0.0995,False,AR(12),385
-2,0.0577,-0.0995,0.0995,False,AR(12),386
-1,0.0357,-0.0995,0.0995,False,AR(12),387
0,0.0306,-0.0995,0.0995,False,AR(12),388
1,-0.0551,-0.0995,0.0995,False,AR(12),387
2,-0.0585,-0.0995,0.0995,False,AR(12),386
3,-0.0296,-0.0995,0.0995,False,AR(12),385
4,-0.0366,-0.0995,0.0995,False,AR(12),384
5,0.0487,-0.0995,0.0995,False,AR(12),383
6,-0.0222,-0.0995,0.0995,False,AR(12),382
7,-0.015,-0.0995,0.0995,False,AR(12),381
8,0.0843,-0.0995,0.0995,False,AR(12),380
9,-0.0541,-0.0995,0.0995,False,AR(12),379
10,0.0959,-0.0995,0.0995,False,AR(12),378
11,0.0149,-0.0995,0.0995,False,AR(12),377
12,-0.0083,-0.0995,0.0995,False,AR(12),376
13,-0.0613,-0.0995,0.0995,False,AR(12),375
14,0.0889,-0.0995,0.0995,False,AR(12),374
15,0.0159,-0.0995,0.0995,False,AR(12),373
16,-0.0233,-0.0995,0.0995,False,AR(12),372
17,-0.0357,-0.0995,0.0995,False,AR(12),371
18,0.0034,-0.0995,0.0995,False,AR(12),370
19,-0.0539,-0.0995,0.0995,False,AR(12),369
20,-0.0577,-0.0995,0.0995,False,AR(12),368
