date,rolling_corr,n_obs,window_start
1995-01-31,-0.2961,24,1993-02-28
1995-02-28,-0.3483,24,1993-03-31
1995-03-31,-0.3713,24,1993-04-30
1995-04-30,-0.4308,24,1993-05-31
1995-05-31,-0.4233,24,1993-06-30
1995-06-30,-0.3851,24,1993-07-31
1995-07-31,-0.4268,24,1993-08-31
1995-08-31,-0.3709,24,1993-09-30
1995-09-30,-0.3909,24,1993-10-31
1995-10-31,-0.3333,24,1993-11-30
1995-11-30,-0.33,24,1993-12-31
1995-12-31,-0.329,24,1994-01-31
1996-01-31,-0.3153,24,1994-02-28
1996-02-29,-0.2905,24,1994-03-31
1996-03-31,-0.2908,24,1994-04-30
1996-04-30,-0.2829,24,1994-05-31
1996-05-31,-0.2657,24,1994-06-30
1996-06-30,-0.3085,24,1994-07-31
1996-07-31,-0.3339,24,1994-08-31
1996-08-31,-0.2505,24,1994-09-30
1996-09-30,-0.2438,24,1994-10-31
1996-10-31,-0.1535,24,1994-11-30
1996-11-30,-0.2389,24,1994-12-31
1996-12-31,-0.1776,24,1995-01-31
1997-01-31,-0.1352,24,1995-02-28
1997-02-28,-0.1515,24,1995-03-31
1997-03-31,-0.1305,24,1995-04-30
1997-04-30,0.0093,24,1995-05-31
1997-05-31,-0.0748,24,1995-06-30
1997-06-30,-0.0294,24,1995-07-31
1997-07-31,-0.0281,24,1995-08-31
1997-08-31,-0.0649,24,1995-09-30
1997-09-30,-0.1149,24,1995-10-31
1997-10-31,0.019,24,1995-11-30
1997-11-30,0.0086,24,1995-12-31
1997-12-31,0.0149,24,1996-01-31
1998-01-31,0.0299,24,1996-02-29
1998-02-28,0.0494,24,1996-03-31
1998-03-31,0.0794,24,1996-04-30
1998-04-30,0.0391,24,1996-05-31
1998-05-31,0.0654,24,1996-06-30
1998-06-30,-0.0304,24,1996-07-31
1998-07-31,-0.0948,24,1996-08-31
1998-08-31,-0.121,24,1996-09-30
1998-09-30,-0.1669,24,1996-10-31
1998-10-31,-0.1449,24,1996-11-30
1998-11-30,-0.0889,24,1996-12-31
1998-12-31,-0.1055,24,1997-01-31
1999-01-31,-0.1008,24,1997-02-28
1999-02-28,-0.1611,24,1997-03-31
1999-03-31,-0.1935,24,1997-04-30
1999-04-30,-0.1438,24,1997-05-31
1999-05-31,-0.1973,24,1997-06-30
1999-06-30,-0.1203,24,1997-07-31
1999-07-31,-0.1125,24,1997-08-31
1999-08-31,-0.0548,24,1997-09-30
1999-09-30,-0.196,24,1997-10-31
1999-10-31,-0.0826,24,1997-11-30
1999-11-30,-0.1787,24,1997-12-31
1999-12-31,-0.043,24,1998-01-31
2000-01-31,-0.0627,24,1998-02-28
2000-02-29,-0.048,24,1998-03-31
2000-03-31,-0.0588,24,1998-04-30
2000-04-30,-0.0012,24,1998-05-31
2000-05-31,-0.0224,24,1998-06-30
2000-06-30,0.0622,24,1998-07-31
2000-07-31,0.142,24,1998-08-31
2000-08-31,0.1173,24,1998-09-30
2000-09-30,0.0693,24,1998-10-31
2000-10-31,-0.0139,24,1998-11-30
2000-11-30,-0.0595,24,1998-12-31
2000-12-31,-0.0532,24,1999-01-31
2001-01-31,-0.0857,24,1999-02-28
2001-02-28,-0.139,24,1999-03-31
2001-03-31,-0.1061,24,1999-04-30
2001-04-30,-0.0974,24,1999-05-31
2001-05-31,-0.1376,24,1999-06-30
2001-06-30,-0.1288,24,1999-07-31
2001-07-31,-0.1521,24,1999-08-31
2001-08-31,-0.1724,24,1999-09-30
2001-09-30,-0.1874,24,1999-10-31
2001-10-31,-0.1624,24,1999-11-30
2001-11-30,-0.0386,24,1999-12-31
2001-12-31,-0.0887,24,2000-01-31
2002-01-31,-0.0857,24,2000-02-29
2002-02-28,-0.128,24,2000-03-31
2002-03-31,-0.1286,24,2000-04-30
2002-04-30,-0.1398,24,2000-05-31
2002-05-31,-0.118,24,2000-06-30
2002-06-30,-0.339,24,2000-07-31
2002-07-31,-0.1338,24,2000-08-31
2002-08-31,-0.319,24,2000-09-30
2002-09-30,-0.2552,24,2000-10-31
2002-10-31,-0.1947,24,2000-11-30
2002-11-30,-0.2123,24,2000-12-31
2002-12-31,-0.247,24,2001-01-31
2003-01-31,-0.2238,24,2001-02-28
2003-02-28,-0.2081,24,2001-03-31
2003-03-31,-0.2075,24,2001-04-30
2003-04-30,-0.1758,24,2001-05-31
2003-05-31,-0.1606,24,2001-06-30
2003-06-30,-0.1469,24,2001-07-31
2003-07-31,-0.1272,24,2001-08-31
2003-08-31,-0.1307,24,2001-09-30
2003-09-30,-0.0966,24,2001-10-31
2003-10-31,0.1157,24,2001-11-30
2003-11-30,0.1246,24,2001-12-31
2003-12-31,0.1274,24,2002-01-31
2004-01-31,0.1108,24,2002-02-28
2004-02-29,0.2355,24,2002-03-31
2004-03-31,0.0007,24,2002-04-30
2004-04-30,-0.0095,24,2002-05-31
2004-05-31,0.0081,24,2002-06-30
2004-06-30,0.1561,24,2002-07-31
2004-07-31,0.1331,24,2002-08-31
2004-08-31,0.2085,24,2002-09-30
2004-09-30,0.1832,24,2002-10-31
2004-10-31,0.1767,24,2002-11-30
2004-11-30,0.255,24,2002-12-31
2004-12-31,0.2484,24,2003-01-31
2005-01-31,0.2795,24,2003-02-28
2005-02-28,0.2341,24,2003-03-31
2005-03-31,0.2209,24,2003-04-30
2005-04-30,0.2234,24,2003-05-31
2005-05-31,0.2209,24,2003-06-30
2005-06-30,0.2294,24,2003-07-31
2005-07-31,0.2003,24,2003-08-31
2005-08-31,0.2215,24,2003-09-30
2005-09-30,0.1791,24,2003-10-31
2005-10-31,0.1628,24,2003-11-30
2005-11-30,0.1671,24,2003-12-31
2005-12-31,-0.1487,24,2004-01-31
2006-01-31,0.0003,24,2004-02-29
2006-02-28,-0.0812,24,2004-03-31
2006-03-31,-0.0759,24,2004-04-30
2006-04-30,0.129,24,2004-05-31
2006-05-31,0.1225,24,2004-06-30
2006-06-30,0.1684,24,2004-07-31
2006-07-31,0.1141,24,2004-08-31
2006-08-31,0.0484,24,2004-09-30
