date,signal_value,threshold,position,spy_return,strategy_return,cumulative_return
1993-02-28,0.9979,,0.0,0.010669,0.0,0.0
1993-03-31,0.9999,,0.0,0.022399,0.0,0.0
1993-04-30,1.0,,0.0,-0.025588,-0.0,0.0
1993-05-31,1.0,,0.0,0.026969,0.0,0.0
1993-06-30,1.0,,0.0,0.003607,0.0,0.0
1993-07-31,1.0,,0.0,-0.004854,-0.0,0.0
1993-08-31,0.9999,,0.0,0.038327,0.0,0.0
1993-09-30,1.0,,0.0,-0.007275,-0.0,0.0
1993-10-31,1.0,,0.0,0.019727,0.0,0.0
1993-11-30,1.0,,0.0,-0.010673,-0.0,0.0
1993-12-31,1.0,,0.0,0.012276,0.0,0.0
1994-01-31,1.0,,0.0,0.034876,0.0,0.0
1994-02-28,1.0,,0.0,-0.029164,-0.0,0.0
1994-03-31,1.0,,0.0,-0.041902,-0.0,0.0
1994-04-30,0.9998,,0.0,0.011212,0.0,0.0
1994-05-31,1.0,,0.0,0.015939,0.0,0.0
1994-06-30,0.9987,,0.0,-0.022914,-0.0,0.0
1994-07-31,0.9983,,0.0,0.032326,0.0,0.0
1994-08-31,0.9979,,0.0,0.038121,0.0,0.0
1994-09-30,0.9751,,0.0,-0.025254,-0.0,0.0
1994-10-31,0.929,,0.0,0.028426,0.0,0.0
1994-11-30,0.3199,,0.0,-0.039816,-0.0,0.0
1994-12-31,0.2084,,0.0,0.007281,0.0,0.0
1995-01-31,0.2316,,0.0,0.033608,0.0,0.0
1995-02-28,0.1578,,0.0,0.040809,0.0,0.0
1995-03-31,0.1704,,0.0,0.027848,0.0,0.0
1995-04-30,0.4112,,0.0,0.029623,0.0,0.0
1995-05-31,0.8726,,0.0,0.039673,0.0,0.0
1995-06-30,0.9998,,0.0,0.02023,0.0,0.0
1995-07-31,1.0,,0.0,0.032166,0.0,0.0
1995-08-31,1.0,,0.0,0.004451,0.0,0.0
1995-09-30,0.9998,,0.0,0.042376,0.0,0.0
1995-10-31,0.9995,,0.0,-0.002938,-0.0,0.0
1995-11-30,0.9999,,0.0,0.04448,0.0,0.0
1995-12-31,1.0,,0.0,0.015733,0.0,0.0
1996-01-31,1.0,0.9922,1.0,0.035578,0.035578,0.035578
1996-02-29,1.0,0.9979,1.0,0.00319,0.00319,0.038881
1996-03-31,1.0,0.9979,1.0,0.017218,0.017218,0.056769
1996-04-30,1.0,0.9979,1.0,0.01087,0.01087,0.068256
1996-05-31,1.0,0.9979,1.0,0.0227,0.0227,0.092505
1996-06-30,0.9999,0.9979,1.0,0.008822,0.008822,0.102144
1996-07-31,1.0,0.998,1.0,-0.044936,-0.044936,0.052618
1996-08-31,1.0,0.9981,1.0,0.019259,0.019259,0.07289
1996-09-30,1.0,0.9982,1.0,0.055872,0.055872,0.132834
1996-10-31,1.0,0.9983,1.0,0.032332,0.032332,0.169461
1996-11-30,1.0,0.9984,1.0,0.073004,0.073004,0.254837
1996-12-31,1.0,0.9985,1.0,-0.023798,-0.023798,0.224974
1997-01-31,1.0,0.9986,1.0,0.061786,0.061786,0.30066
1997-02-28,0.9999,0.9987,1.0,0.009566,0.009566,0.313102
1997-03-31,1.0,0.9989,1.0,-0.044123,-0.044123,0.255164
1997-04-30,0.9999,0.9991,1.0,0.062603,0.062603,0.333741
1997-05-31,0.9999,0.9993,1.0,0.063207,0.063207,0.418043
1997-06-30,1.0,0.9995,1.0,0.041102,0.041102,0.476328
1997-07-31,1.0,0.9996,1.0,0.079264,0.079264,0.593347
1997-08-31,0.9998,0.9997,1.0,-0.051803,-0.051803,0.510807
1997-09-30,1.0,0.9998,1.0,0.04809,0.04809,0.583462
1997-10-31,1.0,0.9998,1.0,-0.024504,-0.024504,0.544661
1997-11-30,1.0,0.9998,1.0,0.038696,0.038696,0.604433
1997-12-31,0.9999,0.9998,1.0,0.019072,0.019072,0.635033
1998-01-31,1.0,0.9998,1.0,0.012878,0.012878,0.656089
1998-02-28,1.0,0.9998,1.0,0.069295,0.069295,0.770847
1998-03-31,0.9999,0.9998,1.0,0.048783,0.048783,0.857234
1998-04-30,1.0,0.9998,1.0,0.012791,0.012791,0.88099
1998-05-31,1.0,0.9998,1.0,-0.020769,-0.020769,0.841924
1998-06-30,1.0,0.9998,1.0,0.042573,0.042573,0.92034
1998-07-31,1.0,0.9998,1.0,-0.013514,-0.013514,0.894389
1998-08-31,1.0,0.9998,1.0,-0.14118,-0.14118,0.626939
1998-09-30,0.9999,0.9998,1.0,0.06364,0.06364,0.730477
1998-10-31,1.0,0.9998,1.0,0.08108,0.08108,0.870784
1998-11-30,1.0,0.9998,1.0,0.055682,0.055682,0.974954
1998-12-31,1.0,0.9998,1.0,0.065422,0.065422,1.104159
1999-01-31,1.0,0.9998,1.0,0.035226,0.035226,1.17828
1999-02-28,0.9999,0.9998,1.0,-0.032068,-0.032068,1.108427
1999-03-31,1.0,0.9998,1.0,0.041468,0.041468,1.195859
1999-04-30,1.0,0.9998,1.0,0.037974,0.037974,1.279245
1999-05-31,0.9998,0.9998,0.0,-0.022865,-0.0,1.279245
1999-06-30,0.9998,0.9998,0.0,0.055378,0.0,1.279245
1999-07-31,1.0,0.9998,1.0,-0.031022,-0.031022,1.208538
1999-08-31,0.9999,0.9999,1.0,-0.005179,-0.005179,1.1971
1999-09-30,0.9991,0.9999,0.0,-0.022337,-0.0,1.1971
1999-10-31,0.998,0.9999,0.0,0.064078,0.0,1.1971
1999-11-30,0.9938,0.9999,0.0,0.016651,0.0,1.1971
1999-12-31,0.9967,0.9999,0.0,0.05711,0.0,1.1971
2000-01-31,0.9995,0.9999,0.0,-0.049787,-0.0,1.1971
2000-02-29,0.9999,0.9999,1.0,-0.015227,-0.015227,1.163645
2000-03-31,0.9999,0.9999,0.0,0.096914,0.0,1.163645
2000-04-30,0.9967,0.9999,0.0,-0.03512,-0.0,1.163645
2000-05-31,0.9962,0.9999,0.0,-0.015722,-0.0,1.163645
2000-06-30,0.9927,0.9999,0.0,0.019681,0.0,1.163645
2000-07-31,0.9976,0.9999,0.0,-0.015702,-0.0,1.163645
2000-08-31,0.9985,0.9999,0.0,0.065341,0.0,1.163645
2000-09-30,1.0,0.9999,1.0,-0.054862,-0.054862,1.044943
2000-10-31,1.0,0.9999,1.0,-0.004678,-0.004678,1.035377
2000-11-30,1.0,0.9999,1.0,-0.074653,-0.074653,0.88343
2000-12-31,1.0,0.9999,1.0,-0.005226,-0.005226,0.873587
2001-01-31,1.0,0.9999,1.0,0.044459,0.044459,0.956885
2001-02-28,1.0,0.9999,1.0,-0.095387,-0.095387,0.770223
2001-03-31,1.0,0.9999,1.0,-0.056037,-0.056037,0.671025
2001-04-30,1.0,0.9999,1.0,0.08544,0.08544,0.813798
2001-05-31,1.0,0.9999,1.0,-0.005606,-0.005606,0.80363
2001-06-30,1.0,0.9999,1.0,-0.023829,-0.023829,0.760651
2001-07-31,0.9999,0.9999,0.0,-0.010196,-0.0,0.760651
2001-08-31,0.9998,0.9999,0.0,-0.059332,-0.0,0.760651
2001-09-30,0.9991,0.9999,0.0,-0.08163,-0.0,0.760651
2001-10-31,0.999,0.9998,0.0,0.013022,0.0,0.760651
2001-11-30,1.0,0.9998,1.0,0.077978,0.077978,0.897943
2001-12-31,0.9998,0.9998,0.0,0.005639,0.0,0.897943
2002-01-31,0.9989,0.9998,0.0,-0.009799,-0.0,0.897943
2002-02-28,0.9996,0.9998,0.0,-0.017935,-0.0,0.897943
2002-03-31,0.9996,0.9997,0.0,0.033271,0.0,0.897943
2002-04-30,0.9999,0.9997,1.0,-0.058156,-0.058156,0.787566
2002-05-31,1.0,0.9997,1.0,-0.005934,-0.005934,0.776959
2002-06-30,1.0,0.9997,1.0,-0.073808,-0.073808,0.645805
2002-07-31,1.0,0.9997,1.0,-0.07882,-0.07882,0.516083
2002-08-31,1.0,0.9997,1.0,0.006801,0.006801,0.526393
2002-09-30,1.0,0.9997,1.0,-0.104852,-0.104852,0.366348
2002-10-31,1.0,0.9997,1.0,0.082283,0.082283,0.478775
2002-11-30,1.0,0.9997,1.0,0.061681,0.061681,0.569988
2002-12-31,1.0,0.9997,1.0,-0.05657,-0.05657,0.481173
2003-01-31,1.0,0.9997,1.0,-0.024594,-0.024594,0.444745
2003-02-28,0.9998,0.9997,1.0,-0.01348,-0.01348,0.42527
2003-03-31,1.0,0.9997,1.0,0.002141,0.002141,0.428322
2003-04-30,1.0,0.9997,1.0,0.084612,0.084612,0.549175
2003-05-31,1.0,0.9997,1.0,0.054836,0.054836,0.634125
2003-06-30,1.0,0.9997,1.0,0.010652,0.010652,0.651532
2003-07-31,1.0,0.9997,1.0,0.018027,0.018027,0.681304
2003-08-31,1.0,0.9997,1.0,0.020625,0.020625,0.715981
2003-09-30,1.0,0.9997,1.0,-0.010906,-0.010906,0.697267
2003-10-31,1.0,0.9997,1.0,0.053527,0.053527,0.788116
2003-11-30,1.0,0.9997,1.0,0.010921,0.010921,0.807644
2003-12-31,1.0,0.9997,1.0,0.050313,0.050313,0.898592
2004-01-31,1.0,0.9997,1.0,0.01977,0.01977,0.936128
2004-02-29,1.0,0.9997,1.0,0.01357,0.01357,0.962401
2004-03-31,1.0,0.9997,1.0,-0.013245,-0.013245,0.936409
2004-04-30,1.0,0.9997,1.0,-0.018922,-0.018922,0.899768
2004-05-31,1.0,0.9998,1.0,0.017124,0.017124,0.9323
2004-06-30,0.9998,0.9997,1.0,0.018501,0.018501,0.968049
2004-07-31,0.9997,0.9996,1.0,-0.032219,-0.032219,0.904641
2004-08-31,0.9997,0.9996,1.0,0.002436,0.002436,0.90928
2004-09-30,1.0,0.9997,1.0,0.010036,0.010036,0.928442
2004-10-31,1.0,0.9998,1.0,0.012885,0.012885,0.95329
2004-11-30,1.0,0.9998,1.0,0.044517,0.044517,1.040244
2004-12-31,1.0,0.9998,1.0,0.030122,0.030122,1.101701
2005-01-31,1.0,0.9998,1.0,-0.022421,-0.022421,1.054578
2005-02-28,1.0,0.9998,1.0,0.020903,0.020903,1.097525
2005-03-31,1.0,0.9998,1.0,-0.018293,-0.018293,1.059155
2005-04-30,1.0,0.9999,1.0,-0.018736,-0.018736,1.020575
2005-05-31,1.0,0.9999,1.0,0.032226,0.032226,1.08569
2005-06-30,1.0,0.9999,1.0,0.001515,0.001515,1.08885
2005-07-31,1.0,1.0,1.0,0.038261,0.038261,1.168771
2005-08-31,1.0,1.0,1.0,-0.009374,-0.009374,1.148441
2005-09-30,1.0,1.0,1.0,0.008025,0.008025,1.165682
2005-10-31,0.9999,1.0,0.0,-0.023651,-0.0,1.165682
2005-11-30,0.9995,1.0,0.0,0.043952,0.0,1.165682
2005-12-31,0.9925,0.9999,0.0,-0.001913,-0.0,1.165682
2006-01-31,0.7842,0.9999,0.0,0.024014,0.0,1.165682
2006-02-28,0.0633,0.9999,0.0,0.005726,0.0,1.165682
2006-03-31,0.0128,0.9998,0.0,0.016503,0.0,1.165682
2006-04-30,0.0033,0.9998,0.0,0.012632,0.0,1.165682
2006-05-31,0.0008,0.9998,0.0,-0.030121,-0.0,1.165682
2006-06-30,0.0003,0.9998,0.0,0.002608,0.0,1.165682
2006-07-31,0.0,0.9997,0.0,0.004478,0.0,1.165682
2006-08-31,0.0001,0.9996,0.0,0.021822,0.0,1.165682
2006-09-30,0.0001,0.9996,0.0,0.027002,0.0,1.165682
2006-10-31,0.0,0.9996,0.0,0.031517,0.0,1.165682
2006-11-30,0.0001,0.9996,0.0,0.019886,0.0,1.165682
2006-12-31,0.0001,0.9995,0.0,0.013371,0.0,1.165682
2007-01-31,0.0,0.9995,0.0,0.01504,0.0,1.165682
2007-02-28,0.0,0.9977,0.0,-0.019617,-0.0,1.165682
2007-03-31,0.0,0.9405,0.0,0.011588,0.0,1.165682
2007-04-30,0.0001,0.604,0.0,0.044296,0.0,1.165682
2007-05-31,0.0,0.0506,0.0,0.03392,0.0,1.165682
2007-06-30,0.0,0.0104,0.0,-0.01462,-0.0,1.165682
2007-07-31,0.0001,0.0027,0.0,-0.031311,-0.0,1.165682
2007-08-31,0.0,0.0007,0.0,0.012833,0.0,1.165682
2007-09-30,0.0,0.0002,0.0,0.038715,0.0,1.165682
2007-10-31,0.0,0.0001,0.0,0.013566,0.0,1.165682
2007-11-30,0.0,0.0001,0.0,-0.038732,-0.0,1.165682
2007-12-31,0.0,0.0001,0.0,-0.011261,-0.0,1.165682
2008-01-31,0.0,0.0001,0.0,-0.060461,-0.0,1.165682
2008-02-29,0.0,0.0001,0.0,-0.025842,-0.0,1.165682
2008-03-31,0.0,0.0,0.0,-0.008943,-0.0,1.165682
2008-04-30,0.0,0.0,0.0,0.047662,0.0,1.165682
2008-05-31,0.0,0.0,0.0,0.015117,0.0,1.165682
2008-06-30,0.0,0.0,0.0,-0.083576,-0.0,1.165682
2008-07-31,0.0,0.0,0.0,-0.008986,-0.0,1.165682
2008-08-31,0.0,0.0,0.0,0.015454,0.0,1.165682
2008-09-30,0.0,0.0,0.0,-0.094174,-0.0,1.165682
2008-10-31,0.0,0.0,0.0,-0.165186,-0.0,1.165682
2008-11-30,0.0,0.0,0.0,-0.069607,-0.0,1.165682
2008-12-31,0.0,0.0,0.0,0.009796,0.0,1.165682
2009-01-31,0.0,0.0,0.0,-0.082114,-0.0,1.165682
2009-02-28,0.0,0.0,0.0,-0.107449,-0.0,1.165682
2009-03-31,0.0,0.0,0.0,0.083311,0.0,1.165682
2009-04-30,0.0,0.0,0.0,0.099346,0.0,1.165682
2009-05-31,0.0001,0.0,1.0,0.058454,0.058454,1.292275
2009-06-30,0.0099,0.0,1.0,-0.000655,-0.000655,1.290774
2009-07-31,0.1089,0.0,1.0,0.074606,0.074606,1.461679
2009-08-31,0.3417,0.0,1.0,0.036939,0.036939,1.552611
2009-09-30,0.4526,0.0,1.0,0.035457,0.035457,1.643119
2009-10-31,0.9553,0.0,1.0,-0.019225,-0.019225,1.592305
2009-11-30,0.9815,0.0,1.0,0.061607,0.061607,1.752009
2009-12-31,0.9895,0.0,1.0,0.019101,0.019101,1.804576
2010-01-31,0.998,0.0,1.0,-0.036342,-0.036342,1.702652
2010-02-28,0.9986,0.0,1.0,0.031195,0.031195,1.786961
2010-03-31,1.0,0.0,1.0,0.06088,0.06088,1.956631
2010-04-30,1.0,0.0,1.0,0.01547,0.01547,2.00237
2010-05-31,0.0269,0.0,1.0,-0.079455,-0.079455,1.763817
2010-06-30,0.0006,0.0,1.0,-0.051741,-0.051741,1.620814
2010-07-31,0.0,0.0,1.0,0.068301,0.068301,1.799818
