signal,horizon,coef,t_stat,p_value,r_squared,n
permit_yoy,spy_fwd_1m,0.000101,0.618,0.5366,0.0015,394
permit_yoy,spy_fwd_3m,0.000218,0.671,0.502,0.0023,392
permit_yoy,spy_fwd_6m,0.000638,1.315,0.1885,0.0091,389
permit_yoy,spy_fwd_12m,0.001829,2.54,0.0111,0.0318,383
permit_mom,spy_fwd_1m,0.000583,1.234,0.2172,0.0046,394
permit_mom,spy_fwd_3m,0.001109,1.061,0.2888,0.0056,392
permit_mom,spy_fwd_6m,0.001027,0.645,0.5188,0.0022,389
permit_mom,spy_fwd_12m,0.001336,0.625,0.532,0.0016,383
permit_zscore_60m,spy_fwd_1m,0.001628,0.909,0.3636,0.0026,384
permit_zscore_60m,spy_fwd_3m,0.004793,1.361,0.1734,0.0077,382
permit_zscore_60m,spy_fwd_6m,0.010697,1.942,0.0522,0.0175,379
permit_zscore_60m,spy_fwd_12m,0.027298,3.321,0.0009,0.0472,373
