date,granger_f_24m,p_value_24m
1995-01-31,0.403177,0.752988
1995-02-28,1.103982,0.380356
1995-03-31,2.6655,0.118191
1995-04-30,2.737072,0.113654
1995-05-31,2.782868,0.110859
1995-06-30,2.911117,0.103453
1995-07-31,2.694948,0.116299
1995-08-31,3.460183,0.077634
1995-09-30,3.597961,0.072387
1995-10-31,3.596592,0.072437
1995-11-30,3.606811,0.072064
1995-12-31,4.517011,0.020461
1996-01-31,6.532968,0.007856
1996-02-29,12.575907,0.002026
1996-03-31,16.261024,0.000652
1996-04-30,16.463917,0.000615
1996-05-31,18.931654,0.00031
1996-06-30,16.722978,0.000571
1996-07-31,9.006687,0.007058
1996-08-31,12.626548,0.001993
1996-09-30,12.576068,0.002026
1996-10-31,16.159479,0.000672
1996-11-30,16.605414,0.00059
1996-12-31,12.138975,0.00234
1997-01-31,8.066686,0.010115
1997-02-28,6.798356,0.016856
1997-03-31,2.840508,0.107456
1997-04-30,2.343567,0.141466
1997-05-31,2.541585,0.126565
1997-06-30,2.156821,0.157492
1997-07-31,2.611554,0.121753
1997-08-31,1.946731,0.173272
1997-09-30,1.807512,0.193858
1997-10-31,0.910599,0.460866
1997-11-30,1.17834,0.353357
1997-12-31,1.138696,0.367495
1998-01-31,1.124346,0.372756
1998-02-28,2.787997,0.110551
1998-03-31,3.488569,0.076518
1998-04-30,3.582455,0.072957
1998-05-31,3.514079,0.043629
1998-06-30,3.164376,0.090466
1998-07-31,3.030702,0.097066
1998-08-31,0.283892,0.600033
1998-09-30,0.743928,0.39863
1998-10-31,1.054138,0.316814
1998-11-30,2.336999,0.141995
1998-12-31,2.541807,0.126549
1999-01-31,2.859218,0.106377
1999-02-28,3.412451,0.079554
1999-03-31,3.074506,0.094843
1999-04-30,2.952906,0.101166
1999-05-31,1.919586,0.181161
1999-06-30,1.878035,0.185745
1999-07-31,2.020754,0.170569
1999-08-31,2.202809,0.15335
1999-09-30,2.263578,0.148077
1999-10-31,3.553733,0.074025
1999-11-30,3.095929,0.093778
1999-12-31,3.028402,0.097184
2000-01-31,1.859463,0.18784
2000-02-29,1.065744,0.395059
2000-03-31,1.291906,0.300393
2000-04-30,1.209902,0.284416
2000-05-31,2.011092,0.158713
2000-06-30,3.0242,0.075226
2000-07-31,3.76773,0.066475
2000-08-31,4.257942,0.052288
2000-09-30,3.642055,0.070795
2000-10-31,2.336083,0.142069
2000-11-30,1.641975,0.214713
2000-12-31,1.163554,0.336045
2001-01-31,1.482643,0.237533
2001-02-28,0.558333,0.651146
2001-03-31,0.671377,0.583622
2001-04-30,0.062861,0.939291
2001-05-31,0.128194,0.724063
2001-06-30,0.078891,0.924477
2001-07-31,0.106247,0.899795
2001-08-31,0.325232,0.726756
2001-09-30,1.222096,0.338409
2001-10-31,1.771037,0.198228
2001-11-30,2.079588,0.164758
2001-12-31,1.389332,0.252352
2002-01-31,1.387446,0.252663
2002-02-28,2.453495,0.13295
2002-03-31,0.922706,0.348236
2002-04-30,1.536648,0.229466
2002-05-31,1.874938,0.186092
2002-06-30,2.222564,0.151611
2002-07-31,3.414243,0.079481
2002-08-31,3.52943,0.074944
2002-09-30,4.280282,0.05173
2002-10-31,2.778318,0.111133
2002-11-30,2.620196,0.101884
2002-12-31,3.484011,0.076696
2003-01-31,2.505209,0.10151
2003-02-28,2.618156,0.09194
2003-03-31,2.353132,0.116202
2003-04-30,2.654459,0.089082
2003-05-31,2.982309,0.067338
2003-06-30,2.571546,0.095762
2003-07-31,2.457458,0.105887
2003-08-31,2.948912,0.069255
2003-09-30,2.744077,0.082443
2003-10-31,2.634637,0.09063
2003-11-30,2.432948,0.108215
2003-12-31,2.26519,0.125771
2004-01-31,3.246197,0.054128
2004-02-29,3.583515,0.041297
2004-03-31,2.473524,0.104392
2004-04-30,3.027808,0.075026
2004-05-31,1.863948,0.185394
2004-06-30,2.059602,0.166704
2004-07-31,1.834654,0.189909
2004-08-31,2.716706,0.114924
2004-09-30,1.400664,0.250489
2004-10-31,1.334621,0.261601
2004-11-30,2.170281,0.156265
2004-12-31,3.097792,0.093686
2005-01-31,4.316043,0.05085
2005-02-28,4.433429,0.048079
2005-03-31,1.118672,0.302813
2005-04-30,0.850414,0.367427
2005-05-31,1.324366,0.263384
2005-06-30,1.137904,0.298804
2005-07-31,1.810193,0.193542
2005-08-31,2.267233,0.147767
2005-09-30,2.15843,0.157344
2005-10-31,1.629226,0.216433
2005-11-30,1.705108,0.206442
2005-12-31,1.477047,0.23839
2006-01-31,2.015592,0.171091
2006-02-28,2.096599,0.163123
2006-03-31,4.039468,0.058132
2006-04-30,4.411627,0.04858
2006-05-31,2.908946,0.07163
2006-06-30,3.808849,0.065129
2006-07-31,4.324331,0.050648
2006-08-31,5.058942,0.035923
2006-09-30,5.568185,0.028566
2006-10-31,5.21894,0.033402
2006-11-30,6.753804,0.017171
2006-12-31,7.373498,0.01332
2007-01-31,7.30347,0.013703
2007-02-28,7.370332,0.013338
2007-03-31,8.438117,0.008759
2007-04-30,4.519728,0.046151
2007-05-31,5.304455,0.032138
2007-06-30,2.87114,0.105697
2007-07-31,1.036057,0.320896
2007-08-31,1.040832,0.374609
2007-09-30,1.481873,0.237651
2007-10-31,1.099669,0.306846
2007-11-30,0.544746,0.589782
2007-12-31,1.233675,0.334565
2008-01-31,2.669343,0.098135
2008-02-29,2.487786,0.112804
2008-03-31,1.924365,0.176457
2008-04-30,2.495304,0.11215
2008-05-31,1.641668,0.222911
2008-06-30,3.3955,0.057452
2008-07-31,3.378474,0.048625
2008-08-31,2.562014,0.096565
2008-09-30,0.635066,0.542015
2008-10-31,2.076408,0.156022
2008-11-30,2.432814,0.117717
2008-12-31,2.49346,0.11231
2009-01-31,3.097403,0.071284
2009-02-28,2.965088,0.078587
2009-03-31,2.145318,0.147643
2009-04-30,2.163049,0.145569
2009-05-31,1.511448,0.248792
2009-06-30,2.44465,0.107097
2009-07-31,2.165781,0.137658
2009-08-31,3.001858,0.066244
2009-09-30,4.413965,0.02204
2009-10-31,4.320314,0.023597
2009-11-30,3.080416,0.062044
2009-12-31,3.569187,0.041766
2010-01-31,5.715113,0.009068
2010-02-28,6.504937,0.005551
2010-03-31,6.926687,0.004328
2010-04-30,6.652041,0.005085
2010-05-31,5.979751,0.007664
2010-06-30,5.197247,0.012749
2010-07-31,4.122941,0.034689
2010-08-31,4.203135,0.032871
2010-09-30,3.82961,0.042363
2010-10-31,3.683212,0.046891
2010-11-30,3.231641,0.064641
2010-12-31,1.940381,0.174169
2011-01-31,1.400678,0.27347
2011-02-28,1.979573,0.16871
2011-03-31,1.618264,0.227332
2011-04-30,1.689192,0.214226
2011-05-31,2.016389,0.163755
2011-06-30,1.437935,0.264877
