entry_date,exit_date,direction,holding_days,trade_return_pct,signal_value,threshold_value,threshold_comparison,regime_tag
1993-02-28,1993-09-30,Long,214,5.33,-1.2856,-2.7293,-1.2856 > -2.7293,bullish
1993-09-30,1993-10-31,Short,31,-1.97,-8.0139,-2.7293,-8.0139 <= -2.7293,strong-bearish
1993-10-31,1994-07-31,Long,273,-0.17,4.5455,-2.7293,+4.5455 > -2.7293,strong-bullish
1994-07-31,1994-09-30,Short,61,-1.38,-4.8597,-2.7293,-4.8597 <= -2.7293,strong-bearish
1994-09-30,1994-12-31,Long,92,-0.53,5.7526,-2.7293,+5.7526 > -2.7293,strong-bullish
1994-12-31,1995-01-31,Short,31,-3.36,-2.7937,-2.7293,-2.7937 <= -2.7293,bearish
1995-01-31,1995-05-31,Long,120,14.52,-1.6212,-2.7293,-1.6212 > -2.7293,bullish
1995-05-31,1995-06-30,Short,30,-2.02,-4.0802,-2.7293,-4.0802 <= -2.7293,bearish
1995-06-30,1995-07-31,Long,31,3.22,4.1791,-2.7293,+4.1791 > -2.7293,strong-bullish
1995-07-31,1995-08-31,Short,31,-0.45,-8.1662,-2.7293,-8.1662 <= -2.7293,strong-bearish
1995-08-31,1996-07-31,Long,335,16.05,-2.1841,-2.7293,-2.1841 > -2.7293,bullish
1996-07-31,1996-08-31,Short,31,-1.93,-3.8141,-2.7293,-3.8141 <= -2.7293,bearish
1996-08-31,1998-10-31,Long,791,74.46,2.3792,-2.7293,+2.3792 > -2.7293,strong-bullish
1998-10-31,1998-11-30,Short,30,-5.57,-3.6137,-2.7293,-3.6137 <= -2.7293,bearish
1998-11-30,1999-03-31,Long,121,11.18,0.4525,-2.7293,+0.4525 > -2.7293,strong-bullish
1999-03-31,1999-04-30,Short,30,-3.8,-4.6554,-2.7293,-4.6554 <= -2.7293,strong-bearish
1999-04-30,1999-05-31,Long,31,-2.29,9.0044,-2.7293,+9.0044 > -2.7293,strong-bullish
1999-05-31,1999-06-30,Short,30,-5.54,-2.7341,-2.7293,-2.7341 <= -2.7293,bearish
1999-06-30,1999-09-30,Long,92,-5.76,4.1866,-2.7293,+4.1866 > -2.7293,strong-bullish
1999-09-30,1999-11-30,Short,61,-8.04,-3.1977,-2.7293,-3.1977 <= -2.7293,bearish
1999-11-30,2000-03-31,Long,122,8.42,2.5,-2.7293,+2.5000 > -2.7293,strong-bullish
2000-03-31,2000-04-30,Short,30,3.51,-7.1813,-2.7293,-7.1813 <= -2.7293,strong-bearish
2000-04-30,2000-10-31,Long,184,-0.99,6.3185,-2.7293,+6.3185 > -2.7293,strong-bullish
2000-10-31,2000-12-31,Short,61,8.03,-3.2707,-2.7293,-3.2707 <= -2.7293,bearish
2000-12-31,2001-06-30,Long,181,-6.03,1.8795,-2.7293,+1.8795 > -2.7293,strong-bullish
2001-06-30,2001-07-31,Short,31,1.02,-4.399,-2.7293,-4.3990 <= -2.7293,strong-bearish
2001-07-31,2002-03-31,Long,243,-4.68,10.1102,-2.7293,+10.1102 > -2.7293,strong-bullish
2002-03-31,2002-04-30,Short,30,5.82,-3.096,-2.7293,-3.0960 <= -2.7293,bearish
2002-04-30,2002-09-30,Long,153,-23.56,0.0639,-2.7293,+0.0639 > -2.7293,strong-bullish
2002-09-30,2002-10-31,Short,31,-8.23,-5.3721,-2.7293,-5.3721 <= -2.7293,strong-bearish
2002-10-31,2003-07-31,Long,273,13.7,-1.301,-2.7293,-1.3010 > -2.7293,bullish
2003-07-31,2003-08-31,Short,31,-2.06,-4.6414,-2.7293,-4.6414 <= -2.7293,strong-bearish
2003-08-31,2003-09-30,Long,30,-1.09,2.5442,-2.7293,+2.5442 > -2.7293,strong-bullish
2003-09-30,2003-10-31,Short,31,-5.35,-5.2319,-2.7293,-5.2319 <= -2.7293,strong-bearish
2003-10-31,2004-05-31,Long,213,8.06,2.6181,-2.7293,+2.6181 > -2.7293,strong-bullish
2004-05-31,2004-06-30,Short,30,-1.85,-4.672,-2.7293,-4.6720 <= -2.7293,strong-bearish
2004-06-30,2004-12-31,Long,184,6.79,3.5975,-2.7293,+3.5975 > -2.7293,strong-bullish
2004-12-31,2005-01-31,Short,31,2.24,-6.0465,-2.7293,-6.0465 <= -2.7293,strong-bearish
2005-01-31,2005-11-30,Long,303,7.44,4.5545,-2.7293,+4.5545 > -2.7293,strong-bullish
2005-11-30,2005-12-31,Short,31,0.19,-3.0233,-2.7293,-3.0233 <= -2.7293,bearish
2005-12-31,2006-04-30,Long,120,6.01,4.4604,-2.7293,+4.4604 > -2.7293,strong-bullish
2006-04-30,2006-05-31,Short,31,3.01,-4.1096,-2.7293,-4.1096 <= -2.7293,bearish
2006-05-31,2006-06-30,Long,30,0.22,2.212,-2.7293,+2.2120 > -2.7293,strong-bullish
2006-06-30,2006-07-31,Short,31,-0.49,-4.4184,-2.7293,-4.4184 <= -2.7293,strong-bearish
2006-07-31,2006-08-31,Long,31,2.18,4.3396,-2.7293,+4.3396 > -2.7293,strong-bullish
2006-08-31,2006-09-30,Short,30,-2.7,-3.2098,-2.7293,-3.2098 <= -2.7293,bearish
2006-09-30,2006-10-31,Long,31,3.15,-1.0743,-2.7293,-1.0743 > -2.7293,strong-bullish
2006-10-31,2006-12-31,Short,61,-3.3,-5.6657,-2.7293,-5.6657 <= -2.7293,strong-bearish
2006-12-31,2007-01-31,Long,31,1.5,-1.9948,-2.7293,-1.9948 > -2.7293,bullish
2007-01-31,2007-02-28,Short,28,1.96,-5.5704,-2.7293,-5.5704 <= -2.7293,strong-bearish
2007-02-28,2007-03-31,Long,31,1.16,-2.3256,-2.7293,-2.3256 > -2.7293,bullish
2007-03-31,2007-05-31,Short,61,-7.67,-3.8908,-2.7293,-3.8908 <= -2.7293,bearish
2007-05-31,2007-10-31,Long,153,1.78,-2.2293,-2.7293,-2.2293 > -2.7293,bullish
2007-10-31,2007-11-30,Short,30,3.87,-7.8947,-2.7293,-7.8947 <= -2.7293,strong-bearish
2007-11-30,2007-12-31,Long,31,-1.13,1.5646,-2.7293,+1.5646 > -2.7293,strong-bullish
