# Simulated trade record based on backtest signals. No real trades executed. Starting capital: $10,000. Commission: 5 bps. Pair: permit_spy. Strategy: P3_long_short (procyclical). Signal: 1-Month Momentum (lead 6 months). Source: winner_trade_log.csv. See docs/data_vintage_note_permit_spy.md.
trade_date,side,instrument,quantity_pct,price,notional_usd,commission_bps,commission_usd,cum_pnl_pct,reason
1993-02-28,BUY,SPY,100.0,24.43843,10000.0,5,5.0,1.0669,P3_long_short/procyclical: 1-Month Momentum (lead 6m) = -1.2856 (threshold -2.7293) — enter long SPY
1993-09-30,SELL,SPY,100.0,25.739841,10000.0,5,5.0,6.4489,P3_long_short/procyclical: 1-Month Momentum (lead 6m) = -8.0139 (threshold -2.7293) — enter short SPY
1993-10-31,BUY,SPY,100.0,26.247633,10000.0,5,5.0,4.3489,P3_long_short/procyclical: 1-Month Momentum (lead 6m) = 4.5455 (threshold -2.7293) — enter long SPY
1994-07-31,SELL,SPY,100.0,26.203266,10000.0,5,5.0,4.1725,P3_long_short/procyclical: 1-Month Momentum (lead 6m) = -4.8597 (threshold -2.7293) — enter short SPY
1994-09-30,BUY,SPY,100.0,26.51528,10000.0,5,5.0,2.7316,P3_long_short/procyclical: 1-Month Momentum (lead 6m) = 5.7526 (threshold -2.7293) — enter long SPY
1994-12-31,SELL,SPY,100.0,26.373793,10000.0,5,5.0,2.1834,P3_long_short/procyclical: 1-Month Momentum (lead 6m) = -2.7937 (threshold -2.7293) — enter short SPY
1995-01-31,BUY,SPY,100.0,27.260155,10000.0,5,5.0,-1.2508,P3_long_short/procyclical: 1-Month Momentum (lead 6m) = -1.6212 (threshold -2.7293) — enter long SPY
1995-05-31,SELL,SPY,100.0,31.218004,10000.0,5,5.0,13.0864,P3_long_short/procyclical: 1-Month Momentum (lead 6m) = -4.0802 (threshold -2.7293) — enter short SPY
1995-06-30,BUY,SPY,100.0,31.84966,10000.0,5,5.0,10.7983,P3_long_short/procyclical: 1-Month Momentum (lead 6m) = 4.1791 (threshold -2.7293) — enter long SPY
1995-07-31,SELL,SPY,100.0,32.87412,10000.0,5,5.0,14.3622,P3_long_short/procyclical: 1-Month Momentum (lead 6m) = -8.1662 (threshold -2.7293) — enter short SPY
1995-08-31,BUY,SPY,100.0,33.02047,10000.0,5,5.0,13.853,P3_long_short/procyclical: 1-Month Momentum (lead 6m) = -2.1841 (threshold -2.7293) — enter long SPY
1996-07-31,SELL,SPY,100.0,38.31901,10000.0,5,5.0,32.1222,P3_long_short/procyclical: 1-Month Momentum (lead 6m) = -3.8141 (threshold -2.7293) — enter short SPY
1996-08-31,BUY,SPY,100.0,39.05699,10000.0,5,5.0,29.5776,P3_long_short/procyclical: 1-Month Momentum (lead 6m) = 2.3792 (threshold -2.7293) — enter long SPY
1998-10-31,SELL,SPY,100.0,68.13981,10000.0,5,5.0,126.0644,P3_long_short/procyclical: 1-Month Momentum (lead 6m) = -3.6137 (threshold -2.7293) — enter short SPY
1998-11-30,BUY,SPY,100.0,71.93395,10000.0,5,5.0,113.4768,P3_long_short/procyclical: 1-Month Momentum (lead 6m) = 0.4525 (threshold -2.7293) — enter long SPY
1999-03-31,SELL,SPY,100.0,79.979744,10000.0,5,5.0,137.3541,P3_long_short/procyclical: 1-Month Momentum (lead 6m) = -4.6554 (threshold -2.7293) — enter short SPY
1999-04-30,BUY,SPY,100.0,83.01695,10000.0,5,5.0,128.3406,P3_long_short/procyclical: 1-Month Momentum (lead 6m) = 9.0044 (threshold -2.7293) — enter long SPY
1999-05-31,SELL,SPY,100.0,81.11868,10000.0,5,5.0,123.1194,P3_long_short/procyclical: 1-Month Momentum (lead 6m) = -2.7341 (threshold -2.7293) — enter short SPY
1999-06-30,BUY,SPY,100.0,85.61091,10000.0,5,5.0,110.7634,P3_long_short/procyclical: 1-Month Momentum (lead 6m) = 4.1866 (threshold -2.7293) — enter long SPY
1999-09-30,SELL,SPY,100.0,80.68224,10000.0,5,5.0,98.6296,P3_long_short/procyclical: 1-Month Momentum (lead 6m) = -3.1977 (threshold -2.7293) — enter short SPY
1999-11-30,BUY,SPY,100.0,87.35026,10000.0,5,5.0,82.658,P3_long_short/procyclical: 1-Month Momentum (lead 6m) = 2.5 (threshold -2.7293) — enter long SPY
2000-03-31,SELL,SPY,100.0,94.704704,10000.0,5,5.0,98.0368,P3_long_short/procyclical: 1-Month Momentum (lead 6m) = -7.1813 (threshold -2.7293) — enter short SPY
2000-04-30,BUY,SPY,100.0,91.378654,10000.0,5,5.0,104.9919,P3_long_short/procyclical: 1-Month Momentum (lead 6m) = 6.3185 (threshold -2.7293) — enter long SPY
2000-10-31,SELL,SPY,100.0,90.47138,10000.0,5,5.0,102.9566,P3_long_short/procyclical: 1-Month Momentum (lead 6m) = -3.2707 (threshold -2.7293) — enter short SPY
2000-12-31,BUY,SPY,100.0,83.280106,10000.0,5,5.0,119.2473,P3_long_short/procyclical: 1-Month Momentum (lead 6m) = 1.8795 (threshold -2.7293) — enter long SPY
2001-06-30,SELL,SPY,100.0,78.26007,10000.0,5,5.0,106.0313,P3_long_short/procyclical: 1-Month Momentum (lead 6m) = -4.399 (threshold -2.7293) — enter short SPY
2001-07-31,BUY,SPY,100.0,77.46214,10000.0,5,5.0,108.1319,P3_long_short/procyclical: 1-Month Momentum (lead 6m) = 10.1102 (threshold -2.7293) — enter long SPY
