signal,signal_column,threshold,strategy,lead_months,direction,is_sharpe,oos_sharpe,oos_sortino,oos_calmar,oos_ann_return,oos_ann_vol,max_drawdown,win_rate,annual_turnover,is_n,oos_n,valid
level,permit_yoy_level,T0_zero,P1_long_cash,0,countercyclical,0.920852003313078,0.920852003313078,1.0633050032513105,0.7371810838880049,0.09544721627517139,0.10522975589249196,-0.12947594337576906,0.30612244897959184,2.816326530612245,98,98,True
level,permit_yoy_level,T0_zero,P1_long_cash,1,countercyclical,0.9459906713692756,0.9459906713692756,0.9325188506654364,0.9534953459030802,0.08814654406184075,0.09422975786101466,-0.0924456993320244,0.3163265306122449,2.816326530612245,98,98,True
level,permit_yoy_level,T0_zero,P1_long_cash,2,countercyclical,0.6352176357396312,0.6352176357396312,0.6812097575714317,0.3838284691579889,0.060553531953280615,0.10062527103992926,-0.15776196092519645,0.2653061224489796,2.816326530612245,98,98,True
level,permit_yoy_level,T0_zero,P1_long_cash,3,countercyclical,1.0212182457466863,1.0212182457466863,1.2227529413820417,1.0724171613623212,0.08928768793991515,0.08771882604923549,-0.08325835426438954,0.29591836734693877,2.816326530612245,98,98,True
level,permit_yoy_level,T0_zero,P1_long_cash,6,countercyclical,0.5873459187555057,0.5873459187555057,0.6409206807934205,0.42768705867908813,0.04834797351180997,0.08679970715266594,-0.1130452103487366,0.23469387755102042,2.5714285714285716,98,98,True
level,permit_yoy_level,T0_zero,P1_long_cash,9,countercyclical,0.4719405058771668,0.4719405058771668,0.3221692208554952,0.2878259958759331,0.03860865135698521,0.08875095735601266,-0.13413886136131847,0.23469387755102042,2.6938775510204085,98,98,True
level,permit_yoy_level,T0_zero,P1_long_cash,12,countercyclical,0.508338233007324,0.508338233007324,0.37114150626786274,0.24047525774108555,0.04676691708423175,0.09973923212474894,-0.19447704318331438,0.21428571428571427,2.5714285714285716,98,98,True
level,permit_yoy_level,T0_zero,P1_long_cash,0,procyclical,0.41558616121287556,0.41558616121287556,0.39321016526128943,0.19315031845125877,0.045831766437812504,0.12759054844557063,-0.23728548213280887,0.37755102040816324,2.816326530612245,98,98,True
level,permit_yoy_level,T0_zero,P1_long_cash,1,procyclical,0.44665476905706125,0.44665476905706125,0.46523577888286144,0.26222008769150207,0.05284853725670424,0.13609039926676908,-0.2015426725006657,0.3673469387755102,2.816326530612245,98,98,True
level,permit_yoy_level,T0_zero,P1_long_cash,2,procyclical,0.6541311924794527,0.6541311924794527,0.6683440008228716,0.31370397548148543,0.08024108422554876,0.13148272392520968,-0.25578599730013474,0.41836734693877553,2.816326530612245,98,98,True
