pair_name,horizon_days,metric,value,p_value,n_obs
petrol_yoy__spy_fwd_1m,21,pearson,0.0573,0.2581,392
petrol_yoy__spy_fwd_1m,21,spearman,0.0432,0.3932,392
petrol_yoy__spy_fwd_1m,21,kendall,0.0289,0.3926,392
petrol_yoy__spy_fwd_1m,21,distance,0.1018,,392
petrol_yoy__spy_fwd_3m,63,pearson,0.1012,0.0457,390
petrol_yoy__spy_fwd_3m,63,spearman,0.0777,0.1257,390
petrol_yoy__spy_fwd_3m,63,kendall,0.0495,0.1445,390
petrol_yoy__spy_fwd_3m,63,distance,0.1182,,390
petrol_yoy__spy_fwd_6m,126,pearson,0.1245,0.0142,387
petrol_yoy__spy_fwd_6m,126,spearman,0.0868,0.0881,387
petrol_yoy__spy_fwd_6m,126,kendall,0.0566,0.0966,387
petrol_yoy__spy_fwd_6m,126,distance,0.1381,,387
petrol_yoy__spy_fwd_12m,252,pearson,0.1597,0.0018,381
petrol_yoy__spy_fwd_12m,252,spearman,0.0986,0.0545,381
petrol_yoy__spy_fwd_12m,252,kendall,0.0595,0.0827,381
petrol_yoy__spy_fwd_12m,252,distance,0.2087,,381
petrol_pct_chg__spy_fwd_1m,21,pearson,0.0056,0.9117,392
petrol_pct_chg__spy_fwd_1m,21,spearman,-0.0242,0.6332,392
petrol_pct_chg__spy_fwd_1m,21,kendall,-0.0165,0.6247,392
petrol_pct_chg__spy_fwd_1m,21,distance,0.0794,,392
petrol_pct_chg__spy_fwd_3m,63,pearson,-0.0502,0.3224,390
petrol_pct_chg__spy_fwd_3m,63,spearman,-0.061,0.2296,390
petrol_pct_chg__spy_fwd_3m,63,kendall,-0.0415,0.2209,390
petrol_pct_chg__spy_fwd_3m,63,distance,0.0989,,390
petrol_pct_chg__spy_fwd_6m,126,pearson,0.058,0.2548,387
petrol_pct_chg__spy_fwd_6m,126,spearman,0.0476,0.3508,387
petrol_pct_chg__spy_fwd_6m,126,kendall,0.0324,0.341,387
petrol_pct_chg__spy_fwd_6m,126,distance,0.083,,387
petrol_pct_chg__spy_fwd_12m,252,pearson,0.0781,0.128,381
petrol_pct_chg__spy_fwd_12m,252,spearman,0.0398,0.4385,381
petrol_pct_chg__spy_fwd_12m,252,kendall,0.0268,0.4348,381
petrol_pct_chg__spy_fwd_12m,252,distance,0.1028,,381
petrol_3m__spy_fwd_1m,21,pearson,-0.0367,0.4688,392
petrol_3m__spy_fwd_1m,21,spearman,-0.0389,0.442,392
petrol_3m__spy_fwd_1m,21,kendall,-0.0259,0.4436,392
petrol_3m__spy_fwd_1m,21,distance,0.074,,392
petrol_3m__spy_fwd_3m,63,pearson,-0.0099,0.8449,390
petrol_3m__spy_fwd_3m,63,spearman,-0.0061,0.9042,390
petrol_3m__spy_fwd_3m,63,kendall,-0.0043,0.9001,390
petrol_3m__spy_fwd_3m,63,distance,0.0683,,390
petrol_3m__spy_fwd_6m,126,pearson,0.0965,0.0579,387
petrol_3m__spy_fwd_6m,126,spearman,0.0946,0.0631,387
petrol_3m__spy_fwd_6m,126,kendall,0.0637,0.0612,387
petrol_3m__spy_fwd_6m,126,distance,0.1148,,387
petrol_3m__spy_fwd_12m,252,pearson,0.0972,0.0579,381
petrol_3m__spy_fwd_12m,252,spearman,0.0571,0.266,381
petrol_3m__spy_fwd_12m,252,kendall,0.0387,0.2589,381
petrol_3m__spy_fwd_12m,252,distance,0.1139,,381
petrol_6m__spy_fwd_1m,21,pearson,0.0455,0.3688,392
petrol_6m__spy_fwd_1m,21,spearman,0.0469,0.3539,392
petrol_6m__spy_fwd_1m,21,kendall,0.032,0.3445,392
petrol_6m__spy_fwd_1m,21,distance,0.0769,,392
petrol_6m__spy_fwd_3m,63,pearson,0.0943,0.0629,390
petrol_6m__spy_fwd_3m,63,spearman,0.0979,0.0534,390
petrol_6m__spy_fwd_3m,63,kendall,0.0648,0.0559,390
petrol_6m__spy_fwd_3m,63,distance,0.1187,,390
petrol_6m__spy_fwd_6m,126,pearson,0.148,0.0035,387
petrol_6m__spy_fwd_6m,126,spearman,0.1368,0.007,387
petrol_6m__spy_fwd_6m,126,kendall,0.0916,0.0072,387
petrol_6m__spy_fwd_6m,126,distance,0.1414,,387
petrol_6m__spy_fwd_12m,252,pearson,0.1159,0.0236,381
petrol_6m__spy_fwd_12m,252,spearman,0.0766,0.1355,381
petrol_6m__spy_fwd_12m,252,kendall,0.0482,0.1605,381
petrol_6m__spy_fwd_12m,252,distance,0.1408,,381
petrol_dev_trend__spy_fwd_1m,21,pearson,0.0354,0.4851,392
petrol_dev_trend__spy_fwd_1m,21,spearman,0.0208,0.6818,392
petrol_dev_trend__spy_fwd_1m,21,kendall,0.0129,0.7036,392
petrol_dev_trend__spy_fwd_1m,21,distance,0.0787,,392
petrol_dev_trend__spy_fwd_3m,63,pearson,0.0824,0.1043,390
petrol_dev_trend__spy_fwd_3m,63,spearman,0.0665,0.1901,390
petrol_dev_trend__spy_fwd_3m,63,kendall,0.045,0.184,390
petrol_dev_trend__spy_fwd_3m,63,distance,0.104,,390
petrol_dev_trend__spy_fwd_6m,126,pearson,0.1555,0.0022,387
petrol_dev_trend__spy_fwd_6m,126,spearman,0.128,0.0117,387
petrol_dev_trend__spy_fwd_6m,126,kendall,0.0841,0.0134,387
petrol_dev_trend__spy_fwd_6m,126,distance,0.1434,,387
petrol_dev_trend__spy_fwd_12m,252,pearson,0.1437,0.005,381
