signal,threshold,strategy,lookback,signal_column,lead_months,oos_sharpe,valid,lead_source
petrol_yoy,T1_fixed_p25,P1_long_cash_pro,LB_NA,petrol_inv_pct_yoy,1,1.0153,True,pipeline
petrol_yoy,T1_fixed_p25,P1_long_cash_pro,LB_NA,petrol_inv_pct_yoy,2,1.0818,True,pipeline
petrol_yoy,T1_fixed_p25,P1_long_cash_pro,LB_NA,petrol_inv_pct_yoy,3,0.9311,True,pipeline
petrol_yoy,T1_fixed_p25,P1_long_cash_pro,LB_NA,petrol_inv_pct_yoy,4,0.9652,True,pipeline
petrol_yoy,T1_fixed_p25,P1_long_cash_pro,LB_NA,petrol_inv_pct_yoy,5,0.9699,True,pipeline
petrol_yoy,T1_fixed_p25,P1_long_cash_pro,LB_NA,petrol_inv_pct_yoy,6,0.8383,True,pipeline
petrol_yoy,T1_fixed_p25,P1_long_cash_pro,LB_NA,petrol_inv_pct_yoy,7,1.1317,True,pipeline
petrol_yoy,T1_fixed_p25,P1_long_cash_pro,LB_NA,petrol_inv_pct_yoy,8,0.9353,True,pipeline
petrol_yoy,T1_fixed_p25,P1_long_cash_pro,LB_NA,petrol_inv_pct_yoy,9,0.9115,True,pipeline
petrol_yoy,T1_fixed_p25,P1_long_cash_pro,LB_NA,petrol_inv_pct_yoy,10,0.8767,True,pipeline
petrol_yoy,T1_fixed_p25,P1_long_cash_pro,LB_NA,petrol_inv_pct_yoy,11,0.8053,True,pipeline
petrol_yoy,T1_fixed_p25,P1_long_cash_pro,LB_NA,petrol_inv_pct_yoy,12,0.9076,True,pipeline
petrol_yoy,T1_fixed_p25,P1_long_cash_counter,LB_NA,petrol_inv_pct_yoy,1,0.2394,False,pipeline
petrol_yoy,T1_fixed_p25,P1_long_cash_counter,LB_NA,petrol_inv_pct_yoy,2,0.2322,False,pipeline
petrol_yoy,T1_fixed_p25,P1_long_cash_counter,LB_NA,petrol_inv_pct_yoy,3,0.3865,True,pipeline
petrol_yoy,T1_fixed_p25,P1_long_cash_counter,LB_NA,petrol_inv_pct_yoy,4,0.3509,True,pipeline
petrol_yoy,T1_fixed_p25,P1_long_cash_counter,LB_NA,petrol_inv_pct_yoy,5,0.3481,True,pipeline
petrol_yoy,T1_fixed_p25,P1_long_cash_counter,LB_NA,petrol_inv_pct_yoy,6,0.4675,True,pipeline
petrol_yoy,T1_fixed_p25,P1_long_cash_counter,LB_NA,petrol_inv_pct_yoy,7,0.2008,False,pipeline
petrol_yoy,T1_fixed_p25,P1_long_cash_counter,LB_NA,petrol_inv_pct_yoy,8,0.3954,True,pipeline
petrol_yoy,T1_fixed_p25,P1_long_cash_counter,LB_NA,petrol_inv_pct_yoy,9,0.4134,True,pipeline
petrol_yoy,T1_fixed_p25,P1_long_cash_counter,LB_NA,petrol_inv_pct_yoy,10,0.433,True,pipeline
petrol_yoy,T1_fixed_p25,P1_long_cash_counter,LB_NA,petrol_inv_pct_yoy,11,0.4966,True,pipeline
petrol_yoy,T1_fixed_p25,P1_long_cash_counter,LB_NA,petrol_inv_pct_yoy,12,0.4073,True,pipeline
petrol_yoy,T1_fixed_p25,P3_long_short_pro,LB_NA,petrol_inv_pct_yoy,1,0.6008,True,pipeline
petrol_yoy,T1_fixed_p25,P3_long_short_pro,LB_NA,petrol_inv_pct_yoy,2,0.5831,True,pipeline
petrol_yoy,T1_fixed_p25,P3_long_short_pro,LB_NA,petrol_inv_pct_yoy,3,0.3463,True,pipeline
petrol_yoy,T1_fixed_p25,P3_long_short_pro,LB_NA,petrol_inv_pct_yoy,4,0.4026,True,pipeline
petrol_yoy,T1_fixed_p25,P3_long_short_pro,LB_NA,petrol_inv_pct_yoy,5,0.4055,True,pipeline
petrol_yoy,T1_fixed_p25,P3_long_short_pro,LB_NA,petrol_inv_pct_yoy,6,0.2336,False,pipeline
petrol_yoy,T1_fixed_p25,P3_long_short_pro,LB_NA,petrol_inv_pct_yoy,7,0.6246,True,pipeline
petrol_yoy,T1_fixed_p25,P3_long_short_pro,LB_NA,petrol_inv_pct_yoy,8,0.3211,True,pipeline
petrol_yoy,T1_fixed_p25,P3_long_short_pro,LB_NA,petrol_inv_pct_yoy,9,0.297,False,pipeline
petrol_yoy,T1_fixed_p25,P3_long_short_pro,LB_NA,petrol_inv_pct_yoy,10,0.2821,False,pipeline
petrol_yoy,T1_fixed_p25,P3_long_short_pro,LB_NA,petrol_inv_pct_yoy,11,0.1953,False,pipeline
petrol_yoy,T1_fixed_p25,P3_long_short_pro,LB_NA,petrol_inv_pct_yoy,12,0.3164,True,pipeline
petrol_yoy,T1_fixed_p25,P3_long_short_counter,LB_NA,petrol_inv_pct_yoy,1,-0.6008,False,pipeline
petrol_yoy,T1_fixed_p25,P3_long_short_counter,LB_NA,petrol_inv_pct_yoy,2,-0.5831,False,pipeline
petrol_yoy,T1_fixed_p25,P3_long_short_counter,LB_NA,petrol_inv_pct_yoy,3,-0.3463,False,pipeline
petrol_yoy,T1_fixed_p25,P3_long_short_counter,LB_NA,petrol_inv_pct_yoy,4,-0.4026,False,pipeline
petrol_yoy,T1_fixed_p25,P3_long_short_counter,LB_NA,petrol_inv_pct_yoy,5,-0.4055,False,pipeline
petrol_yoy,T1_fixed_p25,P3_long_short_counter,LB_NA,petrol_inv_pct_yoy,6,-0.2336,False,pipeline
petrol_yoy,T1_fixed_p25,P3_long_short_counter,LB_NA,petrol_inv_pct_yoy,7,-0.6246,False,pipeline
petrol_yoy,T1_fixed_p25,P3_long_short_counter,LB_NA,petrol_inv_pct_yoy,8,-0.3211,False,pipeline
petrol_yoy,T1_fixed_p25,P3_long_short_counter,LB_NA,petrol_inv_pct_yoy,9,-0.297,False,pipeline
petrol_yoy,T1_fixed_p25,P3_long_short_counter,LB_NA,petrol_inv_pct_yoy,10,-0.2821,False,pipeline
petrol_yoy,T1_fixed_p25,P3_long_short_counter,LB_NA,petrol_inv_pct_yoy,11,-0.1953,False,pipeline
petrol_yoy,T1_fixed_p25,P3_long_short_counter,LB_NA,petrol_inv_pct_yoy,12,-0.3164,False,pipeline
petrol_yoy,T1_fixed_p50,P1_long_cash_pro,LB_NA,petrol_inv_pct_yoy,1,0.9036,True,pipeline
petrol_yoy,T1_fixed_p50,P1_long_cash_pro,LB_NA,petrol_inv_pct_yoy,2,0.9448,True,pipeline
petrol_yoy,T1_fixed_p50,P1_long_cash_pro,LB_NA,petrol_inv_pct_yoy,3,0.7369,True,pipeline
petrol_yoy,T1_fixed_p50,P1_long_cash_pro,LB_NA,petrol_inv_pct_yoy,4,0.9485,True,pipeline
petrol_yoy,T1_fixed_p50,P1_long_cash_pro,LB_NA,petrol_inv_pct_yoy,5,0.7675,True,pipeline
petrol_yoy,T1_fixed_p50,P1_long_cash_pro,LB_NA,petrol_inv_pct_yoy,6,0.1852,False,pipeline
petrol_yoy,T1_fixed_p50,P1_long_cash_pro,LB_NA,petrol_inv_pct_yoy,7,0.6043,True,pipeline
petrol_yoy,T1_fixed_p50,P1_long_cash_pro,LB_NA,petrol_inv_pct_yoy,8,0.6336,True,pipeline
petrol_yoy,T1_fixed_p50,P1_long_cash_pro,LB_NA,petrol_inv_pct_yoy,9,0.5849,True,pipeline
petrol_yoy,T1_fixed_p50,P1_long_cash_pro,LB_NA,petrol_inv_pct_yoy,10,0.5479,True,pipeline
petrol_yoy,T1_fixed_p50,P1_long_cash_pro,LB_NA,petrol_inv_pct_yoy,11,1.064,True,pipeline
petrol_yoy,T1_fixed_p50,P1_long_cash_pro,LB_NA,petrol_inv_pct_yoy,12,1.0019,True,pipeline
petrol_yoy,T1_fixed_p50,P1_long_cash_counter,LB_NA,petrol_inv_pct_yoy,1,0.5141,True,pipeline
petrol_yoy,T1_fixed_p50,P1_long_cash_counter,LB_NA,petrol_inv_pct_yoy,2,0.5286,True,pipeline
petrol_yoy,T1_fixed_p50,P1_long_cash_counter,LB_NA,petrol_inv_pct_yoy,3,0.6151,True,pipeline
petrol_yoy,T1_fixed_p50,P1_long_cash_counter,LB_NA,petrol_inv_pct_yoy,4,0.4949,True,pipeline
petrol_yoy,T1_fixed_p50,P1_long_cash_counter,LB_NA,petrol_inv_pct_yoy,5,0.6264,True,pipeline
petrol_yoy,T1_fixed_p50,P1_long_cash_counter,LB_NA,petrol_inv_pct_yoy,6,0.9707,True,pipeline
petrol_yoy,T1_fixed_p50,P1_long_cash_counter,LB_NA,petrol_inv_pct_yoy,7,0.6919,True,pipeline
petrol_yoy,T1_fixed_p50,P1_long_cash_counter,LB_NA,petrol_inv_pct_yoy,8,0.6698,True,pipeline
petrol_yoy,T1_fixed_p50,P1_long_cash_counter,LB_NA,petrol_inv_pct_yoy,9,0.7091,True,pipeline
petrol_yoy,T1_fixed_p50,P1_long_cash_counter,LB_NA,petrol_inv_pct_yoy,10,0.7348,True,pipeline
petrol_yoy,T1_fixed_p50,P1_long_cash_counter,LB_NA,petrol_inv_pct_yoy,11,0.3442,True,pipeline
petrol_yoy,T1_fixed_p50,P1_long_cash_counter,LB_NA,petrol_inv_pct_yoy,12,0.4374,True,pipeline
petrol_yoy,T1_fixed_p50,P3_long_short_pro,LB_NA,petrol_inv_pct_yoy,1,0.0424,False,pipeline
petrol_yoy,T1_fixed_p50,P3_long_short_pro,LB_NA,petrol_inv_pct_yoy,2,-0.0142,False,pipeline
petrol_yoy,T1_fixed_p50,P3_long_short_pro,LB_NA,petrol_inv_pct_yoy,3,-0.1191,False,pipeline
petrol_yoy,T1_fixed_p50,P3_long_short_pro,LB_NA,petrol_inv_pct_yoy,4,0.0677,False,pipeline
petrol_yoy,T1_fixed_p50,P3_long_short_pro,LB_NA,petrol_inv_pct_yoy,5,-0.184,False,pipeline
petrol_yoy,T1_fixed_p50,P3_long_short_pro,LB_NA,petrol_inv_pct_yoy,6,-0.7276,False,pipeline
petrol_yoy,T1_fixed_p50,P3_long_short_pro,LB_NA,petrol_inv_pct_yoy,7,-0.1932,False,pipeline
petrol_yoy,T1_fixed_p50,P3_long_short_pro,LB_NA,petrol_inv_pct_yoy,8,-0.1572,False,pipeline
petrol_yoy,T1_fixed_p50,P3_long_short_pro,LB_NA,petrol_inv_pct_yoy,9,-0.2438,False,pipeline
petrol_yoy,T1_fixed_p50,P3_long_short_pro,LB_NA,petrol_inv_pct_yoy,10,-0.2731,False,pipeline
petrol_yoy,T1_fixed_p50,P3_long_short_pro,LB_NA,petrol_inv_pct_yoy,11,0.364,True,pipeline
petrol_yoy,T1_fixed_p50,P3_long_short_pro,LB_NA,petrol_inv_pct_yoy,12,0.1813,False,pipeline
petrol_yoy,T1_fixed_p50,P3_long_short_counter,LB_NA,petrol_inv_pct_yoy,1,-0.0424,False,pipeline
petrol_yoy,T1_fixed_p50,P3_long_short_counter,LB_NA,petrol_inv_pct_yoy,2,0.0142,False,pipeline
petrol_yoy,T1_fixed_p50,P3_long_short_counter,LB_NA,petrol_inv_pct_yoy,3,0.1191,False,pipeline
petrol_yoy,T1_fixed_p50,P3_long_short_counter,LB_NA,petrol_inv_pct_yoy,4,-0.0677,False,pipeline
petrol_yoy,T1_fixed_p50,P3_long_short_counter,LB_NA,petrol_inv_pct_yoy,5,0.184,False,pipeline
petrol_yoy,T1_fixed_p50,P3_long_short_counter,LB_NA,petrol_inv_pct_yoy,6,0.7276,True,pipeline
petrol_yoy,T1_fixed_p50,P3_long_short_counter,LB_NA,petrol_inv_pct_yoy,7,0.1932,False,pipeline
petrol_yoy,T1_fixed_p50,P3_long_short_counter,LB_NA,petrol_inv_pct_yoy,8,0.1572,False,pipeline
petrol_yoy,T1_fixed_p50,P3_long_short_counter,LB_NA,petrol_inv_pct_yoy,9,0.2438,False,pipeline
petrol_yoy,T1_fixed_p50,P3_long_short_counter,LB_NA,petrol_inv_pct_yoy,10,0.2731,False,pipeline
petrol_yoy,T1_fixed_p50,P3_long_short_counter,LB_NA,petrol_inv_pct_yoy,11,-0.364,False,pipeline
petrol_yoy,T1_fixed_p50,P3_long_short_counter,LB_NA,petrol_inv_pct_yoy,12,-0.1813,False,pipeline
petrol_yoy,T1_fixed_p75,P1_long_cash_pro,LB_NA,petrol_inv_pct_yoy,1,0.6688,True,pipeline
petrol_yoy,T1_fixed_p75,P1_long_cash_pro,LB_NA,petrol_inv_pct_yoy,2,0.585,True,pipeline
petrol_yoy,T1_fixed_p75,P1_long_cash_pro,LB_NA,petrol_inv_pct_yoy,3,0.6387,True,pipeline
petrol_yoy,T1_fixed_p75,P1_long_cash_pro,LB_NA,petrol_inv_pct_yoy,4,0.738,True,pipeline
petrol_yoy,T1_fixed_p75,P1_long_cash_pro,LB_NA,petrol_inv_pct_yoy,5,0.6766,True,pipeline
petrol_yoy,T1_fixed_p75,P1_long_cash_pro,LB_NA,petrol_inv_pct_yoy,6,0.7916,True,pipeline
petrol_yoy,T1_fixed_p75,P1_long_cash_pro,LB_NA,petrol_inv_pct_yoy,7,0.5108,True,pipeline
petrol_yoy,T1_fixed_p75,P1_long_cash_pro,LB_NA,petrol_inv_pct_yoy,8,0.0635,False,pipeline
