date,rolling_corr,n_obs,window_start
1995-12-31,0.0244,24,1994-01-31
1996-01-31,-0.0424,24,1994-02-28
1996-02-29,-0.2429,24,1994-03-31
1996-03-31,-0.2403,24,1994-04-30
1996-04-30,-0.2525,24,1994-05-31
1996-05-31,-0.2332,24,1994-06-30
1996-06-30,-0.1801,24,1994-07-31
1996-07-31,-0.2379,24,1994-08-31
1996-08-31,-0.1729,24,1994-09-30
1996-09-30,-0.2116,24,1994-10-31
1996-10-31,-0.1221,24,1994-11-30
1996-11-30,0.0491,24,1994-12-31
1996-12-31,-0.1113,24,1995-01-31
1997-01-31,-0.0306,24,1995-02-28
1997-02-28,0.2346,24,1995-03-31
1997-03-31,0.0763,24,1995-04-30
1997-04-30,-0.0088,24,1995-05-31
1997-05-31,-0.0324,24,1995-06-30
1997-06-30,-0.0873,24,1995-07-31
1997-07-31,0.0024,24,1995-08-31
1997-08-31,-0.0523,24,1995-09-30
1997-09-30,0.0341,24,1995-10-31
1997-10-31,-0.0293,24,1995-11-30
1997-11-30,-0.0159,24,1995-12-31
1997-12-31,-0.0355,24,1996-01-31
1998-01-31,-0.0526,24,1996-02-29
1998-02-28,-0.0596,24,1996-03-31
1998-03-31,-0.0464,24,1996-04-30
1998-04-30,-0.0566,24,1996-05-31
1998-05-31,-0.0131,24,1996-06-30
1998-06-30,0.0697,24,1996-07-31
1998-07-31,-0.1166,24,1996-08-31
1998-08-31,-0.112,24,1996-09-30
1998-09-30,-0.027,24,1996-10-31
1998-10-31,-0.0229,24,1996-11-30
1998-11-30,0.0521,24,1996-12-31
1998-12-31,0.0747,24,1997-01-31
1999-01-31,0.0065,24,1997-02-28
1999-02-28,-0.1021,24,1997-03-31
1999-03-31,-0.0178,24,1997-04-30
1999-04-30,-0.0386,24,1997-05-31
1999-05-31,0.0439,24,1997-06-30
1999-06-30,-0.0082,24,1997-07-31
1999-07-31,-0.1021,24,1997-08-31
1999-08-31,-0.1321,24,1997-09-30
1999-09-30,-0.106,24,1997-10-31
1999-10-31,-0.0861,24,1997-11-30
1999-11-30,-0.0425,24,1997-12-31
1999-12-31,-0.1074,24,1998-01-31
2000-01-31,-0.0391,24,1998-02-28
2000-02-29,0.0542,24,1998-03-31
2000-03-31,0.034,24,1998-04-30
2000-04-30,-0.0488,24,1998-05-31
2000-05-31,-0.0085,24,1998-06-30
2000-06-30,-0.0656,24,1998-07-31
2000-07-31,-0.3454,24,1998-08-31
2000-08-31,-0.2968,24,1998-09-30
2000-09-30,-0.2357,24,1998-10-31
2000-10-31,-0.0636,24,1998-11-30
2000-11-30,0.0453,24,1998-12-31
2000-12-31,-0.0391,24,1999-01-31
2001-01-31,0.1856,24,1999-02-28
2001-02-28,0.3128,24,1999-03-31
2001-03-31,0.1621,24,1999-04-30
2001-04-30,0.1672,24,1999-05-31
2001-05-31,0.1606,24,1999-06-30
2001-06-30,0.1887,24,1999-07-31
2001-07-31,0.2209,24,1999-08-31
2001-08-31,0.2664,24,1999-09-30
2001-09-30,0.2049,24,1999-10-31
2001-10-31,0.1252,24,1999-11-30
2001-11-30,0.0485,24,1999-12-31
2001-12-31,0.0939,24,2000-01-31
2002-01-31,0.1137,24,2000-02-29
2002-02-28,-0.0088,24,2000-03-31
2002-03-31,0.0446,24,2000-04-30
2002-04-30,0.0568,24,2000-05-31
2002-05-31,-0.037,24,2000-06-30
2002-06-30,-0.0953,24,2000-07-31
2002-07-31,-0.2607,24,2000-08-31
2002-08-31,-0.2918,24,2000-09-30
2002-09-30,-0.1746,24,2000-10-31
2002-10-31,-0.0261,24,2000-11-30
2002-11-30,-0.0686,24,2000-12-31
2002-12-31,-0.027,24,2001-01-31
2003-01-31,-0.152,24,2001-02-28
2003-02-28,-0.2289,24,2001-03-31
2003-03-31,-0.0399,24,2001-04-30
2003-04-30,0.0319,24,2001-05-31
2003-05-31,0.0456,24,2001-06-30
2003-06-30,0.0719,24,2001-07-31
2003-07-31,0.0743,24,2001-08-31
2003-08-31,0.0398,24,2001-09-30
2003-09-30,0.0612,24,2001-10-31
2003-10-31,0.1372,24,2001-11-30
2003-11-30,0.1616,24,2001-12-31
2003-12-31,0.1465,24,2002-01-31
2004-01-31,0.0938,24,2002-02-28
2004-02-29,0.2054,24,2002-03-31
2004-03-31,0.1355,24,2002-04-30
2004-04-30,0.1073,24,2002-05-31
2004-05-31,0.1052,24,2002-06-30
2004-06-30,0.1618,24,2002-07-31
2004-07-31,0.1623,24,2002-08-31
2004-08-31,0.2297,24,2002-09-30
2004-09-30,0.1925,24,2002-10-31
2004-10-31,0.2209,24,2002-11-30
2004-11-30,0.2895,24,2002-12-31
2004-12-31,0.279,24,2003-01-31
2005-01-31,0.2973,24,2003-02-28
2005-02-28,0.2609,24,2003-03-31
2005-03-31,0.2489,24,2003-04-30
2005-04-30,0.2745,24,2003-05-31
2005-05-31,0.2161,24,2003-06-30
2005-06-30,0.294,24,2003-07-31
2005-07-31,0.1718,24,2003-08-31
2005-08-31,0.1587,24,2003-09-30
2005-09-30,0.0884,24,2003-10-31
2005-10-31,0.1746,24,2003-11-30
2005-11-30,0.1855,24,2003-12-31
2005-12-31,0.2411,24,2004-01-31
2006-01-31,0.2717,24,2004-02-29
2006-02-28,0.2299,24,2004-03-31
2006-03-31,0.1456,24,2004-04-30
2006-04-30,0.0741,24,2004-05-31
2006-05-31,0.1055,24,2004-06-30
2006-06-30,-0.0397,24,2004-07-31
2006-07-31,-0.0234,24,2004-08-31
2006-08-31,0.0087,24,2004-09-30
2006-09-30,0.0291,24,2004-10-31
2006-10-31,0.1204,24,2004-11-30
2006-11-30,0.2055,24,2004-12-31
2006-12-31,0.0906,24,2005-01-31
2007-01-31,0.1835,24,2005-02-28
2007-02-28,0.0225,24,2005-03-31
2007-03-31,-0.3109,24,2005-04-30
2007-04-30,-0.2786,24,2005-05-31
2007-05-31,-0.3021,24,2005-06-30
2007-06-30,-0.3042,24,2005-07-31
2007-07-31,-0.2793,24,2005-08-31
2007-08-31,-0.2282,24,2005-09-30
2007-09-30,-0.2672,24,2005-10-31
2007-10-31,-0.1561,24,2005-11-30
2007-11-30,-0.0666,24,2005-12-31
2007-12-31,0.1351,24,2006-01-31
2008-01-31,0.2289,24,2006-02-28
2008-02-29,0.2548,24,2006-03-31
2008-03-31,0.0498,24,2006-04-30
2008-04-30,0.0779,24,2006-05-31
2008-05-31,0.2172,24,2006-06-30
2008-06-30,0.2357,24,2006-07-31
2008-07-31,0.1811,24,2006-08-31
2008-08-31,0.2395,24,2006-09-30
2008-09-30,0.3039,24,2006-10-31
2008-10-31,0.3269,24,2006-11-30
2008-11-30,0.2546,24,2006-12-31
2008-12-31,0.31,24,2007-01-31
2009-01-31,0.387,24,2007-02-28
2009-02-28,0.2182,24,2007-03-31
2009-03-31,0.0346,24,2007-04-30
2009-04-30,-0.0641,24,2007-05-31
2009-05-31,-0.0803,24,2007-06-30
2009-06-30,-0.1155,24,2007-07-31
2009-07-31,-0.1759,24,2007-08-31
2009-08-31,-0.3278,24,2007-09-30
2009-09-30,-0.4263,24,2007-10-31
2009-10-31,-0.4243,24,2007-11-30
2009-11-30,-0.4391,24,2007-12-31
2009-12-31,-0.4185,24,2008-01-31
2010-01-31,-0.3306,24,2008-02-29
2010-02-28,-0.1992,24,2008-03-31
2010-03-31,-0.1191,24,2008-04-30
2010-04-30,-0.2314,24,2008-05-31
2010-05-31,-0.2688,24,2008-06-30
2010-06-30,-0.1276,24,2008-07-31
2010-07-31,-0.1633,24,2008-08-31
2010-08-31,-0.0974,24,2008-09-30
2010-09-30,-0.1126,24,2008-10-31
2010-10-31,-0.1479,24,2008-11-30
2010-11-30,-0.1396,24,2008-12-31
2010-12-31,-0.231,24,2009-01-31
2011-01-31,-0.384,24,2009-02-28
