date,signal_value,threshold,position,spy_return,strategy_return,cumulative_return
1993-02-28,,0.323,0.0,0.010669,0.0,0.0
1993-03-31,,0.323,0.0,0.022399,0.0,0.0
1993-04-30,,0.323,0.0,-0.025588,-0.0,0.0
1993-05-31,,0.323,0.0,0.02697,0.0,0.0
1993-06-30,,0.323,0.0,0.003607,0.0,0.0
1993-07-31,,0.323,0.0,-0.004854,-0.0,0.0
1993-08-31,,0.323,0.0,0.038327,0.0,0.0
1993-09-30,,0.323,0.0,-0.007276,-0.0,0.0
1993-10-31,,0.323,0.0,0.019727,0.0,0.0
1993-11-30,,0.323,0.0,-0.010673,-0.0,0.0
1993-12-31,,0.323,0.0,0.012277,0.0,0.0
1994-01-31,,0.323,0.0,0.034876,0.0,0.0
1994-02-28,-2.5899,0.323,0.0,-0.029164,-0.0,0.0
1994-03-31,-3.0936,0.323,0.0,-0.041901,-0.0,0.0
1994-04-30,-0.9989,0.323,0.0,0.011212,0.0,0.0
1994-05-31,0.222,0.323,0.0,0.015939,0.0,0.0
1994-06-30,3.7121,0.323,1.0,-0.022915,-0.022915,-0.022915
1994-07-31,4.2677,0.323,1.0,0.032327,0.032327,0.008671
1994-08-31,3.8839,0.323,1.0,0.038121,0.038121,0.047123
1994-09-30,1.445,0.323,1.0,-0.025255,-0.025255,0.020678
1994-10-31,0.0187,0.323,0.0,0.028427,0.0,0.020678
1994-11-30,0.2396,0.323,0.0,-0.039816,-0.0,0.020678
1994-12-31,0.8451,0.323,1.0,0.007282,0.007282,0.02811
1995-01-31,-1.2271,0.323,0.0,0.033608,0.0,0.02811
1995-02-28,-3.3594,0.323,0.0,0.04081,0.0,0.02811
1995-03-31,-4.4241,0.323,0.0,0.027848,0.0,0.02811
1995-04-30,-3.6592,0.323,0.0,0.029622,0.0,0.02811
1995-05-31,-1.0235,0.323,0.0,0.039672,0.0,0.02811
1995-06-30,0.164,0.323,0.0,0.02023,0.0,0.02811
1995-07-31,2.8946,0.323,1.0,0.032166,0.032166,0.06118
1995-08-31,2.9898,0.323,1.0,0.004452,0.004452,0.065905
1995-09-30,3.6294,0.323,1.0,0.042376,0.042376,0.111074
1995-10-31,2.6706,0.323,1.0,-0.002939,-0.002939,0.107808
1995-11-30,1.1929,0.323,1.0,0.044481,0.044481,0.157085
1995-12-31,-0.499,0.323,0.0,0.015733,0.0,0.157085
1996-01-31,-2.3098,0.323,0.0,0.035578,0.0,0.157085
1996-02-29,-2.952,0.323,0.0,0.00319,0.0,0.157085
1996-03-31,-3.1375,0.323,0.0,0.017218,0.0,0.157085
1996-04-30,-2.1566,0.323,0.0,0.01087,0.0,0.157085
1996-05-31,-0.7401,0.323,0.0,0.0227,0.0,0.157085
1996-06-30,0.5967,0.323,1.0,0.008821,0.008821,0.167291
1996-07-31,1.2225,0.323,1.0,-0.044935,-0.044935,0.114839
1996-08-31,0.2368,0.323,0.0,0.019259,0.0,0.114839
1996-09-30,0.2439,0.323,0.0,0.055872,0.0,0.114839
1996-10-31,-0.4816,0.323,0.0,0.032332,0.0,0.114839
1996-11-30,-0.3027,0.323,0.0,0.073004,0.0,0.114839
1996-12-31,-1.8691,0.323,0.0,-0.023798,-0.0,0.114839
1997-01-31,-3.0436,0.323,0.0,0.061786,0.0,0.114839
1997-02-28,-4.4832,0.323,0.0,0.009566,0.0,0.114839
1997-03-31,-5.4651,0.323,0.0,-0.044123,-0.0,0.114839
1997-04-30,-4.2119,0.323,0.0,0.062604,0.0,0.114839
1997-05-31,-0.8021,0.323,0.0,0.063207,0.0,0.114839
1997-06-30,2.4069,0.323,1.0,0.041102,0.041102,0.160661
1997-07-31,3.1466,0.323,1.0,0.079264,0.079264,0.25266
1997-08-31,1.3098,0.323,1.0,-0.051803,-0.051803,0.187768
1997-09-30,0.0921,0.323,0.0,0.04809,0.0,0.187768
1997-10-31,-0.8153,0.323,0.0,-0.024504,-0.0,0.187768
1997-11-30,-0.9967,0.323,0.0,0.038697,0.0,0.187768
1997-12-31,-2.4022,0.323,0.0,0.019072,0.0,0.187768
1998-01-31,-2.4556,0.323,0.0,0.012879,0.0,0.187768
1998-02-28,-2.3042,0.323,0.0,0.069294,0.0,0.187768
1998-03-31,-0.6046,0.323,0.0,0.048784,0.0,0.187768
1998-04-30,0.7125,0.323,1.0,0.012791,0.012791,0.202961
