lag,ccf,lower_ci,upper_ci,significant,arima_order,n_obs
-20,-0.0042,-0.0218,0.0218,False,AR(1),8063
-19,-0.0018,-0.0218,0.0218,False,AR(1),8064
-18,-0.0168,-0.0218,0.0218,False,AR(1),8065
-17,-0.0069,-0.0218,0.0218,False,AR(1),8066
-16,0.0351,-0.0218,0.0218,True,AR(1),8067
-15,-0.0305,-0.0218,0.0218,True,AR(1),8068
-14,-0.0136,-0.0218,0.0218,False,AR(1),8069
-13,0.0144,-0.0218,0.0218,False,AR(1),8070
-12,0.0134,-0.0218,0.0218,False,AR(1),8071
-11,0.0105,-0.0218,0.0218,False,AR(1),8072
-10,0.0026,-0.0218,0.0218,False,AR(1),8073
-9,0.0249,-0.0218,0.0218,True,AR(1),8074
-8,-0.0431,-0.0218,0.0218,True,AR(1),8075
-7,0.0253,-0.0218,0.0218,True,AR(1),8076
-6,-0.0278,-0.0218,0.0218,True,AR(1),8077
-5,-0.0058,-0.0218,0.0218,False,AR(1),8078
-4,-0.0038,-0.0218,0.0218,False,AR(1),8079
-3,-0.0164,-0.0218,0.0218,False,AR(1),8080
-2,-0.0198,-0.0218,0.0218,False,AR(1),8081
-1,-0.0501,-0.0218,0.0218,True,AR(1),8082
0,0.7088,-0.0218,0.0218,True,AR(1),8083
1,0.0033,-0.0218,0.0218,False,AR(1),8082
2,-0.0044,-0.0218,0.0218,False,AR(1),8081
3,-0.0119,-0.0218,0.0218,False,AR(1),8080
4,-0.025,-0.0218,0.0218,True,AR(1),8079
5,-0.0125,-0.0218,0.0218,False,AR(1),8078
6,-0.023,-0.0218,0.0218,True,AR(1),8077
7,0.0086,-0.0218,0.0218,False,AR(1),8076
8,-0.023,-0.0218,0.0218,True,AR(1),8075
9,0.0179,-0.0218,0.0218,False,AR(1),8074
10,-0.0028,-0.0218,0.0218,False,AR(1),8073
11,0.0008,-0.0218,0.0218,False,AR(1),8072
12,0.0424,-0.0218,0.0218,True,AR(1),8071
13,0.0015,-0.0218,0.0218,False,AR(1),8070
14,-0.0034,-0.0218,0.0218,False,AR(1),8069
15,-0.0301,-0.0218,0.0218,True,AR(1),8068
16,0.029,-0.0218,0.0218,True,AR(1),8067
17,-0.0094,-0.0218,0.0218,False,AR(1),8066
18,0.0021,-0.0218,0.0218,False,AR(1),8065
19,-0.0046,-0.0218,0.0218,False,AR(1),8064
20,-0.0002,-0.0218,0.0218,False,AR(1),8063
