pair_name,horizon_days,metric,value,p_value,n_obs
rs_mom1m__spy_fwd_1d,1,pearson,0.0092,0.4091,8063
rs_mom1m__spy_fwd_1d,1,spearman,0.0024,0.8302,8063
rs_mom1m__spy_fwd_1d,1,kendall,0.0016,0.8293,8063
rs_mom1m__spy_fwd_1d,1,distance,0.0877,,2000
rs_mom1m__spy_fwd_5d,5,pearson,0.0096,0.3873,8059
rs_mom1m__spy_fwd_5d,5,spearman,0.0001,0.992,8059
rs_mom1m__spy_fwd_5d,5,kendall,0.0002,0.9791,8059
rs_mom1m__spy_fwd_5d,5,distance,0.0887,,2000
rs_mom1m__spy_fwd_21d,21,pearson,0.0503,0.0,8043
rs_mom1m__spy_fwd_21d,21,spearman,0.0239,0.0319,8043
rs_mom1m__spy_fwd_21d,21,kendall,0.0162,0.0292,8043
rs_mom1m__spy_fwd_21d,21,distance,0.0787,,2000
rs_mom1m__spy_fwd_63d,63,pearson,0.068,0.0,8001
rs_mom1m__spy_fwd_63d,63,spearman,0.0775,0.0,8001
rs_mom1m__spy_fwd_63d,63,kendall,0.0523,0.0,8001
rs_mom1m__spy_fwd_63d,63,distance,0.097,,2000
rs_mom1m__spy_fwd_126d,126,pearson,0.0767,0.0,7938
rs_mom1m__spy_fwd_126d,126,spearman,0.0906,0.0,7938
rs_mom1m__spy_fwd_126d,126,kendall,0.0613,0.0,7938
rs_mom1m__spy_fwd_126d,126,distance,0.0873,,2000
rs_mom1m__spy_fwd_252d,252,pearson,0.0543,0.0,7812
rs_mom1m__spy_fwd_252d,252,spearman,0.0716,0.0,7812
rs_mom1m__spy_fwd_252d,252,kendall,0.0482,0.0,7812
rs_mom1m__spy_fwd_252d,252,distance,0.1006,,2000
rs_mom3m__spy_fwd_1d,1,pearson,0.0133,0.2329,8021
rs_mom3m__spy_fwd_1d,1,spearman,0.0143,0.2006,8021
rs_mom3m__spy_fwd_1d,1,kendall,0.0095,0.1999,8021
rs_mom3m__spy_fwd_1d,1,distance,0.0941,,2000
rs_mom3m__spy_fwd_5d,5,pearson,0.0245,0.028,8017
rs_mom3m__spy_fwd_5d,5,spearman,0.0179,0.1093,8017
rs_mom3m__spy_fwd_5d,5,kendall,0.0119,0.1113,8017
rs_mom3m__spy_fwd_5d,5,distance,0.0831,,2000
