horizon,coef,se,ci_lower,ci_upper,p_value,direction
1,1.2e-05,1e-05,-8e-06,3.2e-05,0.2451,fwd
5,4.5e-05,4.8e-05,-4.9e-05,0.000139,0.3461,fwd
21,0.000243,0.000146,-4.3e-05,0.00053,0.0963,fwd
63,0.000585,0.000371,-0.000143,0.001313,0.1154,fwd
126,0.000898,0.000564,-0.000208,0.002003,0.1115,fwd
1,-0.145914,0.044392,-0.232921,-0.058906,0.001,rev
5,-0.00941,0.02956,-0.067347,0.048526,0.7502,rev
21,-0.016432,0.030811,-0.07682,0.043956,0.5938,rev
63,-0.018632,0.027279,-0.072098,0.034833,0.4946,rev
126,0.013421,0.027788,-0.041042,0.067883,0.6291,rev
