signal,threshold,strategy,signal_column,lookback,lead_days,oos_sharpe,max_drawdown,valid,lead_source
rs_mom1m,T1_fixed_p25,P1_long_cash_pro,sox_spy_ratio_mom_1m_pct,LB_NA,1,0.7793,-0.1705,True,pipeline
rs_mom1m,T1_fixed_p25,P1_long_cash_counter,sox_spy_ratio_mom_1m_pct,LB_NA,1,0.3369,-0.1812,True,pipeline
rs_mom1m,T1_fixed_p25,P3_long_short_pro,sox_spy_ratio_mom_1m_pct,LB_NA,1,0.3949,-0.2715,True,pipeline
rs_mom1m,T1_fixed_p50,P1_long_cash_pro,sox_spy_ratio_mom_1m_pct,LB_NA,1,1.0041,-0.1047,True,pipeline
rs_mom1m,T1_fixed_p50,P3_long_short_pro,sox_spy_ratio_mom_1m_pct,LB_NA,1,0.4177,-0.2125,True,pipeline
rs_mom1m,T1_fixed_p75,P1_long_cash_pro,sox_spy_ratio_mom_1m_pct,LB_NA,1,0.9162,-0.1027,True,pipeline
rs_mom1m,T1_fixed_p75,P1_long_cash_counter,sox_spy_ratio_mom_1m_pct,LB_NA,1,0.4517,-0.2611,True,pipeline
rs_mom1m,T4_zero,P1_long_cash_pro,sox_spy_ratio_mom_1m_pct,LB_NA,1,1.0896,-0.1173,True,pipeline
rs_mom1m,T4_zero,P3_long_short_pro,sox_spy_ratio_mom_1m_pct,LB_NA,1,0.5505,-0.2243,True,pipeline
rs_mom1m,T2_roll_p25,P1_long_cash_pro,sox_spy_ratio_mom_1m_pct,LB63,1,0.6277,-0.2001,True,pipeline
rs_mom1m,T2_roll_p25,P1_long_cash_counter,sox_spy_ratio_mom_1m_pct,LB63,1,0.5269,-0.1204,True,pipeline
rs_mom1m,T2_roll_p25,P2_signal_strength_pro,sox_spy_ratio_mom_1m_pct,LB63,1,0.8593,-0.1138,True,pipeline
rs_mom1m,T2_roll_p25,P2_signal_strength_counter,sox_spy_ratio_mom_1m_pct,LB63,1,0.5673,-0.1735,True,pipeline
rs_mom1m,T2_roll_p75,P1_long_cash_pro,sox_spy_ratio_mom_1m_pct,LB63,1,0.9293,-0.0796,True,pipeline
rs_mom1m,T2_roll_p75,P1_long_cash_counter,sox_spy_ratio_mom_1m_pct,LB63,1,0.41,-0.2943,True,pipeline
rs_mom1m,T2_roll_p75,P2_signal_strength_pro,sox_spy_ratio_mom_1m_pct,LB63,1,0.8593,-0.1138,True,pipeline
rs_mom1m,T2_roll_p75,P2_signal_strength_counter,sox_spy_ratio_mom_1m_pct,LB63,1,0.5673,-0.1735,True,pipeline
rs_mom1m,T3_zscore_1.0,P1_long_cash_pro,sox_spy_ratio_mom_1m_pct,LB63,1,0.4182,-0.1044,True,pipeline
rs_mom1m,T3_zscore_1.0,P1_long_cash_counter,sox_spy_ratio_mom_1m_pct,LB63,1,0.7069,-0.2063,True,pipeline
rs_mom1m,T3_zscore_1.0,P2_signal_strength_pro,sox_spy_ratio_mom_1m_pct,LB63,1,0.8593,-0.1138,True,pipeline
rs_mom1m,T3_zscore_1.0,P2_signal_strength_counter,sox_spy_ratio_mom_1m_pct,LB63,1,0.5673,-0.1735,True,pipeline
rs_mom1m,T3_zscore_1.0,P3_long_short_counter,sox_spy_ratio_mom_1m_pct,LB63,1,0.4571,-0.2,True,pipeline
rs_mom1m,T3_zscore_neg_1.0,P1_long_cash_counter,sox_spy_ratio_mom_1m_pct,LB63,1,0.7845,-0.2042,True,pipeline
rs_mom1m,T3_zscore_neg_1.0,P2_signal_strength_pro,sox_spy_ratio_mom_1m_pct,LB63,1,0.8593,-0.1138,True,pipeline
rs_mom1m,T3_zscore_neg_1.0,P2_signal_strength_counter,sox_spy_ratio_mom_1m_pct,LB63,1,0.5673,-0.1735,True,pipeline
rs_mom1m,T3_zscore_neg_1.0,P3_long_short_counter,sox_spy_ratio_mom_1m_pct,LB63,1,0.509,-0.2274,True,pipeline
rs_mom1m,T3_zscore_1.5,P1_long_cash_pro,sox_spy_ratio_mom_1m_pct,LB63,1,0.3359,-0.0907,True,pipeline
rs_mom1m,T3_zscore_1.5,P1_long_cash_counter,sox_spy_ratio_mom_1m_pct,LB63,1,0.7499,-0.2619,True,pipeline
rs_mom1m,T3_zscore_1.5,P2_signal_strength_pro,sox_spy_ratio_mom_1m_pct,LB63,1,0.8593,-0.1138,True,pipeline
rs_mom1m,T3_zscore_1.5,P2_signal_strength_counter,sox_spy_ratio_mom_1m_pct,LB63,1,0.5673,-0.1735,True,pipeline
rs_mom1m,T3_zscore_1.5,P3_long_short_counter,sox_spy_ratio_mom_1m_pct,LB63,1,0.6003,-0.2897,True,pipeline
rs_mom1m,T3_zscore_neg_1.5,P1_long_cash_pro,sox_spy_ratio_mom_1m_pct,LB63,1,0.726,-0.0982,True,pipeline
rs_mom1m,T3_zscore_neg_1.5,P1_long_cash_counter,sox_spy_ratio_mom_1m_pct,LB63,1,0.6144,-0.3143,True,pipeline
rs_mom1m,T3_zscore_neg_1.5,P2_signal_strength_pro,sox_spy_ratio_mom_1m_pct,LB63,1,0.8593,-0.1138,True,pipeline
rs_mom1m,T3_zscore_neg_1.5,P2_signal_strength_counter,sox_spy_ratio_mom_1m_pct,LB63,1,0.5673,-0.1735,True,pipeline
rs_mom1m,T3_zscore_neg_1.5,P3_long_short_counter,sox_spy_ratio_mom_1m_pct,LB63,1,0.343,-0.3785,True,pipeline
