date,signal_value,threshold,position,spy_return,strategy_return,cumulative_return
1994-05-05,,,0.0,-0.001381,-0.0,0.0
1994-05-06,,,0.0,-0.009682,-0.0,0.0
1994-05-09,,,0.0,-0.008729,-0.0,0.0
1994-05-10,,,0.0,0.007749,0.0,0.0
1994-05-11,,,0.0,-0.009087,-0.0,0.0
1994-05-12,,,0.0,0.004938,0.0,0.0
1994-05-13,,,0.0,0.0,0.0,0.0
1994-05-16,,,0.0,0.000352,0.0,0.0
1994-05-17,,,0.0,0.014737,0.0,0.0
1994-05-18,,,0.0,0.007261,0.0,0.0
1994-05-19,,,0.0,0.004806,0.0,0.0
1994-05-20,,,0.0,-0.003758,-0.0,0.0
1994-05-23,,,0.0,-0.001715,-0.0,0.0
1994-05-24,,,0.0,0.004123,0.0,0.0
1994-05-25,,,0.0,0.002737,0.0,0.0
1994-05-26,,,0.0,0.000682,0.0,0.0
1994-05-27,,,0.0,0.001023,0.0,0.0
1994-05-31,,,0.0,-0.001362,-0.0,0.0
1994-06-01,,,0.0,0.004434,0.0,0.0
1994-06-02,,,0.0,-0.001019,-0.0,0.0
1994-06-03,,,0.0,0.005779,0.0,0.0
1994-06-06,,,0.0,-0.000337,-0.0,0.0
1994-06-07,,,0.0,-0.001353,-0.0,0.0
1994-06-08,,,0.0,-0.008125,-0.0,0.0
1994-06-09,,,0.0,0.005461,0.0,0.0
1994-06-10,,,0.0,0.001698,0.0,0.0
1994-06-13,,,0.0,0.001356,0.0,0.0
1994-06-14,,,0.0,0.007783,0.0,0.0
1994-06-15,,,0.0,-0.00403,-0.0,0.0
1994-06-16,,,0.0,0.002023,0.0,0.0
1994-06-17,,,0.0,-0.005582,-0.0,0.0
1994-06-20,,,0.0,-0.008515,-0.0,0.0
1994-06-21,,,0.0,-0.008588,-0.0,0.0
1994-06-22,,,0.0,0.003812,0.0,0.0
1994-06-23,,,0.0,-0.005868,-0.0,0.0
1994-06-24,,,0.0,-0.020833,-0.0,0.0
1994-06-27,,,0.0,0.017376,0.0,0.0
1994-06-28,,,0.0,-0.00488,-0.0,0.0
1994-06-29,,,0.0,0.003152,0.0,0.0
1994-06-30,,,0.0,-0.006285,-0.0,0.0
1994-07-01,,,0.0,0.002108,0.0,0.0
1994-07-05,,,0.0,0.005259,0.0,0.0
1994-07-06,,,0.0,-0.001395,-0.0,0.0
1994-07-07,,,0.0,0.004191,0.0,0.0
1994-07-08,,,0.0,-0.000347,-0.0,0.0
1994-07-11,,,0.0,-0.003481,-0.0,0.0
1994-07-12,,,0.0,0.001397,0.0,0.0
1994-07-13,,,0.0,0.001744,0.0,0.0
1994-07-14,,,0.0,0.01079,0.0,0.0
1994-07-15,,,0.0,0.000344,0.0,0.0
1994-07-18,,,0.0,0.001721,0.0,0.0
1994-07-19,,,0.0,-0.002062,-0.0,0.0
1994-07-20,,,0.0,-0.004477,-0.0,0.0
1994-07-21,,,0.0,0.002075,0.0,0.0
1994-07-22,,,0.0,0.001726,0.0,0.0
1994-07-25,,,0.0,0.001379,0.0,0.0
1994-07-26,,,0.0,-0.001033,-0.0,0.0
1994-07-27,,,0.0,0.0,0.0,0.0
1994-07-28,,,0.0,0.002067,0.0,0.0
1994-07-29,,,0.0,0.009969,0.0,0.0
1994-08-01,,,0.0,0.004765,0.0,0.0
1994-08-02,,,0.0,0.001355,0.0,0.0
1994-08-03,,,0.0,0.000338,0.0,0.0
1994-08-04,,,0.0,-0.005748,-0.0,0.0
1994-08-05,,,0.0,-0.003402,-0.0,0.0
1994-08-08,,,0.0,0.00239,0.0,0.0
1994-08-09,,,0.0,0.001702,0.0,0.0
1994-08-10,,,0.0,0.003739,0.0,0.0
1994-08-11,,,0.0,-0.003725,-0.0,0.0
1994-08-12,,,0.0,0.007818,0.0,0.0
1994-08-15,,,0.0,-0.000337,-0.0,0.0
1994-08-16,,,0.0,0.007085,0.0,0.0
1994-08-17,,,0.0,-0.00067,-0.0,0.0
1994-08-18,,,0.0,-0.003353,-0.0,0.0
1994-08-19,,,0.0,-0.000672,-0.0,0.0
1994-08-22,,,0.0,-0.00101,-0.0,0.0
1994-08-23,,,0.0,0.005727,0.0,0.0
1994-08-24,,,0.0,0.01072,0.0,0.0
1994-08-25,,,0.0,-0.002651,-0.0,0.0
1994-08-26,,,0.0,0.01429,0.0,0.0
1994-08-29,,,0.0,-0.000655,-0.0,0.0
1994-08-30,,,0.0,0.002623,0.0,0.0
1994-08-31,,,0.0,-0.002616,-0.0,0.0
1994-09-01,,,0.0,-0.003279,-0.0,0.0
1994-09-02,,,0.0,-0.004276,-0.0,0.0
1994-09-06,,,0.0,0.00033,0.0,0.0
1994-09-07,,,0.0,-0.000991,-0.0,0.0
1994-09-08,,,0.0,0.004959,0.0,0.0
1994-09-09,,,0.0,-0.010526,-0.0,0.0
1994-09-12,,,0.0,-0.002992,-0.0,0.0
1994-09-13,,,0.0,0.003001,0.0,0.0
1994-09-14,,,0.0,0.000997,0.0,0.0
1994-09-15,,,0.0,0.01262,0.0,0.0
1994-09-16,,,0.0,-0.007116,-0.0,0.0
1994-09-19,,,0.0,0.000997,0.0,0.0
1994-09-20,,,0.0,-0.018925,-0.0,0.0
1994-09-21,,,0.0,0.0,0.0,0.0
1994-09-22,,,0.0,-0.002369,-0.0,0.0
1994-09-23,,,0.0,-0.003392,-0.0,0.0
1994-09-26,,,0.0,0.005105,0.0,0.0
1994-09-27,,,0.0,-0.000677,-0.0,0.0
1994-09-28,,,0.0,0.007794,0.0,0.0
