lag,ccf,upper_ci,lower_ci,significant
-6,0.10963092206953744,0.10002083116364645,-0.10002083116364645,True
-5,0.10487948789686283,0.09989084952177461,-0.09989084952177461,True
-4,-0.03298346322544743,0.09976137331762037,-0.09976137331762037,False
-3,-0.1291053529604106,0.09963239928396839,-0.09963239928396839,True
-2,-0.21154158559462913,0.09963239928396839,-0.09963239928396839,True
-1,-0.2425809645998799,0.09963239928396839,-0.09963239928396839,True
0,-0.13214582949394826,0.09963239928396839,-0.09963239928396839,True
1,-0.05027784955518408,0.09976137331762037,-0.09976137331762037,False
2,-0.009742308365923618,0.09989084952177461,-0.09989084952177461,False
3,-0.039236547812105727,0.10002083116364645,-0.10002083116364645,False
4,-0.03775829272337941,0.10015132154028883,-0.10015132154028883,False
5,-0.009159951029665074,0.10028232397894356,-0.10028232397894356,False
6,-0.046325035267253185,0.10041384183739775,-0.10041384183739775,False
