signal,signal_column,threshold,strategy,lead_months,direction,is_sharpe,oos_sharpe,oos_sortino,oos_calmar,oos_ann_return,oos_ann_vol,max_drawdown,win_rate,annual_turnover,is_n,oos_n,valid
level,invsales_level,T_roll_p25,P1_long_cash,0,countercyclical,0.6215636704173202,0.6215636704173202,0.5345831776352294,0.408050044567237,0.05299086585968116,0.08959382579393287,-0.12986364433774622,0.21428571428571427,1.469387755102041,98,98,True
level,invsales_level,T_roll_p25,P1_long_cash,1,countercyclical,0.18379169767750433,0.18379169767750433,0.10228911369634376,0.05956793270906589,0.013661853256774492,0.10276543395763926,-0.2293491251996267,0.20408163265306123,1.469387755102041,98,98,True
level,invsales_level,T_roll_p25,P1_long_cash,2,countercyclical,0.35179473804926953,0.35179473804926953,0.2596734910992498,0.17140414026677595,0.0342488085429451,0.11418926645947218,-0.19981319289977328,0.20408163265306123,1.469387755102041,98,98,True
level,invsales_level,T_roll_p25,P1_long_cash,3,countercyclical,0.30646725281370985,0.30646725281370985,0.2433727730905481,0.14857257159742573,0.02968675990821179,0.1180967336784011,-0.19981319289977317,0.20408163265306123,1.469387755102041,98,98,True
level,invsales_level,T_roll_p25,P1_long_cash,6,countercyclical,0.4192058032301727,0.4192058032301727,0.3996568543259419,0.17376779540487408,0.04157774301872452,0.11213877635927852,-0.2392718565707158,0.21428571428571427,1.469387755102041,98,98,True
level,invsales_level,T_roll_p25,P1_long_cash,9,countercyclical,0.42954906961662187,0.42954906961662187,0.4316870648945718,0.1734532731462902,0.04150248669398038,0.10825132885396048,-0.23927185657071603,0.20408163265306123,1.469387755102041,98,98,True
level,invsales_level,T_roll_p25,P1_long_cash,12,countercyclical,0.3226179178793044,0.3226179178793044,0.2950554315679892,0.12229582911714149,0.02926195008371346,0.10701575767802539,-0.23927185657071592,0.20408163265306123,1.469387755102041,98,98,True
level,invsales_level,T_roll_p25,P1_long_cash,0,procyclical,0.7174848749489823,0.7174848749489823,0.8579813562180223,0.6853140118538261,0.09440407048487964,0.13970996261326454,-0.13775301373090199,0.5,0.489795918367347,98,98,True
level,invsales_level,T_roll_p25,P1_long_cash,1,procyclical,0.9474467273804605,0.9474467273804605,1.3308318245225064,0.9115739232098232,0.12335542671558608,0.13248265707867088,-0.13532136404388184,0.5102040816326531,0.489795918367347,98,98,True
level,invsales_level,T_roll_p25,P1_long_cash,2,procyclical,1.0322012361191948,1.0322012361191948,1.4068877059885492,0.9245291746208552,0.12510854900805835,0.1218733253978159,-0.13532136404388184,0.5204081632653061,0.489795918367347,98,98,True
level,invsales_level,T_roll_p25,P1_long_cash,3,procyclical,0.9737430023595897,0.9737430023595897,1.2474804494501053,0.8456817409900815,0.11443880673778262,0.11897340929073805,-0.13532136404388184,0.5102040816326531,0.489795918367347,98,98,True
level,invsales_level,T_roll_p25,P1_long_cash,6,procyclical,0.7362971150576963,0.7362971150576963,0.858263676075371,0.4676350421692072,0.0909441532796984,0.1300528111496934,-0.1944767715820397,0.4897959183673469,0.489795918367347,98,98,True
level,invsales_level,T_roll_p25,P1_long_cash,9,procyclical,0.9053282985226274,0.9053282985226274,0.9961317921322748,0.5752328007857768,0.11186941800491246,0.1264183715880506,-0.1944767715820397,0.5102040816326531,0.489795918367347,98,98,True
level,invsales_level,T_roll_p25,P1_long_cash,12,procyclical,0.9297658450768906,0.9297658450768906,1.0765455197954539,0.6082915823959224,0.11829858312488928,0.12980718858089157,-0.1944767715820397,0.5102040816326531,0.489795918367347,98,98,True
level,invsales_level,T_roll_p50,P1_long_cash,0,countercyclical,0.6531844944665722,0.6531844944665722,0.7937170788889685,0.3172551269296127,0.07591022322702656,0.12399162547587492,-0.23927185657071592,0.3979591836734694,1.469387755102041,98,98,True
level,invsales_level,T_roll_p50,P1_long_cash,1,countercyclical,0.26943951081681083,0.26943951081681083,0.24300316674914696,0.11343870908616276,0.027409744886133236,0.13360465942752994,-0.24162602965901236,0.3673469387755102,1.469387755102041,98,98,True
level,invsales_level,T_roll_p50,P1_long_cash,2,countercyclical,0.5291826159547043,0.5291826159547043,0.6080685104143074,0.28345775066630974,0.067823462261287,0.14362466897319076,-0.2392718565707158,0.3877551020408163,1.469387755102041,98,98,True
level,invsales_level,T_roll_p50,P1_long_cash,3,countercyclical,0.49763638266560534,0.49763638266560534,0.5474962344394338,0.25808715981492797,0.06175299388598088,0.14029155246467157,-0.23927185657071592,0.3877551020408163,1.469387755102041,98,98,True
level,invsales_level,T_roll_p50,P1_long_cash,6,countercyclical,0.5253582807754742,0.5253582807754742,0.5670720779505116,0.2820875735956192,0.0674956174497523,0.14439963361236588,-0.23927185657071603,0.40816326530612246,1.469387755102041,98,98,True
level,invsales_level,T_roll_p50,P1_long_cash,9,countercyclical,0.47630868158669404,0.47630868158669404,0.574434532516617,0.2405415697414533,0.0621014137004976,0.15032814647228307,-0.2581733118614278,0.3877551020408163,1.469387755102041,98,98,True
level,invsales_level,T_roll_p50,P1_long_cash,12,countercyclical,0.610604030521498,0.610604030521498,0.7927950804152477,0.3152955290798465,0.07544134661138102,0.13399120199955888,-0.23927185657071592,0.3979591836734694,1.469387755102041,98,98,True
level,invsales_level,T_roll_p50,P1_long_cash,0,procyclical,0.672030808801956,0.672030808801956,0.6880577495937205,0.4613396559477757,0.07613909451190137,0.12016951817291115,-0.16503912796198128,0.3979591836734694,1.959183673469388,98,98,True
level,invsales_level,T_roll_p50,P1_long_cash,1,procyclical,1.1905127284555959,1.1905127284555959,1.7902192620780688,1.5174241138362559,0.12633844443688624,0.10490716087681297,-0.08325849265534957,0.41836734693877553,1.959183673469388,98,98,True
level,invsales_level,T_roll_p50,P1_long_cash,2,procyclical,0.8965576246879438,0.8965576246879438,1.0032890804446786,0.6300013645588531,0.08525264400161081,0.09671934728150913,-0.13532136404388173,0.40816326530612246,1.959183673469388,98,98,True
level,invsales_level,T_roll_p50,P1_long_cash,3,procyclical,1.2338229203609856,1.2338229203609856,1.342827378202859,1.373324157917777,0.12091944889652595,0.09667518282300237,-0.08804873066520802,0.42857142857142855,1.959183673469388,98,98,True
level,invsales_level,T_roll_p50,P1_long_cash,6,procyclical,0.7324219570829725,0.7324219570829725,0.7247865942272864,0.53183847865309,0.08034402410845343,0.11475872539277601,-0.1510684678399522,0.3877551020408163,1.959183673469388,98,98,True
level,invsales_level,T_roll_p50,P1_long_cash,9,procyclical,0.6355567026337362,0.6355567026337362,0.5801825145757604,0.3593004845417447,0.0698755982615411,0.11737059996000153,-0.1944767715820398,0.3979591836734694,1.959183673469388,98,98,True
level,invsales_level,T_roll_p50,P1_long_cash,12,procyclical,0.8997435610718827,0.8997435610718827,0.8633331468782963,0.5070253024610129,0.09860464393302504,0.11181180441073958,-0.1944767715820398,0.40816326530612246,1.959183673469388,98,98,True
level,invsales_level,T_roll_p75,P1_long_cash,0,countercyclical,0.7120612954705674,0.7120612954705674,1.0409497862998829,0.4062498131140479,0.09720414701530466,0.14553910662930786,-0.23927185657071603,0.5510204081632653,1.3469387755102042,98,98,True
level,invsales_level,T_roll_p75,P1_long_cash,1,countercyclical,0.6951364242243662,0.6951364242243662,0.9102160535876507,0.4135014697801271,0.0989392643690108,0.15307662284176346,-0.23927185657071592,0.5510204081632653,1.3469387755102042,98,98,True
level,invsales_level,T_roll_p75,P1_long_cash,2,countercyclical,0.7417187307272727,0.7417187307272727,1.0225318599920505,0.46194988767829154,0.11053160726741851,0.1588501083519418,-0.23927185657071592,0.5510204081632653,1.3469387755102042,98,98,True
level,invsales_level,T_roll_p75,P1_long_cash,3,countercyclical,0.7526295408720152,0.7526295408720152,1.0353161979305754,0.46408463826506524,0.11104239300363128,0.1567328160486409,-0.23927185657071592,0.5714285714285714,1.2244897959183674,98,98,True
level,invsales_level,T_roll_p75,P1_long_cash,6,countercyclical,0.9357080205758401,0.9357080205758401,1.2474713553263639,0.5958399339469553,0.14256772721446076,0.15619662773154877,-0.23927185657071592,0.6020408163265306,1.2244897959183674,98,98,True
level,invsales_level,T_roll_p75,P1_long_cash,9,countercyclical,0.8050401785281046,0.8050401785281046,1.0927962064892567,0.5048110299960411,0.12078707236452813,0.15765678288071025,-0.23927185657071592,0.5612244897959183,0.979591836734694,98,98,True
level,invsales_level,T_roll_p75,P1_long_cash,12,countercyclical,0.700454351356751,0.700454351356751,0.9861028154129009,0.4289899333906441,0.10264521781252722,0.15764894380748934,-0.23927185657071603,0.5306122448979592,0.979591836734694,98,98,True
