trade_date,side,instrument,quantity_pct,commission_bps,signal_value,threshold_value,position_before,position_after,reason
1995-03-31,BUY,SPY,100.0,5,1.68,1.67,0.0,1.0,level procyclical rule crossed T_roll_p50
1996-06-30,SELL,SPY,100.0,5,1.67,1.68,1.0,0.0,level procyclical rule crossed T_roll_p50
1996-09-30,BUY,SPY,100.0,5,1.67,1.67,0.0,1.0,level procyclical rule crossed T_roll_p50
1997-01-31,SELL,SPY,100.0,5,1.66,1.67,1.0,0.0,level procyclical rule crossed T_roll_p50
2001-03-31,BUY,SPY,100.0,5,1.63,1.625,0.0,1.0,level procyclical rule crossed T_roll_p50
2001-04-30,SELL,SPY,100.0,5,1.61,1.62,1.0,0.0,level procyclical rule crossed T_roll_p50
2001-12-31,BUY,SPY,100.0,5,1.64,1.61,0.0,1.0,level procyclical rule crossed T_roll_p50
2002-01-31,SELL,SPY,100.0,5,1.47,1.61,1.0,0.0,level procyclical rule crossed T_roll_p50
2003-05-31,BUY,SPY,100.0,5,1.59,1.59,0.0,1.0,level procyclical rule crossed T_roll_p50
2003-07-31,SELL,SPY,100.0,5,1.58,1.59,1.0,0.0,level procyclical rule crossed T_roll_p50
2004-09-30,BUY,SPY,100.0,5,1.58,1.58,0.0,1.0,level procyclical rule crossed T_roll_p50
2004-12-31,SELL,SPY,100.0,5,1.55,1.5750000000000002,1.0,0.0,level procyclical rule crossed T_roll_p50
2005-04-30,BUY,SPY,100.0,5,1.56,1.56,0.0,1.0,level procyclical rule crossed T_roll_p50
2005-05-31,SELL,SPY,100.0,5,1.54,1.56,1.0,0.0,level procyclical rule crossed T_roll_p50
2008-05-31,BUY,SPY,100.0,5,1.5,1.5,0.0,1.0,level procyclical rule crossed T_roll_p50
2008-06-30,SELL,SPY,100.0,5,1.48,1.5,1.0,0.0,level procyclical rule crossed T_roll_p50
2008-12-31,BUY,SPY,100.0,5,1.51,1.495,0.0,1.0,level procyclical rule crossed T_roll_p50
2009-09-30,SELL,SPY,100.0,5,1.45,1.49,1.0,0.0,level procyclical rule crossed T_roll_p50
2012-09-30,BUY,SPY,100.0,5,1.4,1.4,0.0,1.0,level procyclical rule crossed T_roll_p50
2012-11-30,SELL,SPY,100.0,5,1.39,1.4,1.0,0.0,level procyclical rule crossed T_roll_p50
2013-03-31,BUY,SPY,100.0,5,1.39,1.39,0.0,1.0,level procyclical rule crossed T_roll_p50
2013-05-31,SELL,SPY,100.0,5,1.38,1.39,1.0,0.0,level procyclical rule crossed T_roll_p50
2013-06-30,BUY,SPY,100.0,5,1.39,1.39,0.0,1.0,level procyclical rule crossed T_roll_p50
2018-02-28,SELL,SPY,100.0,5,1.44,1.45,1.0,0.0,level procyclical rule crossed T_roll_p50
2018-04-30,BUY,SPY,100.0,5,1.45,1.45,0.0,1.0,level procyclical rule crossed T_roll_p50
2018-08-31,SELL,SPY,100.0,5,1.44,1.45,1.0,0.0,level procyclical rule crossed T_roll_p50
2018-09-30,BUY,SPY,100.0,5,1.45,1.45,0.0,1.0,level procyclical rule crossed T_roll_p50
2018-10-31,SELL,SPY,100.0,5,1.44,1.45,1.0,0.0,level procyclical rule crossed T_roll_p50
2018-11-30,BUY,SPY,100.0,5,1.45,1.45,0.0,1.0,level procyclical rule crossed T_roll_p50
2019-02-28,SELL,SPY,100.0,5,1.44,1.45,1.0,0.0,level procyclical rule crossed T_roll_p50
2019-03-31,BUY,SPY,100.0,5,1.49,1.45,0.0,1.0,level procyclical rule crossed T_roll_p50
2019-11-30,SELL,SPY,100.0,5,1.45,1.46,1.0,0.0,level procyclical rule crossed T_roll_p50
2019-12-31,BUY,SPY,100.0,5,1.46,1.46,0.0,1.0,level procyclical rule crossed T_roll_p50
2020-02-29,SELL,SPY,100.0,5,1.44,1.46,1.0,0.0,level procyclical rule crossed T_roll_p50
2020-06-30,BUY,SPY,100.0,5,1.54,1.4649999999999999,0.0,1.0,level procyclical rule crossed T_roll_p50
2020-08-31,SELL,SPY,100.0,5,1.33,1.47,1.0,0.0,level procyclical rule crossed T_roll_p50
2023-03-31,BUY,SPY,100.0,5,1.28,1.27,0.0,1.0,level procyclical rule crossed T_roll_p50
2023-04-30,SELL,SPY,100.0,5,1.24,1.26,1.0,0.0,level procyclical rule crossed T_roll_p50
2023-06-30,BUY,SPY,100.0,5,1.28,1.26,0.0,1.0,level procyclical rule crossed T_roll_p50
