signal,horizon,method,correlation,p_value,n
spread_zscore_252d,spy_fwd_1d,Pearson,0.0206,0.3786,1822
spread_zscore_252d,spy_fwd_5d,Pearson,0.0405,0.0843,1818
spread_zscore_252d,spy_fwd_21d,Pearson,0.1157,0.0,1802
spread_zscore_252d,spy_fwd_63d,Pearson,0.2776,0.0,1760
spread_zscore_126d,spy_fwd_1d,Pearson,0.0077,0.7343,1922
spread_zscore_126d,spy_fwd_5d,Pearson,0.0289,0.2061,1918
spread_zscore_126d,spy_fwd_21d,Pearson,0.1219,0.0,1902
spread_zscore_126d,spy_fwd_63d,Pearson,0.2986,0.0,1860
spread_roc_21d,spy_fwd_1d,Pearson,-0.1382,0.0,1855
spread_roc_21d,spy_fwd_5d,Pearson,-0.2303,0.0,1851
spread_roc_21d,spy_fwd_21d,Pearson,-0.1117,0.0,1835
spread_roc_21d,spy_fwd_63d,Pearson,-0.0168,0.4772,1793
spread_roc_63d,spy_fwd_1d,Pearson,-0.089,0.0001,1813
spread_roc_63d,spy_fwd_5d,Pearson,-0.1113,0.0,1809
spread_roc_63d,spy_fwd_21d,Pearson,-0.0687,0.0036,1793
spread_roc_63d,spy_fwd_63d,Pearson,-0.1067,0.0,1751
spread_mom_21d,spy_fwd_1d,Pearson,-0.0227,0.3096,2000
spread_mom_21d,spy_fwd_5d,Pearson,-0.0571,0.0107,1996
spread_mom_21d,spy_fwd_21d,Pearson,-0.0443,0.0485,1980
spread_mom_21d,spy_fwd_63d,Pearson,0.0373,0.1011,1938
spread_mom_63d,spy_fwd_1d,Pearson,-0.0098,0.6632,1958
spread_mom_63d,spy_fwd_5d,Pearson,-0.0118,0.6012,1954
spread_mom_63d,spy_fwd_21d,Pearson,0.053,0.0196,1938
spread_mom_63d,spy_fwd_63d,Pearson,0.2212,0.0,1896
spread_pctrank_252d,spy_fwd_1d,Pearson,-0.0016,0.9454,1822
spread_pctrank_252d,spy_fwd_5d,Pearson,-0.0069,0.7699,1818
spread_pctrank_252d,spy_fwd_21d,Pearson,0.069,0.0034,1802
spread_pctrank_252d,spy_fwd_63d,Pearson,0.2266,0.0,1760
spread_vol_21d,spy_fwd_1d,Pearson,0.0099,0.6587,2006
spread_vol_21d,spy_fwd_5d,Pearson,0.0268,0.2299,2002
spread_vol_21d,spy_fwd_21d,Pearson,0.0929,0.0,1986
spread_vol_21d,spy_fwd_63d,Pearson,0.0842,0.0002,1944
spread_stress,spy_fwd_1d,Pearson,0.0076,0.7343,2021
spread_stress,spy_fwd_5d,Pearson,-0.0165,0.4592,2017
spread_stress,spy_fwd_21d,Pearson,0.0553,0.0134,2001
spread_stress,spy_fwd_63d,Pearson,0.1653,0.0,1959
