lag,ccf,lower_ci,upper_ci,significant,arima_order,n_obs
-12,-0.052783,-0.098743,0.098743,False,diff1,382
-11,-0.018055,-0.098743,0.098743,False,diff1,383
-10,-0.034876,-0.098743,0.098743,False,diff1,384
-9,-0.031312,-0.098743,0.098743,False,diff1,385
-8,-0.076065,-0.098743,0.098743,False,diff1,386
-7,0.012901,-0.098743,0.098743,False,diff1,387
-6,-0.050933,-0.098743,0.098743,False,diff1,388
-5,-0.105296,-0.098743,0.098743,True,diff1,389
-4,-0.050689,-0.098743,0.098743,False,diff1,390
-3,-0.079984,-0.098743,0.098743,False,diff1,391
-2,0.004277,-0.098743,0.098743,False,diff1,392
-1,0.010659,-0.098743,0.098743,False,diff1,393
0,-0.019246,-0.098743,0.098743,False,diff1,394
1,0.010659,-0.098743,0.098743,False,diff1,393
2,0.004277,-0.098743,0.098743,False,diff1,392
3,-0.079984,-0.098743,0.098743,False,diff1,391
4,-0.050689,-0.098743,0.098743,False,diff1,390
5,-0.105296,-0.098743,0.098743,True,diff1,389
6,-0.050933,-0.098743,0.098743,False,diff1,388
7,0.012901,-0.098743,0.098743,False,diff1,387
8,-0.076065,-0.098743,0.098743,False,diff1,386
9,-0.031312,-0.098743,0.098743,False,diff1,385
10,-0.034876,-0.098743,0.098743,False,diff1,384
11,-0.018055,-0.098743,0.098743,False,diff1,383
12,-0.052783,-0.098743,0.098743,False,diff1,382
