pair_name,horizon_days,metric,value,p_value,n_obs
slope_to_spy_fwd_1m,21,pearson,-0.073655,0.144467,394
slope_to_spy_fwd_1m,21,spearman,-0.085922,0.088524,394
slope_to_spy_fwd_1m,21,kendall,-0.056913,0.091978,394
slope_to_spy_fwd_1m,21,distance_proxy_abs_pearson,0.073655,0.144467,394
slope_to_spy_fwd_3m,63,pearson,-0.130075,0.009935,392
slope_to_spy_fwd_3m,63,spearman,-0.122587,0.015161,392
slope_to_spy_fwd_3m,63,kendall,-0.082619,0.014693,392
slope_to_spy_fwd_3m,63,distance_proxy_abs_pearson,0.130075,0.009935,392
slope_to_spy_fwd_6m,126,pearson,-0.132578,0.008845,389
slope_to_spy_fwd_6m,126,spearman,-0.121735,0.016297,389
slope_to_spy_fwd_6m,126,kendall,-0.081367,0.016686,389
slope_to_spy_fwd_6m,126,distance_proxy_abs_pearson,0.132578,0.008845,389
slope_to_spy_fwd_12m,252,pearson,-0.082597,0.106542,383
slope_to_spy_fwd_12m,252,spearman,-0.123038,0.015988,383
slope_to_spy_fwd_12m,252,kendall,-0.077331,0.024007,383
slope_to_spy_fwd_12m,252,distance_proxy_abs_pearson,0.082597,0.106542,383
mom_to_spy_fwd_1m,21,pearson,0.010659,0.833162,393
mom_to_spy_fwd_1m,21,spearman,0.033804,0.504004,393
mom_to_spy_fwd_1m,21,kendall,0.020742,0.539856,393
mom_to_spy_fwd_1m,21,distance_proxy_abs_pearson,0.010659,0.833162,393
mom_to_spy_fwd_3m,63,pearson,-0.033365,0.510647,391
mom_to_spy_fwd_3m,63,spearman,-0.038205,0.451269,391
mom_to_spy_fwd_3m,63,kendall,-0.026487,0.434928,391
mom_to_spy_fwd_3m,63,distance_proxy_abs_pearson,0.033365,0.510647,391
mom_to_spy_fwd_6m,126,pearson,-0.099602,0.04994,388
mom_to_spy_fwd_6m,126,spearman,-0.040174,0.430051,388
mom_to_spy_fwd_6m,126,kendall,-0.025698,0.450497,388
mom_to_spy_fwd_6m,126,distance_proxy_abs_pearson,0.099602,0.04994,388
mom_to_spy_fwd_12m,252,pearson,-0.121459,0.017553,382
mom_to_spy_fwd_12m,252,spearman,-0.07138,0.163826,382
mom_to_spy_fwd_12m,252,kendall,-0.047357,0.167711,382
mom_to_spy_fwd_12m,252,distance_proxy_abs_pearson,0.121459,0.017553,382
chg_3m_to_spy_fwd_1m,21,pearson,-0.037732,0.45689,391
chg_3m_to_spy_fwd_1m,21,spearman,-0.070666,0.163137,391
chg_3m_to_spy_fwd_1m,21,kendall,-0.048794,0.150103,391
chg_3m_to_spy_fwd_1m,21,distance_proxy_abs_pearson,0.037732,0.45689,391
chg_3m_to_spy_fwd_3m,63,pearson,-0.136133,0.00717,389
chg_3m_to_spy_fwd_3m,63,spearman,-0.114329,0.024129,389
chg_3m_to_spy_fwd_3m,63,kendall,-0.079185,0.019829,389
chg_3m_to_spy_fwd_3m,63,distance_proxy_abs_pearson,0.136133,0.00717,389
chg_3m_to_spy_fwd_6m,126,pearson,-0.201922,6.5e-05,386
chg_3m_to_spy_fwd_6m,126,spearman,-0.161066,0.001499,386
chg_3m_to_spy_fwd_6m,126,kendall,-0.110198,0.001241,386
chg_3m_to_spy_fwd_6m,126,distance_proxy_abs_pearson,0.201922,6.5e-05,386
chg_3m_to_spy_fwd_12m,252,pearson,-0.204172,6.1e-05,380
