signal,signal_column,threshold,strategy,lead_months,direction,is_sharpe,oos_sharpe,oos_sortino,oos_calmar,oos_ann_return,oos_ann_vol,max_drawdown,win_rate,annual_turnover,is_n,oos_n,valid
slope,t10y3m,T1_fixed_p25,P1_long_cash,0,procyclical,0.5672,0.47,0.4039,0.1921,0.038393,0.081688,-0.199813,0.2143,0.46,296,98,True
slope,t10y3m,T1_fixed_p25,P2_signal_strength,0,procyclical,0.2713,0.6611,0.6731,0.2696,0.048911,0.073986,-0.181425,0.5612,0.78,261,98,True
slope,t10y3m,T1_fixed_p25,P3_long_short,0,procyclical,0.2726,-0.4499,-0.7994,-0.118,-0.075318,0.167411,-0.638063,0.449,0.91,296,98,False
slope,t10y3m,T1_fixed_p50,P1_long_cash,0,procyclical,0.2786,0.3499,0.0,0.0,0.000276,0.00079,0.0,0.0102,0.52,296,98,True
slope,t10y3m,T1_fixed_p50,P2_signal_strength,0,procyclical,0.2713,0.6611,0.6731,0.2696,0.048911,0.073986,-0.181425,0.5612,0.78,261,98,True
slope,t10y3m,T1_fixed_p50,P3_long_short,0,procyclical,-0.2744,-0.9297,-1.6881,-0.206,-0.151551,0.163004,-0.735669,0.3265,1.03,296,98,False
slope,t10y3m,T1_fixed_p75,P1_long_cash,0,procyclical,0.1477,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.94,296,98,False
slope,t10y3m,T1_fixed_p75,P2_signal_strength,0,procyclical,0.2713,0.6611,0.6731,0.2696,0.048911,0.073986,-0.181425,0.5612,0.78,261,98,True
slope,t10y3m,T1_fixed_p75,P3_long_short,0,procyclical,-0.545,-0.9334,-1.6818,-0.2064,-0.152104,0.162961,-0.736859,0.3163,1.88,296,98,False
slope,t10y3m,T2_roll_p25,P1_long_cash,0,procyclical,0.3447,0.8838,1.0809,0.5035,0.100616,0.113848,-0.199813,0.2959,0.76,296,98,True
slope,t10y3m,T2_roll_p25,P2_signal_strength,0,procyclical,0.2713,0.6611,0.6731,0.2696,0.048911,0.073986,-0.181425,0.5612,0.78,261,98,True
slope,t10y3m,T2_roll_p25,P3_long_short,0,procyclical,-0.1235,0.292,0.625,0.1259,0.049128,0.168229,-0.390192,0.4694,1.52,296,98,True
slope,t10y3m,T2_roll_p50,P1_long_cash,0,procyclical,0.0647,0.3531,0.2468,0.1347,0.026906,0.076207,-0.199813,0.1633,0.7,296,98,True
slope,t10y3m,T2_roll_p50,P2_signal_strength,0,procyclical,0.2713,0.6611,0.6731,0.2696,0.048911,0.073986,-0.181425,0.5612,0.78,261,98,True
slope,t10y3m,T2_roll_p50,P3_long_short,0,procyclical,-0.6105,-0.5907,-1.0458,-0.1577,-0.098292,0.166405,-0.623306,0.4082,1.4,296,98,False
slope,t10y3m,T2_roll_p75,P1_long_cash,0,procyclical,0.0465,0.0914,0.0492,0.0291,0.00581,0.063584,-0.199813,0.0918,0.49,296,98,True
slope,t10y3m,T2_roll_p75,P2_signal_strength,0,procyclical,0.2713,0.6611,0.6731,0.2696,0.048911,0.073986,-0.181425,0.5612,0.78,261,98,True
slope,t10y3m,T2_roll_p75,P3_long_short,0,procyclical,-0.6472,-0.8575,-1.4845,-0.1976,-0.140483,0.163837,-0.710788,0.3571,0.97,296,98,False
slope,t10y3m,T1_fixed_p25,P1_long_cash,1,procyclical,0.5913,0.3717,0.3446,0.1537,0.03072,0.082657,-0.199813,0.2143,0.43,296,98,True
slope,t10y3m,T1_fixed_p25,P2_signal_strength,1,procyclical,0.3072,0.5034,0.4983,0.2047,0.036833,0.073174,-0.179902,0.551,0.78,260,98,True
slope,t10y3m,T1_fixed_p25,P3_long_short,1,procyclical,0.3289,-0.5437,-0.9853,-0.1325,-0.090664,0.166769,-0.684489,0.4388,0.85,296,98,False
slope,t10y3m,T1_fixed_p50,P1_long_cash,1,procyclical,0.3255,-0.3499,0.0,-0.1224,-0.010097,0.028855,-0.08246,0.0,0.55,296,98,False
slope,t10y3m,T1_fixed_p50,P2_signal_strength,1,procyclical,0.3072,0.5034,0.4983,0.2047,0.036833,0.073174,-0.179902,0.551,0.78,260,98,True
slope,t10y3m,T1_fixed_p50,P3_long_short,1,procyclical,-0.1996,-1.0685,-1.8801,-0.2218,-0.172298,0.16126,-0.776951,0.3061,1.09,296,98,False
slope,t10y3m,T1_fixed_p75,P1_long_cash,1,procyclical,0.0434,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.97,296,98,False
