signal,horizon,method,correlation,p_value,n
spread_zscore_252d,spy_fwd_1d,Pearson,0.0116,0.2873,8389
spread_zscore_252d,spy_fwd_5d,Pearson,0.0307,0.0049,8385
spread_zscore_252d,spy_fwd_21d,Pearson,0.0949,0.0,8369
spread_zscore_252d,spy_fwd_63d,Pearson,0.1062,0.0,8327
spread_zscore_126d,spy_fwd_1d,Pearson,0.0065,0.5506,8489
spread_zscore_126d,spy_fwd_5d,Pearson,0.0163,0.133,8485
spread_zscore_126d,spy_fwd_21d,Pearson,0.0743,0.0,8469
spread_zscore_126d,spy_fwd_63d,Pearson,0.0742,0.0,8427
spread_roc_21d,spy_fwd_1d,Pearson,0.0124,0.2517,8567
spread_roc_21d,spy_fwd_5d,Pearson,0.0239,0.0273,8563
spread_roc_21d,spy_fwd_21d,Pearson,-0.0007,0.9456,8547
spread_roc_21d,spy_fwd_63d,Pearson,-0.0006,0.959,8505
spread_roc_63d,spy_fwd_1d,Pearson,0.0012,0.9145,8525
spread_roc_63d,spy_fwd_5d,Pearson,0.0041,0.7082,8521
spread_roc_63d,spy_fwd_21d,Pearson,0.0106,0.3273,8505
spread_roc_63d,spy_fwd_63d,Pearson,0.0267,0.0139,8463
spread_mom_21d,spy_fwd_1d,Pearson,0.013,0.2277,8567
spread_mom_21d,spy_fwd_5d,Pearson,0.0214,0.0481,8563
spread_mom_21d,spy_fwd_21d,Pearson,0.0381,0.0004,8547
spread_mom_21d,spy_fwd_63d,Pearson,0.0294,0.0067,8505
spread_mom_63d,spy_fwd_1d,Pearson,0.0158,0.1444,8525
spread_mom_63d,spy_fwd_5d,Pearson,0.0263,0.0151,8521
spread_mom_63d,spy_fwd_21d,Pearson,0.0283,0.009,8505
spread_mom_63d,spy_fwd_63d,Pearson,-0.0323,0.003,8463
spread_pctrank_252d,spy_fwd_1d,Pearson,0.0077,0.4816,8389
spread_pctrank_252d,spy_fwd_5d,Pearson,0.0191,0.0803,8385
spread_pctrank_252d,spy_fwd_21d,Pearson,0.0663,0.0,8369
spread_pctrank_252d,spy_fwd_63d,Pearson,0.0481,0.0,8327
spread_vol_21d,spy_fwd_1d,Pearson,-0.0092,0.394,8573
spread_vol_21d,spy_fwd_5d,Pearson,-0.026,0.016,8569
spread_vol_21d,spy_fwd_21d,Pearson,-0.0495,0.0,8553
spread_vol_21d,spy_fwd_63d,Pearson,-0.135,0.0,8511
spread_stress,spy_fwd_1d,Pearson,0.0129,0.2335,8588
spread_stress,spy_fwd_5d,Pearson,0.0238,0.0274,8584
spread_stress,spy_fwd_21d,Pearson,0.0692,0.0,8568
spread_stress,spy_fwd_63d,Pearson,0.0655,0.0,8526
