date,granger_f_24m,p_value_24m
1995-02-03,1.68036,0.195475
1995-02-06,1.667268,0.197222
1995-02-07,1.831691,0.176539
1995-02-08,1.908628,0.167733
1995-02-09,1.085165,0.298049
1995-02-10,1.152489,0.283547
1995-02-13,1.125697,0.289207
1995-02-14,1.181018,0.277672
1995-02-15,1.373062,0.241845
1995-02-16,1.284151,0.257672
1995-02-17,1.249931,0.264103
1995-02-20,1.335423,0.248395
1995-02-21,1.243225,0.265386
1995-02-22,1.315614,0.251929
1995-02-23,1.363502,0.243488
1995-02-24,1.396365,0.237895
1995-02-27,1.33908,0.247749
1995-02-28,1.313001,0.2524
1995-03-01,1.37412,0.241663
1995-03-02,1.298133,0.2551
1995-03-03,1.246756,0.264709
1995-03-06,1.262907,0.261641
1995-03-07,1.349686,0.245887
1995-03-08,1.929985,0.165379
1995-03-09,1.846577,0.174795
1995-03-10,2.174019,0.140988
1995-03-13,2.095083,0.1484
1995-03-14,2.221303,0.136749
1995-03-15,2.207098,0.138007
1995-03-16,2.106739,0.147279
1995-03-17,2.087546,0.149131
1995-03-20,2.149703,0.143226
1995-03-21,2.144669,0.143694
1995-03-22,2.167166,0.141615
1995-03-23,2.281506,0.131556
1995-03-24,2.590114,0.108164
1995-03-27,2.71413,0.100091
1995-03-28,3.012053,0.083264
1995-03-29,3.079068,0.079918
1995-03-30,3.03613,0.082045
1995-03-31,2.942309,0.086907
1995-04-03,2.99703,0.084034
1995-04-04,2.937918,0.087142
1995-04-05,2.903427,0.089013
1995-04-06,2.753617,0.097662
1995-04-07,2.685116,0.101919
1995-04-10,2.663874,0.10328
1995-04-11,2.691298,0.101526
1995-04-12,2.698803,0.101052
1995-04-13,2.739209,0.098541
1995-04-14,2.686239,0.101848
1995-04-17,2.557313,0.110417
1995-04-18,2.854328,0.091752
1995-04-19,2.900339,0.089182
1995-04-20,2.807655,0.094441
1995-04-21,2.914401,0.088413
1995-04-24,1.98958,0.159007
1995-04-25,1.855897,0.173712
1995-04-26,2.140691,0.144066
1995-04-27,2.028471,0.155
1995-04-28,2.014319,0.156444
1995-05-01,1.747388,0.18681
1995-05-02,1.799631,0.180366
1995-05-03,2.142604,0.143887
1995-05-04,2.14275,0.143873
1995-05-05,2.121816,0.145842
1995-05-08,2.131759,0.144903
1995-05-09,2.222749,0.136621
1995-05-10,2.29315,0.130578
1995-05-11,2.534464,0.112017
1995-05-12,2.770627,0.096635
1995-05-15,2.858701,0.091504
1995-05-16,2.870459,0.090842
1995-05-17,2.658936,0.103599
1995-05-18,2.167821,0.141555
1995-05-19,2.195895,0.139009
1995-05-22,2.566391,0.109788
1995-05-23,2.776008,0.096313
1995-05-24,2.761593,0.097179
1995-05-25,2.741715,0.098387
1995-05-26,2.421974,0.120277
1995-05-29,2.6243,0.105869
1995-05-30,2.723681,0.099498
1995-05-31,3.049327,0.081385
1995-06-01,3.035105,0.082096
1995-06-02,3.185967,0.074879
1995-06-05,3.233121,0.072766
1995-06-06,3.225654,0.073096
1995-06-07,3.157222,0.0762
