signal,threshold,strategy,lead_days,oos_sharpe,oos_ann_return,max_drawdown,annual_turnover,oos_n,valid
spread,T1_p25,P1,0,0.3241,4.03,-25.39,9.92,2088,True
spread,T1_p25,P2,0,0.6083,7.22,-20.47,10.92,2088,True
spread,T1_p25,P3,0,-0.3504,-6.7,-52.37,19.83,2088,False
spread,T1_p50,P1,0,0.6378,9.81,-24.5,7.1,2088,True
spread,T1_p50,P2,0,0.6083,7.22,-20.47,10.92,2088,True
spread,T1_p50,P3,0,0.2546,4.87,-36.37,14.2,2088,True
spread,T1_p75,P1,0,0.6119,10.8,-31.28,6.4,2088,True
spread,T1_p75,P2,0,0.6083,7.22,-20.47,10.92,2088,True
spread,T1_p75,P3,0,0.3583,6.85,-45.57,12.79,2088,True
spread,T2_rp25,P1,0,-0.1274,-1.27,-26.71,14.64,2088,False
spread,T2_rp25,P2,0,0.6083,7.22,-20.47,10.92,2088,True
spread,T2_rp25,P3,0,-0.9057,-17.28,-80.16,29.28,2088,False
spread,T2_rp50,P1,0,0.1454,1.77,-33.08,15.93,2088,True
spread,T2_rp50,P2,0,0.6083,7.22,-20.47,10.92,2088,True
spread,T2_rp50,P3,0,-0.5867,-11.21,-68.18,31.86,2088,False
spread,T2_rp75,P1,0,0.5183,7.62,-26.87,16.58,2088,True
spread,T2_rp75,P2,0,0.6083,7.22,-20.47,10.92,2088,True
spread,T2_rp75,P3,0,0.0253,0.48,-49.12,33.15,2088,False
spread,T1_p25,P1,1,0.4345,5.37,-26.82,9.92,2088,True
spread,T1_p25,P2,1,0.7229,8.59,-18.78,10.92,2088,True
spread,T1_p25,P3,1,-0.2102,-4.02,-47.32,19.83,2088,False
spread,T1_p50,P1,1,0.7165,11.13,-24.5,7.13,2088,True
spread,T1_p50,P2,1,0.7229,8.59,-18.78,10.92,2088,True
spread,T1_p50,P3,1,0.393,7.51,-30.78,14.26,2088,True
spread,T1_p75,P1,1,0.6876,12.18,-29.11,6.43,2088,True
spread,T1_p75,P2,1,0.7229,8.59,-18.78,10.92,2088,True
spread,T1_p75,P3,1,0.5034,9.62,-38.02,12.85,2088,True
spread,T2_rp25,P1,1,0.2507,2.54,-21.91,14.61,2088,True
spread,T2_rp25,P2,1,0.7229,8.59,-18.78,10.92,2088,True
spread,T2_rp25,P3,1,-0.5057,-9.66,-67.47,29.22,2088,False
spread,T2_rp50,P1,1,0.5057,6.17,-24.62,15.93,2088,True
spread,T2_rp50,P2,1,0.7229,8.59,-18.78,10.92,2088,True
spread,T2_rp50,P3,1,-0.1264,-2.42,-57.38,31.86,2088,False
spread,T2_rp75,P1,1,0.7237,10.68,-24.01,16.58,2088,True
spread,T2_rp75,P2,1,0.7229,8.59,-18.78,10.92,2088,True
spread,T2_rp75,P3,1,0.3457,6.61,-34.55,33.15,2088,False
spread,T1_p25,P1,5,0.1667,2.14,-26.22,9.92,2088,True
spread,T1_p25,P2,5,0.6466,7.94,-17.49,10.92,2088,True
spread,T1_p25,P3,5,-0.5476,-10.46,-65.15,19.83,2088,False
spread,T1_p50,P1,5,0.559,9.09,-32.83,7.13,2088,True
spread,T1_p50,P2,5,0.6466,7.94,-17.49,10.92,2088,True
spread,T1_p50,P3,5,0.1799,3.44,-48.94,14.26,2088,True
spread,T1_p75,P1,5,0.6191,11.09,-35.12,6.43,2088,True
spread,T1_p75,P2,5,0.6466,7.94,-17.49,10.92,2088,True
spread,T1_p75,P3,5,0.3892,7.44,-51.14,12.85,2088,True
spread,T2_rp25,P1,5,0.2183,2.27,-20.48,14.58,2088,True
spread,T2_rp25,P2,5,0.6466,7.94,-17.49,10.92,2088,True
spread,T2_rp25,P3,5,-0.5346,-10.21,-65.79,29.16,2088,False
spread,T2_rp50,P1,5,0.3439,4.29,-27.83,15.93,2088,True
spread,T2_rp50,P2,5,0.6466,7.94,-17.49,10.92,2088,True
spread,T2_rp50,P3,5,-0.3225,-6.16,-58.58,31.86,2088,False
spread,T2_rp75,P1,5,0.3187,4.86,-28.78,16.58,2088,True
spread,T2_rp75,P2,5,0.6466,7.94,-17.49,10.92,2088,True
spread,T2_rp75,P3,5,-0.2632,-5.03,-62.97,33.15,2088,False
spread,T1_p25,P1,10,0.0988,1.43,-34.11,9.92,2088,True
spread,T1_p25,P2,10,0.5025,6.79,-25.41,10.92,2088,True
spread,T1_p25,P3,10,-0.623,-11.9,-70.44,19.83,2088,False
spread,T1_p50,P1,10,0.5079,8.48,-29.11,7.13,2088,True
spread,T1_p50,P2,10,0.5025,6.79,-25.41,10.92,2088,True
spread,T1_p50,P3,10,0.1153,2.2,-36.21,14.26,2088,True
spread,T1_p75,P1,10,0.7161,13.18,-33.72,6.43,2088,True
spread,T1_p75,P2,10,0.5025,6.79,-25.41,10.92,2088,True
spread,T1_p75,P3,10,0.6073,11.6,-33.72,12.85,2088,True
spread,T2_rp25,P1,10,0.0438,0.52,-26.34,14.55,2088,True
spread,T2_rp25,P2,10,0.5025,6.79,-25.41,10.92,2088,True
spread,T2_rp25,P3,10,-0.7178,-13.71,-75.38,29.11,2088,False
spread,T2_rp50,P1,10,-0.0412,-0.58,-34.34,15.93,2088,False
spread,T2_rp50,P2,10,0.5025,6.79,-25.41,10.92,2088,True
