lag,ccf,upper_ci,lower_ci,significant
-6,-0.07606977507893345,0.10041384183739775,-0.10041384183739775,False
-5,-0.01817236702413693,0.10041384183739775,-0.10041384183739775,False
-4,-0.01449674471846517,0.10041384183739775,-0.10041384183739775,False
-3,0.021187403996041045,0.10041384183739775,-0.10041384183739775,False
-2,0.05456615058632236,0.10041384183739775,-0.10041384183739775,False
-1,0.10009126117062911,0.10041384183739775,-0.10041384183739775,False
0,0.04680778225078141,0.10041384183739775,-0.10041384183739775,False
1,0.005952151755575701,0.10054587850434511,-0.10054587850434511,False
2,0.01827020512799676,0.10067843739975277,-0.10067843739975277,False
3,0.003860969816974818,0.10081152197523338,-0.10081152197523338,False
4,-0.037383087522468564,0.10094513571442253,-0.10094513571442253,False
5,0.03370528658763331,0.10107928213336174,-0.10107928213336174,False
6,0.038254459707921705,0.10121396478088716,-0.10121396478088716,False
