signal,signal_column,threshold,strategy,lead_months,direction,is_sharpe,oos_sharpe,oos_sortino,oos_calmar,oos_ann_return,oos_ann_vol,max_drawdown,win_rate,annual_turnover,is_n,oos_n,valid
level,umcsent_level,T_roll_p25,P1_long_cash,0,countercyclical,0.3547562815323138,0.3547562815323138,0.3089638202216265,0.15165719867609131,0.030706046530338815,0.09901071054658937,-0.20247008911143505,0.1836734693877551,0.8571428571428572,98,98,True
level,umcsent_level,T_roll_p25,P1_long_cash,1,countercyclical,0.3901597095474396,0.3901597095474396,0.33306169039364675,0.16779415408597703,0.03397329733016563,0.09788708540022377,-0.20247008911143505,0.1836734693877551,0.8571428571428572,98,98,True
level,umcsent_level,T_roll_p25,P1_long_cash,2,countercyclical,0.3415372939240692,0.3415372939240692,0.2827948427950136,0.1424700672436486,0.028845927210533695,0.09697244942238789,-0.20247008911143516,0.17346938775510204,0.8571428571428572,98,98,True
level,umcsent_level,T_roll_p25,P1_long_cash,3,countercyclical,0.4354383755537132,0.4354383755537132,0.33959744009725124,0.2789707952754565,0.03612001253765551,0.09093072699227563,-0.129475963611139,0.16326530612244897,0.7346938775510204,98,98,True
level,umcsent_level,T_roll_p25,P1_long_cash,6,countercyclical,0.6037229539892994,0.6037229539892994,0.6357850490908803,0.4155533056088837,0.05380416467550431,0.09408574707859263,-0.1294759636111389,0.16326530612244897,0.489795918367347,98,98,True
level,umcsent_level,T_roll_p25,P1_long_cash,9,countercyclical,0.848366015780628,0.848366015780628,1.0804474828811044,0.730384389336014,0.060810505365732626,0.07277967928685312,-0.08325822163452168,0.1836734693877551,0.489795918367347,98,98,True
level,umcsent_level,T_roll_p25,P1_long_cash,12,countercyclical,0.765369464711696,0.765369464711696,1.153454980031161,0.5947560407208278,0.04951833025680541,0.0660258711272856,-0.0832582216345219,0.1836734693877551,0.8571428571428572,98,98,True
level,umcsent_level,T_roll_p25,P1_long_cash,0,procyclical,0.9634024270748877,0.9634024270748877,1.1400211655672363,0.6466544199198757,0.12575918356872862,0.1326168415832102,-0.1944766473324514,0.5306122448979592,0.6122448979591837,98,98,True
level,umcsent_level,T_roll_p25,P1_long_cash,1,procyclical,0.9189498025283821,0.9189498025283821,1.1099118856084425,0.6159356087715182,0.1197850921665573,0.13327639514381426,-0.1944766473324514,0.5306122448979592,0.6122448979591837,98,98,True
level,umcsent_level,T_roll_p25,P1_long_cash,2,procyclical,0.9883297773089634,0.9883297773089634,1.2164660267936431,0.6750668701527358,0.13128474163251536,0.1345307308515998,-0.1944766473324514,0.5408163265306123,0.489795918367347,98,98,True
level,umcsent_level,T_roll_p25,P1_long_cash,3,procyclical,0.8407102215762536,0.8407102215762536,1.0083622170171465,0.576003619774441,0.1120192528250894,0.13813427207228657,-0.1944766473324514,0.5306122448979592,0.489795918367347,98,98,True
level,umcsent_level,T_roll_p25,P1_long_cash,6,procyclical,0.8040402080226265,0.8040402080226265,0.955778043182716,0.5498841878487918,0.1098742279497038,0.1428261809694527,-0.19981339776207063,0.5408163265306123,0.2448979591836735,98,98,True
level,umcsent_level,T_roll_p25,P1_long_cash,9,procyclical,0.6652288653908752,0.6652288653908752,0.8009208491186943,0.38576806846088174,0.09230344194633422,0.15003887964714396,-0.23927185657071592,0.5204081632653061,0.2448979591836735,98,98,True
level,umcsent_level,T_roll_p25,P1_long_cash,12,procyclical,0.6425916736919662,0.6425916736919662,0.800389861608566,0.3763170895839573,0.09004208868404184,0.15269835411538613,-0.2392718565707158,0.5102040816326531,0.3673469387755102,98,98,True
level,umcsent_level,T_roll_p50,P1_long_cash,0,countercyclical,0.5658782102422492,0.5658782102422492,0.6173104703044864,0.26062459764535084,0.0623601313465989,0.11973934921831962,-0.2392718565707158,0.3469387755102041,1.836734693877551,98,98,True
level,umcsent_level,T_roll_p50,P1_long_cash,1,countercyclical,0.5296297710314197,0.5296297710314197,0.5936196709672776,0.24491098667661887,0.059143593994040566,0.12289444402712227,-0.2414901625958248,0.336734693877551,1.836734693877551,98,98,True
level,umcsent_level,T_roll_p50,P1_long_cash,2,countercyclical,0.838344827377686,0.838344827377686,0.9561129531821022,0.38906801174624456,0.09751913672471302,0.11990346576003011,-0.2506480455358441,0.3673469387755102,1.836734693877551,98,98,True
level,umcsent_level,T_roll_p50,P1_long_cash,3,countercyclical,0.3458756513683268,0.3458756513683268,0.2854955440573139,0.09764767069901811,0.03498666943886719,0.12074972212693269,-0.358294971998948,0.32653061224489793,1.836734693877551,98,98,True
level,umcsent_level,T_roll_p50,P1_long_cash,6,countercyclical,0.43318025493740686,0.43318025493740686,0.4072749793300276,0.2460738134584896,0.047855610237718116,0.12637027678834106,-0.1944766473324514,0.2857142857142857,1.836734693877551,98,98,True
level,umcsent_level,T_roll_p50,P1_long_cash,9,countercyclical,0.7878105578035143,0.7878105578035143,0.9819485018572379,0.5034373484293635,0.08064068335041052,0.10564161296585119,-0.1601801765443016,0.29591836734693877,1.7142857142857144,98,98,True
level,umcsent_level,T_roll_p50,P1_long_cash,12,countercyclical,0.9732750784777443,0.9732750784777443,1.439755501348714,1.2850502815174107,0.1069910011500812,0.11099225699716071,-0.08325822163452179,0.3163265306122449,1.836734693877551,98,98,True
level,umcsent_level,T_roll_p50,P1_long_cash,0,procyclical,0.7377725740391166,0.7377725740391166,0.7305007451514183,0.40760945968085155,0.0832689439204446,0.11809515528365495,-0.20428609283416088,0.35714285714285715,1.5918367346938778,98,98,True
level,umcsent_level,T_roll_p50,P1_long_cash,1,procyclical,0.6447513758267865,0.6447513758267865,0.6543593334587738,0.36810347257390713,0.07146774592778571,0.11803475316497558,-0.19415124075863355,0.35714285714285715,1.5918367346938778,98,98,True
level,umcsent_level,T_roll_p50,P1_long_cash,2,procyclical,0.4898586692192044,0.4898586692192044,0.48842849713528586,0.21395734602188962,0.05213595579539443,0.11802070560642602,-0.24367453029661568,0.336734693877551,1.5918367346938778,98,98,True
level,umcsent_level,T_roll_p50,P1_long_cash,3,procyclical,0.9211613437071564,0.9211613437071564,1.1740549949613028,0.7913701719087544,0.10708890872780752,0.11833106094697775,-0.13532088083319238,0.3877551020408163,1.5918367346938778,98,98,True
level,umcsent_level,T_roll_p50,P1_long_cash,6,procyclical,0.8631361564135158,0.8631361564135158,0.9769109886357084,0.548877036013845,0.0973339387614256,0.11568681032459563,-0.17733286760965972,0.41836734693877553,1.5918367346938778,98,98,True
level,umcsent_level,T_roll_p50,P1_long_cash,9,procyclical,0.5175029786351106,0.5175029786351106,0.5106304139787484,0.29139227846186583,0.06252151329097488,0.13516463052111138,-0.21456132475781098,0.40816326530612246,1.469387755102041,98,98,True
level,umcsent_level,T_roll_p50,P1_long_cash,12,procyclical,0.44956425014401175,0.44956425014401175,0.4410159307257484,0.2526829002868087,0.05228322917993511,0.13332397024961484,-0.2069124152073244,0.3877551020408163,1.836734693877551,98,98,True
level,umcsent_level,T_roll_p75,P1_long_cash,0,countercyclical,0.6155403678961368,0.6155403678961368,0.7787780843753154,0.3253517899837339,0.07784752682801366,0.13743477185461597,-0.23927185657071592,0.47959183673469385,0.8571428571428572,98,98,True
level,umcsent_level,T_roll_p75,P1_long_cash,1,countercyclical,0.5480434592152158,0.5480434592152158,0.6166682037120549,0.19976832505212178,0.07014354846178783,0.14264379665756816,-0.35112447603235697,0.47959183673469385,0.979591836734694,98,98,True
level,umcsent_level,T_roll_p75,P1_long_cash,2,countercyclical,0.6634318009018754,0.6634318009018754,0.7797884995383081,0.37865845957174593,0.09060231262793894,0.14753330684622426,-0.2392718565707157,0.47959183673469385,1.1020408163265307,98,98,True
level,umcsent_level,T_roll_p75,P1_long_cash,3,countercyclical,0.6543056040879653,0.6543056040879653,0.7748975985851552,0.35236439732430247,0.08778119910753168,0.1450343602825789,-0.2491205121008332,0.46938775510204084,1.1020408163265307,98,98,True
level,umcsent_level,T_roll_p75,P1_long_cash,6,countercyclical,0.5994535537769905,0.5994535537769905,0.710878981888743,0.4031431052693514,0.08162442044854634,0.1499879904364585,-0.20247008911143538,0.4387755102040816,1.1020408163265307,98,98,True
level,umcsent_level,T_roll_p75,P1_long_cash,9,countercyclical,0.9034207757832949,0.9034207757832949,1.0813961848447178,0.6295745004935526,0.12243753810198887,0.13901481467313961,-0.1944766473324514,0.4489795918367347,1.1020408163265307,98,98,True
level,umcsent_level,T_roll_p75,P1_long_cash,12,countercyclical,0.9287601201921065,0.9287601201921065,1.104267415284959,0.6288487272146344,0.12229639214798138,0.13443126286147491,-0.1944766473324514,0.4489795918367347,1.2244897959183674,98,98,True
level,umcsent_level,T_roll_p75,P1_long_cash,0,procyclical,0.7237744391360975,0.7237744391360975,0.45591091276192736,0.43620704580439723,0.0648177601946367,0.09281079495561502,-0.14859402391153054,0.20408163265306123,0.8571428571428572,98,98,True
level,umcsent_level,T_roll_p75,P1_long_cash,1,procyclical,0.8693404683328295,0.8693404683328295,1.0617424950612757,0.6152195779887158,0.07248339813667148,0.08465697159965375,-0.11781711884663226,0.20408163265306123,0.979591836734694,98,98,True
level,umcsent_level,T_roll_p75,P1_long_cash,2,procyclical,0.715871934972721,0.715871934972721,0.813255602573356,0.5148268140109088,0.05236452926895452,0.07528224114826015,-0.10171290197764438,0.20408163265306123,1.1020408163265307,98,98,True
level,umcsent_level,T_roll_p75,P1_long_cash,3,procyclical,0.7098650469268922,0.7098650469268922,0.6461931707282526,0.5592415249541896,0.05509379118702529,0.08011936440862749,-0.09851520090811983,0.21428571428571427,1.1020408163265307,98,98,True
level,umcsent_level,T_roll_p75,P1_long_cash,6,procyclical,0.8761095833142393,0.8761095833142393,1.0229840709534002,0.9943983520778781,0.06109955327412231,0.07060748835650574,-0.06144373946964987,0.24489795918367346,1.1020408163265307,98,98,True
level,umcsent_level,T_roll_p75,P1_long_cash,9,procyclical,0.296949653873589,0.296949653873589,0.23236178685399478,0.11822142823444473,0.02251675517649021,0.08816935475417108,-0.1904625541474365,0.23469387755102042,1.1020408163265307,98,98,True
level,umcsent_level,T_roll_p75,P1_long_cash,12,procyclical,0.28310419354132793,0.28310419354132793,0.22701304648844858,0.1133325020600359,0.022645352313492628,0.09507572072456129,-0.19981339776207052,0.23469387755102042,1.2244897959183674,98,98,True
diff_1m,umcsent_diff_1m,T0_zero,P1_long_cash,0,countercyclical,0.9205586589705178,0.9205586589705178,1.1056173446263609,0.5352686550561113,0.1069538486822954,0.11833563164744886,-0.19981339776207074,0.4387755102040816,6.0,98,98,True
diff_1m,umcsent_diff_1m,T0_zero,P1_long_cash,1,countercyclical,0.4128012034719354,0.4128012034719354,0.4112202294861752,0.21110845365128633,0.045424383847602945,0.12757474852192596,-0.21517084257855423,0.3979591836734694,6.122448979591837,98,98,True
diff_1m,umcsent_diff_1m,T0_zero,P1_long_cash,2,countercyclical,0.753336914251396,0.753336914251396,1.046670836446195,0.34472005130701705,0.09759413585973253,0.13624373510269083,-0.2831112825891655,0.42857142857142855,6.122448979591837,98,98,True
diff_1m,umcsent_diff_1m,T0_zero,P1_long_cash,3,countercyclical,0.5695072908346859,0.5695072908346859,0.576664492006991,0.3427530829583882,0.06970528618267569,0.13448340240998222,-0.2033688087676172,0.41836734693877553,6.0,98,98,True
diff_1m,umcsent_diff_1m,T0_zero,P1_long_cash,6,countercyclical,0.5175714475461557,0.5175714475461557,0.6311477436412328,0.3198279185788678,0.06277941936939624,0.13529979604058004,-0.1962912420164945,0.3877551020408163,6.122448979591837,98,98,True
diff_1m,umcsent_diff_1m,T0_zero,P1_long_cash,9,countercyclical,0.6969852663950674,0.6969852663950674,0.7407391352846582,0.42288830955032836,0.0866859361858554,0.13208483116741085,-0.20498541631011635,0.3979591836734694,5.877551020408164,98,98,True
diff_1m,umcsent_diff_1m,T0_zero,P1_long_cash,12,countercyclical,0.8255303652534506,0.8255303652534506,1.0446090355369766,0.5934568238927913,0.09578158044788654,0.11972870359088875,-0.1613960385855966,0.41836734693877553,6.122448979591837,98,98,True
diff_1m,umcsent_diff_1m,T0_zero,P1_long_cash,0,procyclical,0.3167030058180749,0.3167030058180749,0.29785901428343237,0.11783888034664095,0.03334367896932644,0.13056942849368477,-0.2829599099316028,0.336734693877551,6.244897959183674,98,98,True
diff_1m,umcsent_diff_1m,T0_zero,P1_long_cash,1,procyclical,0.7544894256903641,0.7544894256903641,0.7359300184997348,0.3753835805539659,0.09134020992806291,0.1268144616687511,-0.24332500050553396,0.37755102040816324,6.367346938775511,98,98,True
diff_1m,umcsent_diff_1m,T0_zero,P1_long_cash,2,procyclical,0.6966583252499493,0.6966583252499493,0.666175052515552,0.562648375920195,0.07552627348151231,0.1140536787954138,-0.13423352259391363,0.35714285714285715,6.367346938775511,98,98,True
diff_1m,umcsent_diff_1m,T0_zero,P1_long_cash,3,procyclical,0.6099451714964871,0.6099451714964871,0.743966490442052,0.3763284156905796,0.0667353971174105,0.11729995710758237,-0.1773328676096596,0.3469387755102041,6.244897959183674,98,98,True
diff_1m,umcsent_diff_1m,T0_zero,P1_long_cash,6,procyclical,0.5708661842721182,0.5708661842721182,0.5587145230326914,0.3507810938005872,0.06810458459605462,0.13072803178708228,-0.19415124075863355,0.3673469387755102,6.367346938775511,98,98,True
diff_1m,umcsent_diff_1m,T0_zero,P1_long_cash,9,procyclical,0.6097678343408683,0.6097678343408683,0.6709812175807011,0.38386040857017095,0.07452697460201474,0.13260652043040047,-0.19415124075863366,0.3979591836734694,6.122448979591837,98,98,True
diff_1m,umcsent_diff_1m,T0_zero,P1_long_cash,12,procyclical,0.560318370991593,0.560318370991593,0.5727052761361142,0.32007679788382487,0.0680943309795552,0.13389940339561004,-0.2127437272234607,0.37755102040816324,6.122448979591837,98,98,True
diff_1m,umcsent_diff_1m,T_roll_p50,P1_long_cash,0,countercyclical,0.9155301506869664,0.9155301506869664,1.0991659310190147,0.532145296417068,0.10632975978019865,0.11836818394941263,-0.19981339776207074,0.42857142857142855,6.0,98,98,True
diff_1m,umcsent_diff_1m,T_roll_p50,P1_long_cash,1,countercyclical,0.35560426344880297,0.35560426344880297,0.3387376543010661,0.1635427110347083,0.03741778280663488,0.12578120293998493,-0.22879517264877547,0.3877551020408163,6.122448979591837,98,98,True
diff_1m,umcsent_diff_1m,T_roll_p50,P1_long_cash,2,countercyclical,0.7251816104695183,0.7251816104695183,1.0003365335484211,0.3294598924146311,0.09327381270319468,0.13600633072989088,-0.2831112825891655,0.41836734693877553,6.122448979591837,98,98,True
diff_1m,umcsent_diff_1m,T_roll_p50,P1_long_cash,3,countercyclical,0.58525500971333,0.58525500971333,0.5915393727819691,0.35331710316703735,0.0718536783883057,0.13426508234186588,-0.2033688087676172,0.41836734693877553,6.0,98,98,True
diff_1m,umcsent_diff_1m,T_roll_p50,P1_long_cash,6,countercyclical,0.44614465923126473,0.44614465923126473,0.5173983393234669,0.26218652543587495,0.051464918717797126,0.13189080648632703,-0.1962912420164945,0.37755102040816324,6.122448979591837,98,98,True
diff_1m,umcsent_diff_1m,T_roll_p50,P1_long_cash,9,countercyclical,0.6531381382072905,0.6531381382072905,0.6830769543478942,0.3899689442032247,0.07993794637551455,0.13116821734346118,-0.20498541631011635,0.3877551020408163,5.877551020408164,98,98,True
diff_1m,umcsent_diff_1m,T_roll_p50,P1_long_cash,12,countercyclical,0.7797156392064073,0.7797156392064073,0.9726212039047907,0.5525595422630137,0.08918092120392096,0.11882052516999744,-0.1613960385855966,0.40816326530612246,6.122448979591837,98,98,True
diff_1m,umcsent_diff_1m,T_roll_p50,P1_long_cash,0,procyclical,0.3167030058180749,0.3167030058180749,0.29785901428343237,0.11783888034664095,0.03334367896932644,0.13056942849368477,-0.2829599099316028,0.336734693877551,6.244897959183674,98,98,True
diff_1m,umcsent_diff_1m,T_roll_p50,P1_long_cash,1,procyclical,0.7544894256903641,0.7544894256903641,0.7359300184997348,0.3753835805539659,0.09134020992806291,0.1268144616687511,-0.24332500050553396,0.37755102040816324,6.367346938775511,98,98,True
diff_1m,umcsent_diff_1m,T_roll_p50,P1_long_cash,2,procyclical,0.6966583252499493,0.6966583252499493,0.666175052515552,0.562648375920195,0.07552627348151231,0.1140536787954138,-0.13423352259391363,0.35714285714285715,6.367346938775511,98,98,True
diff_1m,umcsent_diff_1m,T_roll_p50,P1_long_cash,3,procyclical,0.6099451714964871,0.6099451714964871,0.743966490442052,0.3763284156905796,0.0667353971174105,0.11729995710758237,-0.1773328676096596,0.3469387755102041,6.244897959183674,98,98,True
diff_1m,umcsent_diff_1m,T_roll_p50,P1_long_cash,6,procyclical,0.5708661842721182,0.5708661842721182,0.5587145230326914,0.3507810938005872,0.06810458459605462,0.13072803178708228,-0.19415124075863355,0.3673469387755102,6.367346938775511,98,98,True
diff_1m,umcsent_diff_1m,T_roll_p50,P1_long_cash,9,procyclical,0.6097678343408683,0.6097678343408683,0.6709812175807011,0.38386040857017095,0.07452697460201474,0.13260652043040047,-0.19415124075863366,0.3979591836734694,6.122448979591837,98,98,True
diff_1m,umcsent_diff_1m,T_roll_p50,P1_long_cash,12,procyclical,0.560318370991593,0.560318370991593,0.5727052761361142,0.32007679788382487,0.0680943309795552,0.13389940339561004,-0.2127437272234607,0.37755102040816324,6.122448979591837,98,98,True
diff_1m,umcsent_diff_1m,T_roll_p75,P1_long_cash,0,countercyclical,0.9821833797497685,0.9821833797497685,1.3263778293288742,0.6652260078864948,0.13764351995052126,0.1422081874997856,-0.2069124152073244,0.5612244897959183,3.795918367346939,98,98,True
diff_1m,umcsent_diff_1m,T_roll_p75,P1_long_cash,1,countercyclical,0.6393993879355475,0.6393993879355475,0.7980637510773045,0.4068388852321948,0.08471918353869023,0.14378692704633755,-0.20823767494677536,0.5408163265306123,3.918367346938776,98,98,True
diff_1m,umcsent_diff_1m,T_roll_p75,P1_long_cash,2,countercyclical,0.8894473818786588,0.8894473818786588,1.2227316586999502,0.5416184592042494,0.13175321721725486,0.15292996058062155,-0.24325835831154619,0.5714285714285714,3.918367346938776,98,98,True
diff_1m,umcsent_diff_1m,T_roll_p75,P1_long_cash,3,countercyclical,0.7374737025852549,0.7374737025852549,0.9455417104994719,0.42570467105451104,0.10446119575872936,0.15053235045680635,-0.24538418970120535,0.5510204081632653,3.918367346938776,98,98,True
diff_1m,umcsent_diff_1m,T_roll_p75,P1_long_cash,6,countercyclical,0.6948399330162365,0.6948399330162365,0.8915240070825086,0.37686619677261685,0.10055995431446996,0.15581115276574078,-0.2668319822144809,0.5408163265306123,3.918367346938776,98,98,True
diff_1m,umcsent_diff_1m,T_roll_p75,P1_long_cash,9,countercyclical,0.9191788574787018,0.9191788574787018,1.202525122013926,0.6939518399534528,0.13495742724433346,0.15070372561832945,-0.1944766473324515,0.5408163265306123,3.918367346938776,98,98,True
diff_1m,umcsent_diff_1m,T_roll_p75,P1_long_cash,12,countercyclical,0.897425697068268,0.897425697068268,1.346315923711425,0.5035396772476421,0.12247911312097193,0.14014532543793345,-0.24323627045726604,0.5408163265306123,4.163265306122449,98,98,True
