lag,ccf,se,significant
-12,0.0304,0.0576,False
-11,0.0594,0.0575,False
-10,0.0502,0.0574,False
-9,0.0633,0.0574,False
-8,0.0442,0.0573,False
-7,0.016,0.0572,False
-6,0.0356,0.0571,False
-5,0.1395,0.057,True
-4,0.165,0.0569,True
-3,0.1661,0.0568,True
-2,0.1848,0.0567,True
-1,0.1534,0.0566,True
0,0.0661,0.0565,False
1,0.0511,0.0566,False
2,0.068,0.0567,False
3,0.0564,0.0568,False
4,0.0316,0.0569,False
5,0.055,0.057,False
6,0.0339,0.0571,False
7,-0.0103,0.0572,False
8,-0.0031,0.0573,False
9,-0.0207,0.0574,False
10,-0.0203,0.0574,False
11,0.019,0.0575,False
12,0.0064,0.0576,False
