date,granger_f_24m,p_value_24m
2002-05-31,0.933186,0.412539
2002-06-30,0.660721,0.529247
2002-07-31,0.485984,0.62338
2002-08-31,0.486449,0.623106
2002-09-30,0.290714,0.751373
2002-10-31,0.163806,0.689973
2002-11-30,0.329771,0.803941
2002-12-31,0.266428,0.611398
2003-01-31,0.163365,0.919249
2003-02-28,0.51052,0.483171
2003-03-31,0.629888,0.436712
2003-04-30,1.120783,0.302369
2003-05-31,1.103313,0.306067
2003-06-30,3.218226,0.05538
2003-07-31,4.085658,0.028076
2003-08-31,5.635065,0.027733
2003-09-30,5.965602,0.023998
2003-10-31,2.885717,0.073052
2003-11-30,1.45941,0.26817
2003-12-31,1.181762,0.352164
2004-01-31,1.314919,0.308853
2004-02-29,1.517977,0.253351
2004-03-31,2.580024,0.095054
2004-04-30,2.582272,0.094867
2004-05-31,2.46808,0.104896
2004-06-30,1.958679,0.166635
2004-07-31,0.990044,0.425898
2004-08-31,0.941839,0.446788
2004-09-30,0.621916,0.612419
2004-10-31,0.74642,0.542187
2004-11-30,0.770276,0.529583
2004-12-31,0.817098,0.505635
2005-01-31,0.761146,0.534374
2005-02-28,0.541033,0.662006
2005-03-31,0.568066,0.645095
2005-04-30,0.921531,0.416897
2005-05-31,1.134946,0.299416
2005-06-30,0.957319,0.339551
2005-07-31,0.732848,0.402102
2005-08-31,0.670181,0.422636
2005-09-30,0.863673,0.363795
2005-10-31,1.860535,0.187718
2005-11-30,1.689526,0.214813
2005-12-31,2.768014,0.091066
2006-01-31,5.261999,0.032758
2006-02-28,4.717344,0.02346
2006-03-31,6.897511,0.016178
2006-04-30,8.914991,0.007306
2006-05-31,6.742168,0.017255
2006-06-30,4.641504,0.043579
2006-07-31,1.337398,0.261121
2006-08-31,0.281643,0.60147
2006-09-30,0.706214,0.507425
2006-10-31,0.316612,0.813178
2006-11-30,0.328276,0.724629
2006-12-31,1.18995,0.349325
2007-01-31,1.495726,0.258875
2007-02-28,0.295281,0.748063
2007-03-31,0.267023,0.84806
2007-04-30,0.125193,0.943638
2007-05-31,0.158703,0.854499
2007-06-30,0.348506,0.790829
2007-07-31,0.212351,0.886171
2007-08-31,0.350281,0.78959
2007-09-30,0.361266,0.702015
2007-10-31,0.26451,0.849825
2007-11-30,0.237854,0.868487
2007-12-31,0.343298,0.564486
2008-01-31,0.837715,0.370955
2008-02-29,1.183275,0.289626
2008-03-31,0.308182,0.819104
2008-04-30,0.389185,0.762601
2008-05-31,0.374741,0.547329
2008-06-30,0.233903,0.87124
2008-07-31,0.253535,0.857524
2008-08-31,0.280623,0.838497
2008-09-30,0.537269,0.593943
2008-10-31,1.276045,0.304561
2008-11-30,0.402177,0.675061
2008-12-31,0.490275,0.694629
2009-01-31,1.507925,0.25583
2009-02-28,1.746515,0.203461
2009-03-31,1.489841,0.260357
2009-04-30,2.947244,0.069352
2009-05-31,4.253209,0.024789
2009-06-30,3.901801,0.032263
2009-07-31,5.848648,0.008326
2009-08-31,6.039311,0.007384
2009-09-30,2.73269,0.083255
2009-10-31,2.588868,0.094321
2009-11-30,0.656654,0.592071
2009-12-31,0.581971,0.636527
2010-01-31,0.380431,0.768642
2010-02-28,0.396317,0.757694
2010-03-31,0.294155,0.828974
2010-04-30,0.443194,0.725835
2010-05-31,0.749143,0.540734
2010-06-30,0.886112,0.430459
2010-07-31,1.038999,0.320227
2010-08-31,0.415591,0.526471
2010-09-30,0.181543,0.835578
2010-10-31,0.32389,0.727696
2010-11-30,0.813876,0.507249
2010-12-31,0.71282,0.560402
2011-01-31,0.633417,0.605617
2011-02-28,1.753151,0.202183
2011-03-31,2.360203,0.124577
2011-04-30,4.332626,0.023385
2011-05-31,7.426421,0.004809
2011-06-30,6.500148,0.008003
2011-07-31,4.981291,0.019831
2011-08-31,4.733107,0.023224
2011-09-30,1.816773,0.192725
2011-10-31,1.128619,0.371182
2011-11-30,0.839151,0.494713
2011-12-31,0.710539,0.561658
2012-01-31,0.411014,0.74763
2012-02-29,0.619191,0.614039
2012-03-31,0.890489,0.470158
2012-04-30,1.273608,0.305207
2012-05-31,1.715136,0.209646
2012-06-30,0.930117,0.413681
2012-07-31,0.723143,0.405181
2012-08-31,0.548067,0.657573
2012-09-30,1.871517,0.186477
2012-10-31,2.047708,0.167876
2012-11-30,1.7924,0.195654
2012-12-31,1.956073,0.17725
2013-01-31,2.186703,0.142853
2013-02-28,2.889091,0.083158
2013-03-31,1.72314,0.208254
2013-04-30,1.598327,0.231175
2013-05-31,1.634998,0.224161
2013-06-30,1.673872,0.216984
2013-07-31,1.491469,0.253053
2013-08-31,0.684572,0.517678
2013-09-30,1.093655,0.357434
2013-10-31,0.958575,0.40322
2013-11-30,1.03695,0.375907
2013-12-31,1.001866,0.387869
2014-01-31,1.208817,0.322959
2014-02-28,1.271906,0.305659
2014-03-31,1.305398,0.296898
2014-04-30,1.612715,0.228394
2014-05-31,1.91659,0.17758
2014-06-30,2.515407,0.100602
2014-07-31,4.682964,0.023986
2014-08-31,4.591164,0.025453
2014-09-30,4.805075,0.022178
2014-10-31,3.483687,0.053956
2014-11-30,4.907181,0.038514
2014-12-31,4.80837,0.040315
2015-01-31,5.333468,0.031721
2015-02-28,2.913774,0.103306
2015-03-31,2.814922,0.108951
2015-04-30,3.02649,0.097283
2015-05-31,2.395129,0.137392
2015-06-30,2.121618,0.160754
2015-07-31,1.690231,0.214668
2015-08-31,2.122557,0.160666
2015-09-30,1.439008,0.244319
2015-10-31,1.151393,0.362904
2015-11-30,1.21895,0.282674
2015-12-31,1.254189,0.276023
2016-01-31,0.513952,0.679274
2016-02-29,0.488444,0.695827
2016-03-31,0.54372,0.66031
2016-04-30,0.928808,0.41417
2016-05-31,0.836791,0.450174
2016-06-30,0.517461,0.605124
2016-07-31,0.795452,0.467479
2016-08-31,0.437669,0.652612
