signal,threshold,strategy,lead_months,is_sharpe,oos_sharpe,oos_sortino,oos_calmar,oos_ann_return,oos_ann_vol,max_drawdown,win_rate,annual_turnover,is_n,oos_n,valid
S1_level,T1_fixed_p25,P1_long_cash,0,0.239,0.3042,0.5875,0.2321,0.036249,0.119158,-0.156182,0.3333,0.85,243,81,True
S1_level,T1_fixed_p25,P2_signal_strength,0,0.3986,0.74,1.445,0.6977,0.084884,0.114714,-0.121669,0.5556,1.13,208,81,True
S1_level,T1_fixed_p25,P3_long_short,0,-0.3457,-0.2254,-0.4429,-0.0755,-0.034225,0.15184,-0.453234,0.4691,1.7,243,81,False
S1_level,T1_fixed_p50,P1_long_cash,0,0.6707,0.6718,1.4773,0.5658,0.088366,0.131538,-0.156182,0.4938,0.92,243,81,True
S1_level,T1_fixed_p50,P2_signal_strength,0,0.3986,0.74,1.445,0.6977,0.084884,0.114714,-0.121669,0.5556,1.13,208,81,True
S1_level,T1_fixed_p50,P3_long_short,0,0.3338,0.4642,0.8676,0.4031,0.070008,0.1508,-0.173665,0.5926,1.85,243,81,True
S1_level,T1_fixed_p75,P1_long_cash,0,0.5117,0.8649,1.9528,0.7803,0.121863,0.140906,-0.156182,0.5309,1.22,243,81,True
S1_level,T1_fixed_p75,P2_signal_strength,0,0.3986,0.74,1.445,0.6977,0.084884,0.114714,-0.121669,0.5556,1.13,208,81,True
S1_level,T1_fixed_p75,P3_long_short,0,0.2577,0.9328,2.1494,0.8772,0.137002,0.146869,-0.156182,0.6173,2.44,243,81,True
S1_level,T2_roll_p25,P1_long_cash,0,0.0467,0.7533,1.5164,0.7245,0.094632,0.125617,-0.13062,0.3704,1.29,243,81,True
S1_level,T2_roll_p25,P2_signal_strength,0,0.3986,0.74,1.445,0.6977,0.084884,0.114714,-0.121669,0.5556,1.13,208,81,True
S1_level,T2_roll_p25,P3_long_short,0,-0.5691,0.5493,1.3008,0.347,0.08254,0.150264,-0.237838,0.5556,2.58,243,81,True
S1_level,T2_roll_p50,P1_long_cash,0,0.2071,0.8506,1.9012,0.6652,0.114143,0.13419,-0.171604,0.4568,1.22,243,81,True
S1_level,T2_roll_p50,P2_signal_strength,0,0.3986,0.74,1.445,0.6977,0.084884,0.114714,-0.121669,0.5556,1.13,208,81,True
